unique.split,parent.split,host,parent.host
124-SPLIT1,unassigned_region-SPLIT1,124,unassigned_region
122-SPLIT1,124-SPLIT1,122,124
122-SPLIT2,124-SPLIT1,122,124
122-SPLIT3,124-SPLIT2,122,124
124-SPLIT2,unassigned_region-SPLIT1,124,unassigned_region
122-SPLIT8,unassigned_region-SPLIT1,122,unassigned_region
124-SPLIT3,122-SPLIT8,124,122
124-SPLIT5,122-SPLIT8,124,122
121,124-SPLIT5,121,124
122-SPLIT4,124-SPLIT5,122,124
124-SPLIT4,122-SPLIT4,124,122
123,124-SPLIT4,123,124
122-SPLIT5,124-SPLIT5,122,124
122-SPLIT6,124-SPLIT5,122,124
122-SPLIT7,124-SPLIT5,122,124
unassigned_region-SPLIT1,root,unassigned_region,root
