unique.split,parent.split,host,parent.host
4-SPLIT1,2-SPLIT3,4,2
2-SPLIT3,unassigned_region-SPLIT1,2,unassigned_region
142-SPLIT1,2-SPLIT3,142,2
3-SPLIT1,2-SPLIT3,3,2
142-SPLIT2,202-SPLIT1,142,202
283-SPLIT3,unassigned_region-SPLIT2,283,unassigned_region
3-SPLIT2,7-SPLIT1,3,7
7-SPLIT1,283-SPLIT3,7,283
201-SPLIT1,7-SPLIT1,201,7
4-SPLIT2,7-SPLIT1,4,7
3-SPLIT3,7-SPLIT1,3,7
4-SPLIT3,7-SPLIT1,4,7
201-SPLIT2,283-SPLIT3,201,283
7-SPLIT2,283-SPLIT3,7,283
7-SPLIT3,283-SPLIT3,7,283
201-SPLIT3,283-SPLIT3,201,283
107-SPLIT1,unassigned_region-SPLIT3,107,unassigned_region
4-SPLIT4,107-SPLIT1,4,107
240-SPLIT1,107-SPLIT1,240,107
4-SPLIT5,unassigned_region-SPLIT3,4,unassigned_region
240-SPLIT2,unassigned_region-SPLIT3,240,unassigned_region
4-SPLIT6,240-SPLIT2,4,240
3-SPLIT4,unassigned_region-SPLIT3,3,unassigned_region
4-SPLIT7,283-SPLIT3,4,283
7-SPLIT4,4-SPLIT7,7,4
283-SPLIT1,4-SPLIT7,283,4
107-SPLIT2,4-SPLIT7,107,4
3-SPLIT5,283-SPLIT3,3,283
4-SPLIT8,283-SPLIT3,4,283
201-SPLIT4,unassigned_region-SPLIT4,201,unassigned_region
283-SPLIT2,unassigned_region-SPLIT4,283,unassigned_region
5-SPLIT1,unassigned_region-SPLIT2,5,unassigned_region
2-SPLIT1,142-SPLIT2,2,142
3-SPLIT6,202-SPLIT1,3,202
202-SPLIT1,2-SPLIT3,202,2
2-SPLIT2,202-SPLIT1,2,202
5-SPLIT2,unassigned_region-SPLIT1,5,unassigned_region
2-SPLIT4,unassigned_region-SPLIT1,2,unassigned_region
142-SPLIT3,unassigned_region-SPLIT1,142,unassigned_region
2-SPLIT5,142-SPLIT3,2,142
202-SPLIT2,unassigned_region-SPLIT5,202,unassigned_region
2-SPLIT12,unassigned_region-SPLIT5,2,unassigned_region
3-SPLIT7,2-SPLIT12,3,2
5-SPLIT3,2-SPLIT12,5,2
105-SPLIT3,unassigned_region-SPLIT6,105,unassigned_region
105-SPLIT1,unassigned_region-SPLIT7,105,unassigned_region
107-SPLIT3,105-SPLIT1,107,105
2-SPLIT6,105-SPLIT1,2,105
52-SPLIT1,105-SPLIT1,52,105
107-SPLIT4,unassigned_region-SPLIT7,107,unassigned_region
102-SPLIT1,unassigned_region-SPLIT8,102,unassigned_region
2-SPLIT7,unassigned_region-SPLIT8,2,unassigned_region
5-SPLIT4,107-SPLIT4,5,107
1-SPLIT1,107-SPLIT4,1,107
1-SPLIT2,unassigned_region-SPLIT7,1,unassigned_region
102-SPLIT2,105-SPLIT3,102,105
1-SPLIT3,105-SPLIT3,1,105
102-SPLIT3,1-SPLIT3,102,1
4-SPLIT9,1-SPLIT3,4,1
5-SPLIT5,1-SPLIT3,5,1
105-SPLIT2,unassigned_region-SPLIT9,105,unassigned_region
2-SPLIT8,unassigned_region-SPLIT9,2,unassigned_region
4-SPLIT10,unassigned_region-SPLIT9,4,unassigned_region
201-SPLIT5,1-SPLIT3,201,1
2-SPLIT9,unassigned_region-SPLIT10,2,unassigned_region
102-SPLIT4,unassigned_region-SPLIT10,102,unassigned_region
102-SPLIT5,unassigned_region-SPLIT11,102,unassigned_region
4-SPLIT11,unassigned_region-SPLIT11,4,unassigned_region
2-SPLIT10,unassigned_region-SPLIT12,2,unassigned_region
52-SPLIT2,unassigned_region-SPLIT12,52,unassigned_region
1-SPLIT4,unassigned_region-SPLIT12,1,unassigned_region
4-SPLIT12,unassigned_region-SPLIT6,4,unassigned_region
201-SPLIT6,unassigned_region-SPLIT6,201,unassigned_region
1-SPLIT5,52-SPLIT3,1,52
107-SPLIT5,52-SPLIT3,107,52
52-SPLIT3,unassigned_region-SPLIT6,52,unassigned_region
105-SPLIT4,52-SPLIT3,105,52
107-SPLIT6,52-SPLIT3,107,52
2-SPLIT11,unassigned_region-SPLIT13,2,unassigned_region
4-SPLIT13,unassigned_region-SPLIT13,4,unassigned_region
5-SPLIT6,unassigned_region-SPLIT13,5,unassigned_region
107-SPLIT7,5-SPLIT6,107,5
1-SPLIT6,unassigned_region-SPLIT6,1,unassigned_region
3-SPLIT8,2-SPLIT12,3,2
4-SPLIT14,2-SPLIT12,4,2
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,142-SPLIT2,unassigned_region,142
unassigned_region-SPLIT3,283-SPLIT3,unassigned_region,283
unassigned_region-SPLIT4,4-SPLIT8,unassigned_region,4
unassigned_region-SPLIT5,142-SPLIT3,unassigned_region,142
unassigned_region-SPLIT6,2-SPLIT12,unassigned_region,2
unassigned_region-SPLIT7,102-SPLIT2,unassigned_region,102
unassigned_region-SPLIT8,107-SPLIT4,unassigned_region,107
unassigned_region-SPLIT9,1-SPLIT3,unassigned_region,1
unassigned_region-SPLIT10,1-SPLIT3,unassigned_region,1
unassigned_region-SPLIT11,105-SPLIT3,unassigned_region,105
unassigned_region-SPLIT12,105-SPLIT3,unassigned_region,105
unassigned_region-SPLIT13,52-SPLIT3,unassigned_region,52
