host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
1,102,complex,17,26,17/26,24
1,102,none,4,26,4/26,24
1,102,trans,3,26,3/26,24
1,105,complex,15,26,15/26,17
1,105,none,1,26,1/26,17
1,105,trans,1,26,1/26,17
1,107,complex,26,26,26/26,26
1,2,complex,26,26,26/26,26
1,201,complex,14,26,14/26,17
1,201,none,3,26,3/26,17
1,4,complex,22,26,22/26,25
1,4,none,3,26,3/26,25
1,5,complex,22,26,22/26,24
1,5,none,2,26,2/26,24
102,107,complex,12,26,12/26,17
102,107,none,2,26,2/26,17
102,2,complex,11,26,11/26,18
102,2,none,3,26,3/26,18
102,4,complex,23,26,23/26,25
102,4,none,2,26,2/26,25
105,107,complex,12,26,12/26,17
105,107,none,5,26,5/26,17
105,2,complex,10,26,10/26,18
105,2,none,6,26,6/26,18
105,4,complex,7,26,7/26,16
105,4,none,7,26,7/26,16
105,52,complex,25,26,25/26,26
105,52,none,1,26,1/26,26
107,102,trans,3,26,3/26,17
107,2,complex,22,26,22/26,25
107,2,none,3,26,3/26,25
107,240,complex,26,26,26/26,26
107,283,complex,18,26,18/26,19
107,283,none,1,26,1/26,19
107,3,complex,10,26,10/26,14
107,3,none,4,26,4/26,14
107,4,complex,26,26,26/26,26
107,5,complex,25,26,25/26,25
107,7,complex,16,26,16/26,17
107,7,none,1,26,1/26,17
142,2,complex,26,26,26/26,26
142,202,complex,21,26,21/26,23
142,202,none,2,26,2/26,23
142,3,complex,17,26,17/26,22
142,3,none,5,26,5/26,22
142,4,complex,17,26,17/26,20
142,4,none,3,26,3/26,20
142,5,complex,13,26,13/26,17
142,5,none,4,26,4/26,17
2,102,trans,4,26,4/26,18
2,105,trans,2,26,2/26,18
2,202,complex,26,26,26/26,26
2,3,complex,25,26,25/26,25
2,4,complex,25,26,25/26,25
2,5,complex,25,26,25/26,25
201,283,complex,20,26,20/26,24
201,283,none,4,26,4/26,24
201,4,complex,26,26,26/26,26
201,7,complex,19,26,19/26,21
201,7,none,2,26,2/26,21
202,3,complex,21,26,21/26,23
202,3,none,2,26,2/26,23
202,4,complex,15,26,15/26,16
202,4,none,1,26,1/26,16
240,4,complex,14,26,14/26,21
283,3,complex,23,26,23/26,25
283,3,none,2,26,2/26,25
283,4,complex,26,26,26/26,26
283,7,complex,24,26,24/26,26
283,7,none,2,26,2/26,26
3,4,complex,21,26,21/26,22
3,4,none,1,26,1/26,22
3,7,complex,22,26,22/26,25
3,7,none,3,26,3/26,25
4,105,trans,2,26,2/26,16
4,240,trans,7,26,7/26,21
4,5,complex,22,26,22/26,26
4,5,none,4,26,4/26,26
4,7,complex,26,26,26/26,26
