host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20
AI001,1000_to_1099,1049.5,12,12,2,10,0.005018416666666667,0.004099727272727273,0.018962999999999997,0.034081999999999994,0.010033954545454544,0.008196945454545454,0.005018416666666667,0.004099727272727273,0.018962999999999997,0.034081999999999994,0.010033954545454544,0.008196945454545454,0.9166666666666666,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI002,1000_to_1099,1049.5,18,18,11,18,0.031354722222222214,0.0125504,0.036496,0.105363,0.04186543137254902,0.0206,0.031354722222222214,0.0125504,0.036496,0.105363,0.04186543137254902,0.0206,0.2777777777777778,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0,0,0,0,0,0,0,0,0
AI003,1000_to_1099,1049.5,8,8,8,8,0.089739875,0,0.12815,0.185605,0.09871689285714286,NA,0.089739875,0,0.12815,0.185605,0.09871689285714286,NA,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0
AI004,1000_to_1099,1049.5,29,29,11,19,0.08572406896551724,0.08375999999999999,0.105913,0.2745679999999999,0.11502297044334975,0.09557014545454545,0.08572406896551724,0.08375999999999999,0.105913,0.2745679999999999,0.11502297044334975,0.09557014545454545,0.3793103448275862,0.2413793103448276,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0,0,0,0,0,0,0,0,0
AI005,1000_to_1099,1049.5,10,10,10,10,0.041428599999999996,0,0.040184,0.089909,0.03502026666666667,NA,0.041428599999999996,0,0.040184,0.089909,0.03502026666666667,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
AI007,1000_to_1099,1049.5,7,7,1,5,0.007801000000000001,0.007801000000000001,0.010884000000000001,0.01822,0.009376,0.009376,0.007801000000000001,0.007801000000000001,0.010884000000000001,0.01822,0.009376,0.009376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI052,1000_to_1099,1049.5,5,5,4,5,0.0051656,0.0055315,0.007392,0.014775,0.009591800000000001,0.011063,0.0051656,0.0055315,0.007392,0.014775,0.009591800000000001,0.011063,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI102,1000_to_1099,1049.5,7,7,1,6,0.006446142857142857,0.006446142857142857,0.011193,0.026364,0.012164571428571427,0.012164571428571427,0.006446142857142857,0.006446142857142857,0.011193,0.026364,0.012164571428571427,0.012164571428571427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI105,1000_to_1099,1049.5,10,10,2,6,0.003703199999999999,0.0032922222222222224,0.01113,0.022220999999999998,0.005762,0.004530944444444444,0.003703199999999999,0.0032922222222222224,0.01113,0.022220999999999998,0.005762,0.004530944444444444,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI107,1000_to_1099,1049.5,15,15,9,13,0.11450393333333332,0.003667,0.192091,0.25281499999999996,0.12991234285714284,0.007332,0.11450393333333332,0.003667,0.192091,0.25281499999999996,0.12991234285714284,0.007332,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0
