unique.split,parent.split,host,parent.host
199-SPLIT1,unassigned_region-SPLIT1,199,unassigned_region
6-SPLIT1,unassigned_region-SPLIT1,6,unassigned_region
199-SPLIT2,6-SPLIT1,199,6
199-SPLIT7,unassigned_region-SPLIT1,199,unassigned_region
86-SPLIT1,199-SPLIT7,86,199
86-SPLIT2,unassigned_region-SPLIT2,86,unassigned_region
199-SPLIT3,86-SPLIT2,199,86
199-SPLIT4,86-SPLIT2,199,86
199-SPLIT5,86-SPLIT2,199,86
199-SPLIT6,86-SPLIT2,199,86
6-SPLIT2,unassigned_region-SPLIT2,6,unassigned_region
6-SPLIT3,unassigned_region-SPLIT1,6,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,199-SPLIT7,unassigned_region,199
