host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
13,28,complex,6,26,6/26,18
13,28,none,12,26,12/26,18
13,4,complex,25,26,25/26,25
13,89,complex,11,26,11/26,15
13,89,none,4,26,4/26,15
13,90,complex,16,26,16/26,18
13,90,none,2,26,2/26,18
13,92,complex,12,26,12/26,25
13,92,none,13,26,13/26,25
16,25,complex,7,26,7/26,17
16,25,none,8,26,8/26,17
16,25,trans,2,26,2/26,17
16,4,complex,24,26,24/26,24
25,4,complex,5,26,5/26,21
25,4,none,3,26,3/26,21
28,4,complex,26,26,26/26,26
28,90,complex,11,26,11/26,18
28,90,none,7,26,7/26,18
28,92,complex,8,26,8/26,21
28,92,none,13,26,13/26,21
4,25,trans,13,26,13/26,21
4,6,complex,18,26,18/26,26
4,6,none,1,26,1/26,26
4,6,trans,7,26,7/26,26
4,89,complex,26,26,26/26,26
4,90,complex,26,26,26/26,26
4,92,complex,26,26,26/26,26
89,90,complex,14,26,14/26,24
89,90,none,10,26,10/26,24
89,92,complex,12,26,12/26,16
89,92,none,4,26,4/26,16
90,92,complex,12,26,12/26,20
90,92,none,8,26,8/26,20
