unique.split,parent.split,host,parent.host
1-SPLIT1,unassigned_region-SPLIT1,1,unassigned_region
28-SPLIT1,unassigned_region-SPLIT1,28,unassigned_region
20-SPLIT1,unassigned_region-SPLIT1,20,unassigned_region
34-SPLIT1,unassigned_region-SPLIT2,34,unassigned_region
21-SPLIT1,34-SPLIT1,21,34
27-SPLIT1,unassigned_region-SPLIT3,27,unassigned_region
4-SPLIT1,unassigned_region-SPLIT3,4,unassigned_region
2-SPLIT3,unassigned_region-SPLIT3,2,unassigned_region
8-SPLIT1,2-SPLIT3,8,2
2-SPLIT1,8-SPLIT1,2,8
2-SPLIT2,8-SPLIT1,2,8
8-SPLIT2,2-SPLIT3,8,2
27-SPLIT2,34-SPLIT1,27,34
13-SPLIT1,34-SPLIT1,13,34
21-SPLIT2,34-SPLIT1,21,34
21-SPLIT3,34-SPLIT1,21,34
13-SPLIT2,unassigned_region-SPLIT2,13,unassigned_region
7-SPLIT1,unassigned_region-SPLIT1,7,unassigned_region
28-SPLIT2,unassigned_region-SPLIT4,28,unassigned_region
16-SPLIT1,unassigned_region-SPLIT4,16,unassigned_region
35-SPLIT1,16-SPLIT1,35,16
20-SPLIT2,16-SPLIT1,20,16
28-SPLIT3,16-SPLIT1,28,16
35-SPLIT2,unassigned_region-SPLIT4,35,unassigned_region
18-SPLIT1,unassigned_region-SPLIT4,18,unassigned_region
35-SPLIT3,unassigned_region-SPLIT5,35,unassigned_region
15-SPLIT1,unassigned_region-SPLIT6,15,unassigned_region
16-SPLIT2,unassigned_region-SPLIT6,16,unassigned_region
9-SPLIT1,unassigned_region-SPLIT5,9,unassigned_region
20-SPLIT3,unassigned_region-SPLIT5,20,unassigned_region
28-SPLIT4,unassigned_region-SPLIT5,28,unassigned_region
16-SPLIT3,7-SPLIT1,16,7
9-SPLIT2,unassigned_region-SPLIT1,9,unassigned_region
10-SPLIT1,unassigned_region-SPLIT1,10,unassigned_region
15-SPLIT2,unassigned_region-SPLIT7,15,unassigned_region
28-SPLIT5,unassigned_region-SPLIT7,28,unassigned_region
7-SPLIT2,unassigned_region-SPLIT8,7,unassigned_region
21-SPLIT4,unassigned_region-SPLIT8,21,unassigned_region
16-SPLIT4,unassigned_region-SPLIT8,16,unassigned_region
9-SPLIT3,unassigned_region-SPLIT8,9,unassigned_region
12-SPLIT1,10-SPLIT1,12,10
2-SPLIT4,unassigned_region-SPLIT1,2,unassigned_region
21-SPLIT5,22-SPLIT1,21,22
22-SPLIT1,unassigned_region-SPLIT1,22,unassigned_region
2-SPLIT5,22-SPLIT1,2,22
21-SPLIT6,22-SPLIT1,21,22
21-SPLIT7,22-SPLIT1,21,22
21-SPLIT8,22-SPLIT1,21,22
21-SPLIT9,7-SPLIT4,21,7
1-SPLIT2,7-SPLIT4,1,7
7-SPLIT4,unassigned_region-SPLIT1,7,unassigned_region
28-SPLIT6,7-SPLIT4,28,7
10-SPLIT2,7-SPLIT4,10,7
13-SPLIT3,7-SPLIT4,13,7
34-SPLIT2,13-SPLIT3,34,13
34-SPLIT3,13-SPLIT3,34,13
28-SPLIT7,18-SPLIT2,28,18
1-SPLIT3,18-SPLIT2,1,18
18-SPLIT2,7-SPLIT4,18,7
35-SPLIT4,unassigned_region-SPLIT9,35,unassigned_region
7-SPLIT3,28-SPLIT8,7,28
9-SPLIT4,28-SPLIT8,9,28
20-SPLIT4,28-SPLIT8,20,28
28-SPLIT8,35-SPLIT4,28,35
13-SPLIT4,28-SPLIT8,13,28
2-SPLIT6,22-SPLIT2,2,22
21-SPLIT10,2-SPLIT6,21,2
22-SPLIT2,28-SPLIT8,22,28
21-SPLIT11,22-SPLIT2,21,22
13-SPLIT5,20-SPLIT5,13,20
20-SPLIT5,22-SPLIT2,20,22
16-SPLIT5,unassigned_region-SPLIT10,16,unassigned_region
1-SPLIT4,unassigned_region-SPLIT10,1,unassigned_region
18-SPLIT3,35-SPLIT4,18,35
10-SPLIT3,35-SPLIT4,10,35
22-SPLIT4,unassigned_region-SPLIT11,22,unassigned_region
