host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
1,10,complex,14,26,14/26,19
1,10,none,5,26,5/26,19
1,12,complex,7,26,7/26,14
1,12,none,5,26,5/26,14
1,12,trans,2,26,2/26,14
1,16,complex,14,26,14/26,17
1,16,none,3,26,3/26,17
1,20,complex,24,26,24/26,26
1,20,none,2,26,2/26,26
1,28,complex,26,26,26/26,26
1,35,complex,20,26,20/26,23
1,35,none,3,26,3/26,23
1,7,complex,21,26,21/26,24
1,7,none,3,26,3/26,24
1,9,complex,9,26,9/26,14
1,9,none,5,26,5/26,14
10,12,complex,14,26,14/26,15
10,12,none,1,26,1/26,15
10,16,complex,15,26,15/26,23
10,16,none,8,26,8/26,23
10,20,complex,15,26,15/26,19
10,20,none,4,26,4/26,19
10,21,complex,13,26,13/26,19
10,21,none,6,26,6/26,19
10,22,complex,14,26,14/26,15
10,22,none,1,26,1/26,15
10,28,complex,26,26,26/26,26
10,35,complex,14,26,14/26,17
10,35,none,3,26,3/26,17
10,7,complex,15,26,15/26,20
10,7,none,5,26,5/26,20
10,9,complex,11,26,11/26,15
10,9,none,4,26,4/26,15
12,18,complex,5,26,5/26,17
12,18,none,5,26,5/26,17
12,18,trans,6,26,6/26,17
12,28,complex,18,26,18/26,19
12,35,complex,10,26,10/26,14
12,35,none,4,26,4/26,14
12,4,complex,13,26,13/26,15
12,4,none,2,26,2/26,15
13,21,complex,16,26,16/26,18
13,21,none,2,26,2/26,18
13,28,complex,14,26,14/26,14
13,34,complex,18,26,18/26,20
13,34,none,2,26,2/26,20
13,9,complex,15,26,15/26,19
13,9,none,4,26,4/26,19
15,28,complex,20,26,20/26,23
15,28,none,3,26,3/26,23
16,20,complex,19,26,19/26,22
16,20,none,3,26,3/26,22
16,21,complex,10,26,10/26,17
16,21,none,7,26,7/26,17
16,28,complex,25,26,25/26,25
16,35,complex,17,26,17/26,21
16,35,none,4,26,4/26,21
16,7,complex,21,26,21/26,23
16,7,none,2,26,2/26,23
18,12,trans,1,26,1/26,17
2,21,complex,26,26,26/26,26
2,22,complex,22,26,22/26,23
2,22,none,1,26,1/26,23
2,28,complex,16,26,16/26,19
2,28,none,3,26,3/26,19
2,34,complex,12,26,12/26,14
2,34,none,2,26,2/26,14
2,4,complex,22,26,22/26,25
2,4,none,3,26,3/26,25
2,8,complex,25,26,25/26,25
20,21,complex,10,26,10/26,16
20,21,none,6,26,6/26,16
20,22,complex,9,26,9/26,14
20,22,none,5,26,5/26,14
20,28,complex,26,26,26/26,26
20,35,complex,18,26,18/26,22
20,35,none,4,26,4/26,22
20,7,complex,19,26,19/26,21
20,7,none,2,26,2/26,21
20,9,complex,12,26,12/26,15
20,9,none,2,26,2/26,15
20,9,trans,1,26,1/26,15
21,22,complex,25,26,25/26,26
21,22,none,1,26,1/26,26
21,27,complex,6,26,6/26,15
21,27,none,5,26,5/26,15
21,27,trans,4,26,4/26,15
21,28,complex,16,26,16/26,17
21,28,none,1,26,1/26,17
21,34,complex,24,26,24/26,24
21,7,complex,11,26,11/26,14
21,7,none,3,26,3/26,14
22,28,complex,12,26,12/26,14
22,28,none,2,26,2/26,14
27,34,complex,8,26,8/26,16
27,34,none,1,26,1/26,16
28,12,trans,1,26,1/26,19
28,34,complex,12,26,12/26,14
28,34,none,2,26,2/26,14
28,35,complex,26,26,26/26,26
28,7,complex,26,26,26/26,26
28,9,complex,19,26,19/26,22
28,9,none,3,26,3/26,22
34,27,trans,7,26,7/26,16
34,7,complex,11,26,11/26,16
34,7,none,5,26,5/26,16
35,7,complex,20,26,20/26,25
35,7,none,5,26,5/26,25
35,9,complex,15,26,15/26,20
35,9,none,5,26,5/26,20
4,8,complex,15,26,15/26,16
4,8,none,1,26,1/26,16
4,9,complex,12,26,12/26,19
4,9,none,7,26,7/26,19
7,9,complex,13,26,13/26,16
7,9,none,3,26,3/26,16
