unique.split,parent.split,host,parent.host
BA3-SPLIT4,unassigned_region-SPLIT1,BA3,unassigned_region
BA1,unassigned_region-SPLIT2,BA1,unassigned_region
BA3-SPLIT1,BA1,BA3,BA1
BA3-SPLIT2,BA1,BA3,BA1
BA4,unassigned_region-SPLIT2,BA4,unassigned_region
BA2,unassigned_region-SPLIT3,BA2,unassigned_region
BA3-SPLIT3,unassigned_region-SPLIT3,BA3,unassigned_region
BA3-SPLIT5,unassigned_region-SPLIT1,BA3,unassigned_region
BA16,BA3-SPLIT5,BA16,BA3
BA8-SPLIT1,BA16,BA8,BA16
BA8-SPLIT2,BA16,BA8,BA16
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,BA3-SPLIT4,unassigned_region,BA3
unassigned_region-SPLIT3,BA4,unassigned_region,BA4
