host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
1,3,complex,14,26,14/26,26
1,3,none,2,26,2/26,26
16,3,complex,20,26,20/26,26
16,3,none,1,26,1/26,26
16,8,complex,20,26,20/26,24
16,8,none,1,26,1/26,24
16,8,trans,2,26,2/26,24
2,3,complex,17,26,17/26,26
2,3,none,1,26,1/26,26
2,4,none,1,26,1/26,22
3,1,trans,10,26,10/26,26
3,16,trans,5,26,5/26,26
3,2,trans,8,26,8/26,26
3,4,complex,24,26,24/26,26
3,4,trans,2,26,2/26,26
3,8,complex,10,26,10/26,15
3,8,none,2,26,2/26,15
3,8,trans,3,26,3/26,15
4,2,trans,21,26,21/26,22
8,16,trans,1,26,1/26,24
