unique.split,parent.split,host,parent.host
45-SPLIT1,unassigned_region-SPLIT1,45,unassigned_region
45-SPLIT6,unassigned_region-SPLIT1,45,unassigned_region
31-SPLIT1,unassigned_region-SPLIT2,31,unassigned_region
1,41-SPLIT2,1,41
31-SPLIT2,1,31,1
41-SPLIT1,1,41,1
31-SPLIT3,1,31,1
31-SPLIT4,1,31,1
31-SPLIT5,1,31,1
31-SPLIT6,1,31,1
41-SPLIT2,unassigned_region-SPLIT2,41,unassigned_region
31-SPLIT7,41-SPLIT2,31,41
29-SPLIT1,41-SPLIT2,29,41
44,unassigned_region-SPLIT2,44,unassigned_region
29-SPLIT2,44,29,44
42,44,42,44
45-SPLIT2,42,45,42
41-SPLIT3,44,41,44
41-SPLIT4,44,41,44
45-SPLIT3,44,45,44
45-SPLIT4,44,45,44
29-SPLIT3,44,29,44
45-SPLIT5,29-SPLIT3,45,29
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,45-SPLIT6,unassigned_region,45
