host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
BB1,BB31,complex,21,21,21/21,21
BB1,BB41,complex,17,21,17/21,19
BB1,BB41,none,2,21,2/21,19
BB29,BB41,complex,9,21,9/21,13
BB29,BB41,none,3,21,3/21,13
BB29,BB44,complex,9,21,9/21,15
BB29,BB45,complex,21,21,21/21,21
BB31,BB41,complex,21,21,21/21,21
BB41,BB29,trans,1,21,1/21,13
BB41,BB44,complex,12,21,12/21,12
BB41,BB45,complex,14,21,14/21,14
BB42,BB44,complex,15,21,15/21,19
BB42,BB44,trans,1,21,1/21,19
BB42,BB45,complex,20,21,20/21,21
BB42,BB45,none,1,21,1/21,21
BB44,BB29,trans,6,21,6/21,15
BB44,BB42,trans,3,21,3/21,19
BB44,BB45,complex,17,21,17/21,17
