unique.split,parent.split,host,parent.host
28-SPLIT1,30-SPLIT1,28,30
30-SPLIT1,28-SPLIT2,30,28
28-SPLIT2,unassigned_region-SPLIT1,28,unassigned_region
30-SPLIT2,28-SPLIT2,30,28
25-SPLIT1,28-SPLIT2,25,28
23-SPLIT1,28-SPLIT2,23,28
23-SPLIT2,28-SPLIT2,23,28
28-SPLIT5,unassigned_region-SPLIT1,28,unassigned_region
25-SPLIT2,28-SPLIT5,25,28
25-SPLIT3,28-SPLIT5,25,28
28-SPLIT3,25-SPLIT3,28,25
25-SPLIT4,23-SPLIT3,25,23
23-SPLIT3,28-SPLIT5,23,28
28-SPLIT4,23-SPLIT3,28,23
25-SPLIT5,28-SPLIT5,25,28
unassigned_region-SPLIT1,root,unassigned_region,root
