unique.split,parent.split,host,parent.host
BB44-SPLIT1,unassigned_region-SPLIT1,BB44,unassigned_region
AI240-SPLIT4,BB42,AI240,BB42
AI004-SPLIT11,AI240-SPLIT4,AI004,AI240
AI240-SPLIT1,AI004-SPLIT11,AI240,AI004
AI107-SPLIT6,AI004-SPLIT11,AI107,AI004
AI240-SPLIT2,AI107-SPLIT6,AI240,AI107
AI004-SPLIT1,AI107-SPLIT6,AI004,AI107
AI004-SPLIT2,AI107-SPLIT6,AI004,AI107
AI003-SPLIT1,unassigned_region-SPLIT2,AI003,unassigned_region
AI283-SPLIT1,unassigned_region-SPLIT2,AI283,unassigned_region
AI201-SPLIT1,AI004-SPLIT8,AI201,AI004
AI004-SPLIT8,unassigned_region-SPLIT2,AI004,unassigned_region
AI002-SPLIT1,AI004-SPLIT8,AI002,AI004
AI142-SPLIT1,AI002-SPLIT1,AI142,AI002
AI202-SPLIT1,AI002-SPLIT1,AI202,AI002
AI003-SPLIT2,AI202-SPLIT1,AI003,AI202
AI142-SPLIT2,AI002-SPLIT1,AI142,AI002
AI202-SPLIT2,AI002-SPLIT1,AI202,AI002
AI202-SPLIT3,unassigned_region-SPLIT3,AI202,unassigned_region
AI004-SPLIT3,unassigned_region-SPLIT3,AI004,unassigned_region
AI142-SPLIT3,unassigned_region-SPLIT3,AI142,unassigned_region
AI003-SPLIT3,unassigned_region-SPLIT3,AI003,unassigned_region
AI004-SPLIT4,AI002-SPLIT1,AI004,AI002
AI005-SPLIT1,AI002-SPLIT1,AI005,AI002
AI005-SPLIT2,unassigned_region-SPLIT4,AI005,unassigned_region
AI142-SPLIT4,unassigned_region-SPLIT4,AI142,unassigned_region
AI142-SPLIT5,AI002-SPLIT1,AI142,AI002
AI003-SPLIT4,AI002-SPLIT1,AI003,AI002
AI003-SPLIT5,AI002-SPLIT1,AI003,AI002
AI202-SPLIT4,AI142-SPLIT6,AI202,AI142
AI142-SPLIT6,AI002-SPLIT1,AI142,AI002
AI005-SPLIT3,AI004-SPLIT8,AI005,AI004
AI001-SPLIT1,AI004-SPLIT8,AI001,AI004
AI001-SPLIT2,unassigned_region-SPLIT5,AI001,unassigned_region
AI001-SPLIT3,AI107-SPLIT2,AI001,AI107
AI002-SPLIT2,AI107-SPLIT2,AI002,AI107
AI107-SPLIT2,AI002-SPLIT4,AI107,AI002
AI005-SPLIT4,AI107-SPLIT2,AI005,AI107
AI107-SPLIT1,AI005-SPLIT4,AI107,AI005
