unique.split,parent.split,host,parent.host
BB45-SPLIT1,unassigned_region-SPLIT1,BB45,unassigned_region
BB42-SPLIT4,unassigned_region-SPLIT1,BB42,unassigned_region
BB31-SPLIT1,BB44-SPLIT2,BB31,BB44
BB44-SPLIT2,BB42-SPLIT4,BB44,BB42
BB42-SPLIT1,BB44-SPLIT2,BB42,BB44
BB45-SPLIT2,BB42-SPLIT2,BB45,BB42
BB42-SPLIT2,BB44-SPLIT2,BB42,BB44
BB44-SPLIT1,BB42-SPLIT2,BB44,BB42
BB45-SPLIT3,BB42-SPLIT2,BB45,BB42
AQ25,unassigned_region-SPLIT3,AQ25,unassigned_region
AQ16-SPLIT2,AQ25,AQ16,AQ25
AQ4-SPLIT1,AQ90-SPLIT2,AQ4,AQ90
AQ28-SPLIT1,AQ4-SPLIT1,AQ28,AQ4
AQ92-SPLIT1,AQ4-SPLIT1,AQ92,AQ4
AQ28-SPLIT2,AQ4-SPLIT1,AQ28,AQ4
AQ90-SPLIT1,AQ4-SPLIT1,AQ90,AQ4
AQ90-SPLIT2,AQ4-SPLIT4,AQ90,AQ4
AQ92-SPLIT2,AQ90-SPLIT2,AQ92,AQ90
AQ28-SPLIT3,unassigned_region-SPLIT4,AQ28,unassigned_region
AQ4-SPLIT2,unassigned_region-SPLIT4,AQ4,unassigned_region
AQ92-SPLIT3,AQ90-SPLIT2,AQ92,AQ90
AQ13-SPLIT1,AQ4-SPLIT4,AQ13,AQ4
AQ4-SPLIT4,AQ16-SPLIT2,AQ4,AQ16
AQ13-SPLIT2,AQ4-SPLIT4,AQ13,AQ4
AQ90-SPLIT3,AQ4-SPLIT4,AQ90,AQ4
AQ16-SPLIT1,unassigned_region-SPLIT5,AQ16,unassigned_region
AQ28-SPLIT4,unassigned_region-SPLIT5,AQ28,unassigned_region
AQ89-SPLIT1,unassigned_region-SPLIT6,AQ89,unassigned_region
AQ6-SPLIT1,unassigned_region-SPLIT6,AQ6,unassigned_region
AQ6-SPLIT2,AQ4-SPLIT4,AQ6,AQ4
AQ13-SPLIT3,AQ4-SPLIT4,AQ13,AQ4
AQ92-SPLIT4,AQ4-SPLIT4,AQ92,AQ4
AQ4-SPLIT3,AQ90-SPLIT4,AQ4,AQ90
AQ90-SPLIT4,AQ4-SPLIT4,AQ90,AQ4
AQ13-SPLIT4,AQ4-SPLIT4,AQ13,AQ4
AQ13-SPLIT5,AQ4-SPLIT4,AQ13,AQ4
AQ90-SPLIT5,unassigned_region-SPLIT7,AQ90,unassigned_region
AQ92-SPLIT5,unassigned_region-SPLIT7,AQ92,unassigned_region
AQ92-SPLIT6,AQ89-SPLIT2,AQ92,AQ89
AQ90-SPLIT6,AQ89-SPLIT2,AQ90,AQ89
AQ89-SPLIT2,AQ4-SPLIT4,AQ89,AQ4
AQ89-SPLIT3,AQ4-SPLIT4,AQ89,AQ4
AC124,unassigned_region-SPLIT3,AC124,unassigned_region
AC123,AC124,AC123,AC124
AC122,AC124,AC122,AC124
AC121,AC124,AC121,AC124
BC46,unassigned_region-SPLIT3,BC46,unassigned_region
BC30,BC46,BC30,BC46
BJ28-SPLIT3,unassigned_region-SPLIT3,BJ28,unassigned_region
BJ28-SPLIT1,BJ25-SPLIT4,BJ28,BJ25
BJ25-SPLIT1,BJ28-SPLIT1,BJ25,BJ28
BJ25-SPLIT2,BJ28-SPLIT1,BJ25,BJ28
BJ25-SPLIT3,BJ28-SPLIT1,BJ25,BJ28
BJ25-SPLIT4,BJ28-SPLIT3,BJ25,BJ28
BJ28-SPLIT2,BJ25-SPLIT4,BJ28,BJ25
BJ25-SPLIT5,BJ28-SPLIT3,BJ25,BJ28
BJ23-SPLIT1,BJ28-SPLIT3,BJ23,BJ28
BJ25-SPLIT6,BJ28-SPLIT3,BJ25,BJ28
BJ23-SPLIT2,BJ28-SPLIT3,BJ23,BJ28
BJ23-SPLIT3,BJ28-SPLIT3,BJ23,BJ28
BJ25-SPLIT7,BJ28-SPLIT3,BJ25,BJ28
BJ23-SPLIT4,BJ28-SPLIT3,BJ23,BJ28
BJ23-SPLIT5,BJ28-SPLIT3,BJ23,BJ28
BJ30-SPLIT1,BJ28-SPLIT3,BJ30,BJ28
BJ30-SPLIT2,BJ28-SPLIT3,BJ30,BJ28
BJ30-SPLIT3,BJ28-SPLIT3,BJ30,BJ28
AI003-SPLIT1,AI283-SPLIT4,AI003,AI283
AI283-SPLIT4,unassigned_region-SPLIT3,AI283,unassigned_region
AI007,AI283-SPLIT4,AI007,AI283
AI004-SPLIT1,AI007,AI004,AI007
AI283-SPLIT1,AI201-SPLIT1,AI283,AI201
AI201-SPLIT1,AI007,AI201,AI007
AI004-SPLIT2,unassigned_region-SPLIT8,AI004,unassigned_region
AI107-SPLIT1,unassigned_region-SPLIT8,AI107,unassigned_region
AI283-SPLIT2,unassigned_region-SPLIT8,AI283,unassigned_region
AI201-SPLIT2,AI007,AI201,AI007
AI004-SPLIT3,AI007,AI004,AI007
AI003-SPLIT2,AI007,AI003,AI007
AI003-SPLIT3,AI007,AI003,AI007
AI003-SPLIT4,AI283-SPLIT4,AI003,AI283
AI004-SPLIT15,AI283-SPLIT4,AI004,AI283
AI283-SPLIT3,unassigned_region-SPLIT9,AI283,unassigned_region
AI004-SPLIT4,AI201-SPLIT4,AI004,AI201
AI201-SPLIT4,unassigned_region-SPLIT9,AI201,unassigned_region
AI001,AI201-SPLIT4,AI001,AI201
AI004-SPLIT5,unassigned_region-SPLIT10,AI004,unassigned_region
AI052-SPLIT1,AI105,AI052,AI105
AI105,unassigned_region-SPLIT10,AI105,unassigned_region
AI052-SPLIT2,AI105,AI052,AI105
AI004-SPLIT6,unassigned_region-SPLIT11,AI004,unassigned_region
AI002-SPLIT2,unassigned_region-SPLIT11,AI002,unassigned_region
AI005-SPLIT1,AI002-SPLIT2,AI005,AI002
