unique.split,parent.split,host,parent.host
AX89-SPLIT3,AC124-SPLIT3,AX89,AC124
AX82-SPLIT1,unassigned_region-SPLIT3,AX82,unassigned_region
AX39-SPLIT1,unassigned_region-SPLIT3,AX39,unassigned_region
AX43-SPLIT1,unassigned_region-SPLIT4,AX43,unassigned_region
AX82-SPLIT2,unassigned_region-SPLIT4,AX82,unassigned_region
AX4-SPLIT5,unassigned_region-SPLIT2,AX4,unassigned_region
AX39-SPLIT2,AX4-SPLIT5,AX39,AX4
AX39-SPLIT3,AX4-SPLIT5,AX39,AX4
AX84,AX4-SPLIT5,AX84,AX4
AX85-SPLIT1,AX4-SPLIT5,AX85,AX4
AX82-SPLIT3,unassigned_region-SPLIT5,AX82,unassigned_region
AX43-SPLIT2,unassigned_region-SPLIT5,AX43,unassigned_region
AX14-SPLIT1,AX4-SPLIT5,AX14,AX4
AX43-SPLIT3,AX4-SPLIT5,AX43,AX4
AX3-SPLIT1,AX43-SPLIT5,AX3,AX43
AX14-SPLIT2,unassigned_region-SPLIT7,AX14,unassigned_region
AX3-SPLIT2,unassigned_region-SPLIT7,AX3,unassigned_region
AX89-SPLIT1,AX43-SPLIT5,AX89,AX43
AX43-SPLIT5,unassigned_region-SPLIT6,AX43,unassigned_region
AX85-SPLIT2,AX43-SPLIT5,AX85,AX43
AX85-SPLIT3,AX43-SPLIT5,AX85,AX43
AX43-SPLIT4,AX82-SPLIT4,AX43,AX82
AX82-SPLIT4,AX43-SPLIT5,AX82,AX43
AX4-SPLIT1,AX43-SPLIT5,AX4,AX43
AX82-SPLIT5,AX43-SPLIT5,AX82,AX43
AX4-SPLIT2,AX43-SPLIT5,AX4,AX43
AX39-SPLIT4,AX43-SPLIT5,AX39,AX43
AX42-SPLIT1,AX43-SPLIT5,AX42,AX43
AX4-SPLIT3,AX89-SPLIT2,AX4,AX89
AX89-SPLIT2,AX43-SPLIT5,AX89,AX43
AX4-SPLIT4,unassigned_region-SPLIT8,AX4,unassigned_region
AX41,unassigned_region-SPLIT8,AX41,unassigned_region
AX3-SPLIT3,AX41,AX3,AX41
AX85-SPLIT4,AX3-SPLIT4,AX85,AX3
AX3-SPLIT4,unassigned_region-SPLIT6,AX3,unassigned_region
AX82-SPLIT6,AX3-SPLIT4,AX82,AX3
AX82-SPLIT7,AX3-SPLIT4,AX82,AX3
AX14-SPLIT3,AX4-SPLIT5,AX14,AX4
AX82-SPLIT8,AX4-SPLIT5,AX82,AX4
AX43-SPLIT6,AX4-SPLIT5,AX43,AX4
AX43-SPLIT7,unassigned_region-SPLIT2,AX43,unassigned_region
AX42-SPLIT2,unassigned_region-SPLIT2,AX42,unassigned_region
AH05,unassigned_region-SPLIT9,AH05,unassigned_region
AH10,AH05,AH10,AH05
BB45-SPLIT1,unassigned_region-SPLIT9,BB45,unassigned_region
BB29-SPLIT2,unassigned_region-SPLIT9,BB29,unassigned_region
BB31-SPLIT4,unassigned_region-SPLIT10,BB31,unassigned_region
BB41-SPLIT1,BB31-SPLIT4,BB41,BB31
BB41-SPLIT2,BB31-SPLIT4,BB41,BB31
BB1-SPLIT2,BB31-SPLIT4,BB1,BB31
BB31-SPLIT1,BB1-SPLIT2,BB31,BB1
BB41-SPLIT3,BB31-SPLIT2,BB41,BB31
BB31-SPLIT2,BB1-SPLIT2,BB31,BB1
BB1-SPLIT1,BB31-SPLIT3,BB1,BB31
BB41-SPLIT4,BB31-SPLIT3,BB41,BB31
BB31-SPLIT3,BB1-SPLIT2,BB31,BB1
BB1-SPLIT3,BB31-SPLIT4,BB1,BB31
BB44-SPLIT1,unassigned_region-SPLIT10,BB44,unassigned_region
BB45-SPLIT2,BB44-SPLIT1,BB45,BB44
BB29-SPLIT1,BB44-SPLIT1,BB29,BB44
BB41-SPLIT5,BB44-SPLIT1,BB41,BB44
BB42-SPLIT1,BB44-SPLIT1,BB42,BB44
BB45-SPLIT3,unassigned_region-SPLIT10,BB45,unassigned_region
BB45-SPLIT4,BB42-SPLIT3,BB45,BB42
BB42-SPLIT3,unassigned_region-SPLIT10,BB42,unassigned_region
BB45-SPLIT5,BB42-SPLIT3,BB45,BB42
BB44-SPLIT2,BB42-SPLIT3,BB44,BB42
BB42-SPLIT2,BB44-SPLIT2,BB42,BB44
BB45-SPLIT6,BB44-SPLIT2,BB45,BB44
BX100,unassigned_region-SPLIT9,BX100,unassigned_region
BX1-SPLIT1,BX100,BX1,BX100
BX1-SPLIT2,BX100,BX1,BX100
BX1-SPLIT3,BX100,BX1,BX100
BX1-SPLIT4,BX100,BX1,BX100
BX308,BX100,BX308,BX100
BX1-SPLIT5,BX100,BX1,BX100
BX1-SPLIT6,BX100,BX1,BX100
AC124-SPLIT3,unassigned_region-SPLIT1,AC124,unassigned_region
AK31-SPLIT8,unassigned_region-SPLIT11,AK31,unassigned_region
AK18-SPLIT1,AK31-SPLIT8,AK18,AK31
AK2-SPLIT1,AK18-SPLIT3,AK2,AK18
AK18-SPLIT2,AK2-SPLIT1,AK18,AK2
AK31-SPLIT1,AK2-SPLIT1,AK31,AK2
AK18-SPLIT3,unassigned_region-SPLIT12,AK18,unassigned_region
AK31-SPLIT2,AK18-SPLIT3,AK31,AK18
AK2-SPLIT2,AK18-SPLIT3,AK2,AK18
AK2-SPLIT3,AK18-SPLIT3,AK2,AK18
AI004-SPLIT1,unassigned_region-SPLIT13,AI004,unassigned_region
AI002-SPLIT1,unassigned_region-SPLIT13,AI002,unassigned_region
AI005-SPLIT4,unassigned_region-SPLIT13,AI005,unassigned_region
AI001-SPLIT1,AI005-SPLIT4,AI001,AI005
