host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
AA20,AA45,complex,14,21,14/21,21
AA45,AA20,trans,7,21,7/21,21
AA45,AA8,complex,21,21,21/21,21
AA45,AB120,complex,6,21,6/21,15
AA45,AB120,none,9,21,9/21,15
AA45,AE4,complex,1,21,1/21,12
AA45,AE4,none,11,21,11/21,12
AA45,AJ199,complex,10,21,10/21,17
AA45,AJ199,none,7,21,7/21,17
AA45,AO6,complex,3,21,3/21,12
AA45,AO6,none,9,21,9/21,12
AA45,AS4,none,11,21,11/21,14
AA45,AS4,trans,3,21,3/21,14
AA45,AU64,complex,1,21,1/21,19
AA45,AU64,none,14,21,14/21,19
AA45,AU64,trans,4,21,4/21,19
AA45,AY5,complex,2,21,2/21,19
AA45,AY5,none,13,21,13/21,19
AA45,AY5,trans,4,21,4/21,19
AA45,BA8,complex,3,21,3/21,13
AA45,BA8,none,6,21,6/21,13
AA45,BA8,trans,4,21,4/21,13
AA45,BP22,complex,4,21,4/21,18
AA45,BP22,none,14,21,14/21,18
AB117,AB120,complex,17,21,17/21,21
AB120,AB117,trans,4,21,4/21,21
AB120,AE4,complex,6,21,6/21,13
AB120,AE4,none,7,21,7/21,13
AB120,AJ199,complex,7,21,7/21,16
AB120,AJ199,none,5,21,5/21,16
AB120,AJ199,trans,2,21,2/21,16
AB120,AO6,complex,5,21,5/21,11
AB120,AO6,none,6,21,6/21,11
AB120,AS4,complex,1,21,1/21,11
AB120,AS4,none,9,21,9/21,11
AB120,AS4,trans,1,21,1/21,11
AB120,AU64,none,11,21,11/21,15
AB120,AU64,trans,4,21,4/21,15
AB120,AW2,complex,5,21,5/21,13
AB120,AW2,none,8,21,8/21,13
AB120,AY5,complex,1,21,1/21,17
AB120,AY5,none,10,21,10/21,17
AB120,AY5,trans,6,21,6/21,17
AB120,BP22,complex,5,21,5/21,15
AB120,BP22,none,10,21,10/21,15
AC121,AC122,complex,5,21,5/21,12
AC121,AC122,none,1,21,1/21,12
