host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18
AA20,1000_to_1099,1049.5,17,17,1,9,0.005072941176470588,0.005072941176470588,0.012374,0.024732,0.010080367647058823,0.010080367647058823,0.005072941176470588,0.005072941176470588,0.012374,0.024732,0.010080367647058823,0.010080367647058823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA45,1000_to_1099,1049.5,75,75,5,20,0.061807533333333366,0.03987310526315788,0.074984,0.246353,0.06795209081081081,0.03136159147869674,0.061807533333333366,0.03987310526315788,0.074984,0.246353,0.06795209081081081,0.03136159147869674,0.76,0.12,0.09333333333333334,0.013333333333333334,0.013333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0
AA8,1000_to_1099,1049.5,26,26,4,15,0.009681153846153848,0.007096782608695654,0.043388,0.06803700000000001,0.011661113846153846,0.0067513833992094855,0.009681153846153848,0.007096782608695654,0.043388,0.06803700000000001,0.011661113846153846,0.0067513833992094855,0.8846153846153846,0.038461538461538464,0.038461538461538464,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB117,1000_to_1099,1049.5,16,16,2,10,0.0045283749999999985,0.004295266666666667,0.012154,0.02824,0.00858155,0.008048857142857142,0.0045283749999999985,0.004295266666666667,0.012154,0.02824,0.00858155,0.008048857142857142,0.9375,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB120,1000_to_1099,1049.5,32,32,2,7,0.06543953125000002,0.0649471379310345,0.041557,0.22886700000000004,0.09234980846774193,0.09070551724137932,0.06543953125000002,0.0649471379310345,0.041557,0.22886700000000004,0.09234980846774193,0.09070551724137932,0.90625,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC121,1000_to_1099,1049.5,20,20,1,1,0.010233700000000004,0.010233700000000004,0.016664000000000002,0.045334,0.018741926315789473,0.018741926315789473,0.010233700000000004,0.010233700000000004,0.016664000000000002,0.045334,0.018741926315789473,0.018741926315789473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC122,1000_to_1099,1049.5,13,13,1,4,0.004664692307692308,0.004664692307692308,0.012162,0.024222999999999998,0.00911825641025641,0.00911825641025641,0.004664692307692308,0.004664692307692308,0.012162,0.024222999999999998,0.00911825641025641,0.00911825641025641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC123,1000_to_1099,1049.5,19,19,1,7,0.014818473684210524,0.014818473684210524,0.016105,0.05621000000000001,0.023373298245614037,0.023373298245614037,0.014818473684210524,0.014818473684210524,0.016105,0.05621000000000001,0.023373298245614037,0.023373298245614037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC124,1000_to_1099,1049.5,34,34,3,17,0.08898744117647057,0.08275564516129032,0.139514,0.414507,0.1210330962566845,0.10875119139784946,0.08898744117647057,0.08275564516129032,0.139514,0.414507,0.1210330962566845,0.10875119139784946,0.9117647058823529,0.058823529411764705,0.029411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD001,1000_to_1099,1049.5,8,8,5,5,0.004346625000000001,0.0028957500000000003,0.007718,0.019296,0.007033321428571429,0.005790833333333334,0.004346625000000001,0.0028957500000000003,0.007718,0.019296,0.007033321428571429,0.005790833333333334,0.5,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
