unique.split,parent.split,host,parent.host
BB41-SPLIT1,BB1-SPLIT6,BB41,BB1
BB1-SPLIT6,unassigned_region-SPLIT1,BB1,unassigned_region
BB1-SPLIT1,BB31-SPLIT1,BB1,BB31
BB31-SPLIT1,BB1-SPLIT6,BB31,BB1
BB1-SPLIT2,BB31-SPLIT1,BB1,BB31
BB1-SPLIT3,BB31-SPLIT1,BB1,BB31
BB41-SPLIT2,BB31-SPLIT1,BB41,BB31
BB1-SPLIT4,BB31-SPLIT1,BB1,BB31
BB41-SPLIT3,BB31-SPLIT1,BB41,BB31
BB41-SPLIT4,BB31-SPLIT1,BB41,BB31
BB1-SPLIT5,BB31-SPLIT1,BB1,BB31
BB31-SPLIT2,BB1-SPLIT6,BB31,BB1
BB29,unassigned_region-SPLIT1,BB29,unassigned_region
BC46,unassigned_region-SPLIT2,BC46,unassigned_region
BC30-SPLIT1,BC46,BC30,BC46
BC30-SPLIT2,BC46,BC30,BC46
BJ23-SPLIT1,BJ28-SPLIT5,BJ23,BJ28
BJ25-SPLIT1,BJ28-SPLIT5,BJ25,BJ28
BJ28-SPLIT5,unassigned_region-SPLIT2,BJ28,unassigned_region
BJ23-SPLIT2,BJ28-SPLIT5,BJ23,BJ28
BJ25-SPLIT3,BJ28-SPLIT5,BJ25,BJ28
BJ28-SPLIT1,BJ25-SPLIT3,BJ28,BJ25
BJ28-SPLIT2,BJ25-SPLIT3,BJ28,BJ25
BJ25-SPLIT2,BJ28-SPLIT3,BJ25,BJ28
BJ28-SPLIT3,BJ25-SPLIT3,BJ28,BJ25
BJ28-SPLIT4,BJ25-SPLIT3,BJ28,BJ25
BJ25-SPLIT4,BJ28-SPLIT5,BJ25,BJ28
BJ23-SPLIT3,BJ28-SPLIT5,BJ23,BJ28
BJ30-SPLIT1,BJ28-SPLIT5,BJ30,BJ28
BJ25-SPLIT5,BJ28-SPLIT5,BJ25,BJ28
BJ23-SPLIT4,BJ28-SPLIT5,BJ23,BJ28
BJ30-SPLIT2,BJ28-SPLIT5,BJ30,BJ28
BJ23-SPLIT5,BJ30-SPLIT3,BJ23,BJ30
BJ30-SPLIT3,BJ28-SPLIT5,BJ30,BJ28
AQ25-SPLIT3,unassigned_region-SPLIT2,AQ25,unassigned_region
AQ25-SPLIT1,AQ4-SPLIT2,AQ25,AQ4
AQ4-SPLIT1,AQ90-SPLIT1,AQ4,AQ90
AQ90-SPLIT1,AQ4-SPLIT2,AQ90,AQ4
AQ16-SPLIT1,AQ4-SPLIT2,AQ16,AQ4
AQ13-SPLIT1,AQ4-SPLIT2,AQ13,AQ4
AQ28-SPLIT1,AQ4-SPLIT2,AQ28,AQ4
