host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
AA20,AA45,complex,14,21,14/21,21
AA45,AA20,trans,7,21,7/21,21
AA45,AA8,complex,21,21,21/21,21
AA45,AJ199,complex,6,21,6/21,14
AA45,AJ199,none,7,21,7/21,14
AA45,AJ199,trans,1,21,1/21,14
AA45,BA3,complex,10,21,10/21,14
AA45,BA3,none,4,21,4/21,14
AC121,AC122,complex,4,21,4/21,11
AC121,AC122,none,1,21,1/21,11
AC121,AC122,trans,6,21,6/21,11
AC121,AC124,complex,16,21,16/21,21
AC122,AC124,complex,8,21,8/21,16
AC123,AC124,complex,4,21,4/21,21
AC124,AC121,trans,5,21,5/21,21
AC124,AC122,trans,8,21,8/21,16
AC124,AC123,trans,17,21,17/21,21
AC124,AQ25,none,16,21,16/21,16
AC124,BB45,complex,5,21,5/21,16
AC124,BB45,none,8,21,8/21,16
AC124,BC46,complex,2,21,2/21,16
AC124,BC46,none,13,21,13/21,16
AC124,BC46,trans,1,21,1/21,16
AC124,BJ28,complex,1,21,1/21,18
AC124,BJ28,none,17,21,17/21,18
AI001,AI002,complex,21,21,21/21,21
AI001,AI004,complex,19,21,19/21,19
AI001,AI005,complex,18,21,18/21,19
AI001,AI005,none,1,21,1/21,19
AI001,AI102,complex,15,21,15/21,17
AI001,AI102,trans,2,21,2/21,17
AI001,AI105,complex,12,21,12/21,14
AI001,AI105,trans,2,21,2/21,14
AI001,AI107,complex,20,21,20/21,21
AI001,AI107,none,1,21,1/21,21
AI001,AI201,complex,11,21,11/21,11
AI002,AI003,complex,20,21,20/21,20
AI002,AI004,complex,21,21,21/21,21
AI002,AI005,complex,21,21,21/21,21
AI002,AI107,complex,18,21,18/21,20
AI002,AI107,none,2,21,2/21,20
AI002,AI142,complex,21,21,21/21,21
AI002,AI202,complex,21,21,21/21,21
AI003,AI004,complex,19,21,19/21,19
AI003,AI007,complex,14,21,14/21,18
AI003,AI007,none,4,21,4/21,18
