dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR01_sl1000_mr0125_nv10_1,0.846,0.611,0.71,1,0.778,0.875,1,0.833,0.909,0.684,0.722,0.703,0.765,0.722,0.743,1,0.833,0.909
SEIR01_sl1000_mr0125_nv10_10,0.949,0.685,0.796,0.96,0.889,0.923,0.962,0.926,0.943,0.926,0.926,0.926,0.917,0.815,0.863,0.917,0.815,0.863
SEIR01_sl1000_mr0125_nv10_11,1,0.769,0.87,1,0.923,0.96,1,0.923,0.96,0.923,0.923,0.923,0.923,0.923,0.923,0.917,0.846,0.88
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.4,0.571,1,0.4,0.571,0.2,0.2,0.2,0.25,0.2,0.222,1,0.8,0.889
SEIR01_sl1000_mr0125_nv10_13,0.9,0.9,0.9,1,0.7,0.824,0.889,0.8,0.842,0.818,0.9,0.857,0.818,0.9,0.857,1,1,1
SEIR01_sl1000_mr0125_nv10_14,0.96,0.8,0.873,0.966,0.933,0.949,0.966,0.933,0.949,0.933,0.933,0.933,0.933,0.933,0.933,0.966,0.933,0.949
SEIR01_sl1000_mr0125_nv10_15,1,0.417,0.588,1,0.792,0.884,0.952,0.833,0.889,0.833,0.833,0.833,0.826,0.792,0.809,1,0.708,0.829
SEIR01_sl1000_mr0125_nv10_16,0.667,0.286,0.4,0.8,0.571,0.667,0.8,0.571,0.667,0.714,0.714,0.714,0.714,0.714,0.714,0.833,0.714,0.769
SEIR01_sl1000_mr0125_nv10_17,0.636,0.583,0.609,0.778,0.583,0.667,0.667,0.667,0.667,0.769,0.833,0.8,0.769,0.833,0.8,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.921,0.778,0.843,0.907,0.867,0.886,0.886,0.867,0.876,0.851,0.889,0.87,0.87,0.889,0.879,0.951,0.867,0.907
SEIR01_sl1000_mr0125_nv10_19,0.952,0.667,0.784,1,0.767,0.868,1,0.867,0.929,0.833,0.833,0.833,0.893,0.833,0.862,0.964,0.9,0.931
SEIR01_sl1000_mr0125_nv10_2,0.941,0.615,0.744,1,0.731,0.844,0.955,0.808,0.875,0.923,0.923,0.923,0.923,0.923,0.923,1,1,1
SEIR01_sl1000_mr0125_nv10_20,0.913,0.84,0.875,0.952,0.8,0.87,0.875,0.84,0.857,0.846,0.88,0.863,0.957,0.88,0.917,0.958,0.92,0.939
