dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR003_sl1000_mr025_nv10_1,0.9,0.643,0.75,0.769,0.714,0.741,0.769,0.714,0.741,0.714,0.714,0.714,0.769,0.714,0.741,0.769,0.714,0.741
SIR003_sl1000_mr025_nv10_10,0.8,0.615,0.696,0.917,0.846,0.88,0.917,0.846,0.88,0.692,0.692,0.692,0.75,0.692,0.72,0.917,0.846,0.88
SIR003_sl1000_mr025_nv10_11,0.933,0.467,0.622,0.731,0.633,0.679,0.731,0.633,0.679,0.633,0.633,0.633,0.739,0.567,0.642,0.783,0.6,0.679
SIR003_sl1000_mr025_nv10_12,0.939,0.633,0.756,0.905,0.776,0.835,0.87,0.816,0.842,0.78,0.796,0.788,0.905,0.776,0.835,0.974,0.776,0.864
SIR003_sl1000_mr025_nv10_13,0.75,0.273,0.4,0.667,0.364,0.471,0.667,0.364,0.471,0.545,0.545,0.545,0.667,0.364,0.471,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,1,0.467,0.636,0.909,0.667,0.769,0.909,0.667,0.769,0.867,0.867,0.867,0.923,0.8,0.857,0.923,0.8,0.857
SIR003_sl1000_mr025_nv10_15,0.846,0.458,0.595,0.933,0.583,0.718,0.933,0.583,0.718,0.708,0.708,0.708,0.7,0.583,0.636,0.875,0.583,0.7
SIR003_sl1000_mr025_nv10_16,0.875,0.412,0.56,0.769,0.588,0.667,0.769,0.588,0.667,0.647,0.647,0.647,0.786,0.647,0.71,0.909,0.588,0.714
SIR003_sl1000_mr025_nv10_17,0.85,0.739,0.791,0.895,0.739,0.81,0.9,0.783,0.837,0.75,0.783,0.766,0.818,0.783,0.8,0.947,0.783,0.857
SIR003_sl1000_mr025_nv10_18,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571,1,1,1,1,1,1,1,1,1
SIR003_sl1000_mr025_nv10_19,0.909,0.417,0.571,0.75,0.5,0.6,0.765,0.542,0.634,0.792,0.792,0.792,0.773,0.708,0.739,0.778,0.583,0.667
SIR003_sl1000_mr025_nv10_2,0.875,0.737,0.8,1,0.789,0.882,1,0.842,0.914,0.85,0.895,0.872,0.875,0.737,0.8,1,0.789,0.882
SIR003_sl1000_mr025_nv10_20,0.75,0.333,0.462,0.857,0.667,0.75,0.857,0.667,0.75,0.778,0.778,0.778,0.75,0.667,0.706,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_3,1,0.731,0.844,1,0.731,0.844,1,0.731,0.844,0.769,0.769,0.769,0.95,0.731,0.826,1,0.731,0.844
