dataset,phy_f1,tnet_f1,tnet_50_f1,tnet_80_f1,tnet_100_f1
SEIR015_sl1000_mr0125_nv10_1,0.596,0.735,0.822,0.763,0.758
SEIR015_sl1000_mr0125_nv10_10,0.774,0.789,0.842,0.889,0.857
SEIR015_sl1000_mr0125_nv10_11,0.471,0.769,0.923,0.818,0.818
SEIR015_sl1000_mr0125_nv10_12,0.783,0.714,0.929,0.833,0.833
SEIR015_sl1000_mr0125_nv10_13,0.701,0.86,0.94,0.864,0.837
SEIR015_sl1000_mr0125_nv10_14,0.831,0.904,0.932,0.949,0.928
SEIR015_sl1000_mr0125_nv10_15,0.448,0.8,0.86,0.757,0.732
SEIR015_sl1000_mr0125_nv10_16,0.844,0.905,0.905,0.911,0.926
SEIR015_sl1000_mr0125_nv10_17,0.818,1.0,0.962,0.98,0.98
SEIR015_sl1000_mr0125_nv10_18,0.75,0.9,0.9,0.889,0.889
SEIR015_sl1000_mr0125_nv10_19,0.76,0.935,0.897,0.852,0.808
SEIR015_sl1000_mr0125_nv10_2,0.72,0.875,1.0,0.933,0.933
SEIR015_sl1000_mr0125_nv10_20,0.845,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr0125_nv10_3,0.8,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr0125_nv10_4,0.824,0.9,0.8,0.842,0.842
SEIR015_sl1000_mr0125_nv10_5,0.381,0.667,0.622,0.457,0.457
SEIR015_sl1000_mr0125_nv10_6,0.542,0.657,0.783,0.781,0.774
SEIR015_sl1000_mr0125_nv10_7,0.764,0.926,0.985,0.97,0.929
SEIR015_sl1000_mr0125_nv10_8,0.667,1.0,1.0,1.0,0.909
SEIR015_sl1000_mr0125_nv10_9,0.444,0.857,0.78,0.743,0.765
SEIR015_sl1000_mr025_nv10_1,0.75,0.7,1.0,0.947,0.947
SEIR015_sl1000_mr025_nv10_10,0.308,1.0,1.0,0.842,0.842
SEIR015_sl1000_mr025_nv10_11,0.564,0.839,0.954,0.891,0.857
SEIR015_sl1000_mr025_nv10_12,0.667,0.8,0.842,0.824,0.824
SEIR015_sl1000_mr025_nv10_13,0.462,0.5,0.842,0.625,0.667
SEIR015_sl1000_mr025_nv10_14,0.718,0.96,0.98,0.958,0.913
SEIR015_sl1000_mr025_nv10_15,0.585,0.828,0.957,0.876,0.832
SEIR015_sl1000_mr025_nv10_16,0.783,0.857,0.889,0.923,0.923
SEIR015_sl1000_mr025_nv10_17,0.667,0.868,0.974,0.886,0.8
SEIR015_sl1000_mr025_nv10_18,0.746,0.865,0.889,0.87,0.882
SEIR015_sl1000_mr025_nv10_19,0.69,0.947,0.947,0.973,0.848
SEIR015_sl1000_mr025_nv10_2,0.545,0.92,0.901,0.835,0.788
SEIR015_sl1000_mr025_nv10_20,0.769,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr025_nv10_3,0.85,0.978,0.978,0.944,0.932
SEIR015_sl1000_mr025_nv10_4,0.687,0.909,0.93,0.9,0.827
SEIR015_sl1000_mr025_nv10_5,0.703,0.958,0.958,0.935,0.886
SEIR015_sl1000_mr025_nv10_6,0.647,0.935,0.957,0.92,0.92
SEIR015_sl1000_mr025_nv10_7,0.875,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr025_nv10_8,0.824,0.85,0.919,0.889,0.889
SEIR015_sl1000_mr025_nv10_9,0.713,0.982,0.919,0.913,0.913
SEIR015_sl1000_mr025_nv20_1,0.696,0.8,0.929,0.889,0.889
SEIR015_sl1000_mr025_nv20_10,0.714,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr025_nv20_11,0.7,0.923,1.0,0.96,0.87
SEIR015_sl1000_mr025_nv20_12,0.667,0.75,0.789,0.857,0.824
SEIR015_sl1000_mr025_nv20_13,0.875,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr025_nv20_14,0.483,1.0,0.955,0.927,0.872
SEIR015_sl1000_mr025_nv20_15,0.737,0.958,0.875,0.889,0.889
SEIR015_sl1000_mr025_nv20_16,0.846,1.0,1.0,0.983,0.983
SEIR015_sl1000_mr025_nv20_17,0.682,0.875,0.917,0.913,0.88
SEIR015_sl1000_mr025_nv20_18,0.7,0.846,0.921,0.932,0.901
SEIR015_sl1000_mr025_nv20_19,0.842,1.0,0.909,0.909,0.952
SEIR015_sl1000_mr025_nv20_2,0.889,1.0,0.96,0.98,0.98
SEIR015_sl1000_mr025_nv20_20,0.643,0.737,0.743,0.75,0.75
SEIR015_sl1000_mr025_nv20_3,0.731,0.803,0.896,0.835,0.842
SEIR015_sl1000_mr025_nv20_4,0.596,0.788,0.954,0.862,0.706
SEIR015_sl1000_mr025_nv20_5,0.528,0.949,0.974,0.932,0.87
SEIR015_sl1000_mr025_nv20_6,0.831,1.0,1.0,0.944,0.944
SEIR015_sl1000_mr025_nv20_7,0.82,0.944,0.944,0.944,0.941
SEIR015_sl1000_mr025_nv20_8,0.759,0.701,0.885,0.835,0.804
SEIR015_sl1000_mr025_nv20_9,0.5,0.778,0.971,0.8,0.714
SEIR015_sl1000_mr025_nv5_1,0.353,0.786,0.929,0.75,0.696
SEIR015_sl1000_mr025_nv5_10,0.714,0.861,0.944,0.912,0.862
SEIR015_sl1000_mr025_nv5_11,0.508,0.809,0.857,0.815,0.769
SEIR015_sl1000_mr025_nv5_12,0.429,0.818,0.818,0.429,0.429
SEIR015_sl1000_mr025_nv5_13,0.735,0.871,0.885,0.877,0.877
SEIR015_sl1000_mr025_nv5_14,0.75,0.733,0.786,0.769,0.769
SEIR015_sl1000_mr025_nv5_15,0.571,0.831,0.839,0.842,0.829
SEIR015_sl1000_mr025_nv5_16,0.514,0.769,0.98,0.818,0.818
SEIR015_sl1000_mr025_nv5_17,0.586,0.78,0.902,0.875,0.831
SEIR015_sl1000_mr025_nv5_18,0.533,0.764,0.788,0.745,0.756
SEIR015_sl1000_mr025_nv5_19,0.625,0.727,0.632,0.588,0.588
SEIR015_sl1000_mr025_nv5_2,0.364,0.556,0.875,0.615,0.615
SEIR015_sl1000_mr025_nv5_20,0.561,0.878,0.815,0.746,0.746
SEIR015_sl1000_mr025_nv5_3,0.457,0.667,0.735,0.714,0.714
SEIR015_sl1000_mr025_nv5_4,0.485,0.86,0.887,0.879,0.828
SEIR015_sl1000_mr025_nv5_5,0.32,0.667,0.78,0.778,0.667
SEIR015_sl1000_mr025_nv5_6,0.368,0.603,0.644,0.66,0.667
SEIR015_sl1000_mr025_nv5_7,0.424,0.808,0.962,0.894,0.844
SEIR015_sl1000_mr025_nv5_8,0.562,0.739,0.826,0.8,0.8
SEIR015_sl1000_mr025_nv5_9,0.596,0.75,0.711,0.75,0.75
SEIR015_sl1000_mr05_nv10_1,0.692,0.941,0.848,0.786,0.786
SEIR015_sl1000_mr05_nv10_10,0.875,1.0,1.0,1.0,1.0
