host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
110,13,FALSE,FALSE,0,0,1,1,none,6.942773999999999
110,131,FALSE,FALSE,0,0,1,1,none,7.681664459999999
13,131,TRUE,TRUE,1,0,1,1,anc,0.44628
110,144,FALSE,FALSE,0,0,1,1,none,3.5996989
13,144,FALSE,FALSE,0,0,1,1,none,3.5147988999999997
131,144,FALSE,FALSE,0,0,1,1,none,4.25368936
110,150,FALSE,FALSE,0,0,1,1,none,7.102778999999998
13,150,FALSE,FALSE,0,0,1,1,none,6.416174999999999
131,150,FALSE,FALSE,0,0,1,1,none,7.1550654599999985
144,150,FALSE,FALSE,0,0,1,1,none,3.6748038999999997
110,152,FALSE,FALSE,0,0,1,1,none,7.678231799999999
13,152,TRUE,TRUE,1,0,1,1,anc,0.667473
131,152,FALSE,FALSE,0,0,1,1,none,1.47434826
144,152,FALSE,FALSE,0,0,1,1,none,4.2502566999999996
150,152,FALSE,FALSE,0,0,1,1,none,7.151632799999999
110,280,TRUE,TRUE,0,1,1,1,desc,0.502477
13,280,TRUE,TRUE,0,1,1,1,desc,0.60267
131,280,FALSE,FALSE,0,1,1,1,desc,1.3415604600000002
144,280,TRUE,TRUE,0,0,1,1,none,0.0858619
150,280,TRUE,TRUE,0,1,1,1,desc,3.28809
152,280,FALSE,FALSE,0,1,1,1,desc,1.3381278
110,480,FALSE,FALSE,0,0,1,1,none,6.887094999999999
13,480,FALSE,FALSE,0,0,1,1,none,6.2004909999999995
131,480,FALSE,FALSE,0,0,1,1,none,6.939381459999999
144,480,FALSE,FALSE,0,0,1,1,none,3.4591198999999997
150,480,TRUE,TRUE,0,0,1,1,none,0.715824
152,480,FALSE,FALSE,0,0,1,1,none,6.935948799999999
280,480,TRUE,TRUE,1,0,1,1,anc,3.072406
110,546,FALSE,FALSE,0,0,1,1,none,7.04958
13,546,FALSE,FALSE,0,0,1,1,none,6.362976
131,546,FALSE,FALSE,0,0,1,1,none,7.101866459999999
144,546,FALSE,FALSE,0,0,1,1,none,3.6216049
150,546,TRUE,TRUE,0,0,1,1,none,6.2891189999999995
152,546,FALSE,FALSE,0,0,1,1,none,7.0984338
280,546,TRUE,TRUE,1,0,1,1,anc,3.234891
480,546,TRUE,TRUE,0,0,1,1,none,6.073435
110,552,FALSE,FALSE,0,0,1,1,none,3.75356869
13,552,FALSE,FALSE,0,0,1,1,none,3.6686686900000005
131,552,FALSE,FALSE,0,0,1,1,none,4.407559150000001
144,552,TRUE,TRUE,1,0,1,1,anc,0.110657
150,552,FALSE,FALSE,0,0,1,1,none,3.82867369
152,552,FALSE,FALSE,0,0,1,1,none,4.40412649
280,552,FALSE,FALSE,0,0,1,1,none,0.23973169
480,552,FALSE,FALSE,0,0,1,1,none,3.61298969
546,552,FALSE,FALSE,0,0,1,1,none,3.7754746900000002
110,586,FALSE,FALSE,0,0,1,1,none,3.8447426
13,586,FALSE,FALSE,0,0,1,1,none,6.827822599999999
131,586,FALSE,FALSE,0,0,1,1,none,7.566713059999999
144,586,FALSE,FALSE,0,0,1,1,none,3.4847475
150,586,FALSE,FALSE,0,0,1,1,none,6.987827599999999
152,586,FALSE,FALSE,0,0,1,1,none,7.563280399999999
280,586,TRUE,TRUE,1,0,1,1,anc,0.448063
480,586,FALSE,FALSE,0,0,1,1,none,6.7721436
546,586,FALSE,FALSE,0,0,1,1,none,6.9346286
552,586,FALSE,FALSE,0,0,1,1,none,3.6386172899999996
110,588,FALSE,FALSE,0,0,1,1,none,6.9922156
13,588,FALSE,FALSE,0,0,1,1,none,1.2547816
131,588,FALSE,FALSE,0,0,1,1,none,1.99367206
144,588,FALSE,FALSE,0,0,1,1,none,3.5642404999999995
150,588,FALSE,FALSE,0,0,1,1,none,6.4656166
152,588,FALSE,FALSE,0,0,1,1,none,1.9902394
280,588,TRUE,TRUE,1,0,1,1,anc,0.628363
480,588,FALSE,FALSE,0,0,1,1,none,6.2499326
546,588,FALSE,FALSE,0,0,1,1,none,6.4124176
552,588,FALSE,FALSE,0,0,1,1,none,3.7181102900000003
586,588,FALSE,FALSE,0,0,1,1,none,6.8772642
110,589,FALSE,FALSE,0,0,1,1,none,4.0342906
13,589,FALSE,FALSE,0,0,1,1,none,7.017370599999999
131,589,FALSE,FALSE,0,0,1,1,none,7.756261059999998
144,589,FALSE,FALSE,0,0,1,1,none,3.6742955
150,589,FALSE,FALSE,0,0,1,1,none,7.177375599999998
152,589,FALSE,FALSE,0,0,1,1,none,7.7528283999999985
280,589,TRUE,TRUE,1,0,1,1,anc,0.875498
