host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
112,117,FALSE,FALSE,0,0,1,1,none,7.3937230000000005
112,142,FALSE,FALSE,0,0,1,1,none,8.697265999999999
117,142,FALSE,FALSE,0,0,1,1,none,6.497850999999999
112,147,FALSE,FALSE,0,0,1,1,none,8.554096000000001
117,147,FALSE,FALSE,0,0,1,1,none,6.354681
142,147,FALSE,FALSE,0,0,1,1,none,2.6792999999999996
112,16,FALSE,FALSE,0,0,1,1,none,6.843676
117,16,FALSE,FALSE,0,0,1,1,none,6.721155
142,16,FALSE,FALSE,0,0,1,1,none,8.024697999999999
147,16,FALSE,FALSE,0,0,1,1,none,7.881528
112,162,FALSE,FALSE,0,0,1,1,none,7.081882
117,162,FALSE,FALSE,0,0,1,1,none,6.451473
142,162,FALSE,FALSE,0,0,1,1,none,7.7550159999999995
147,162,FALSE,FALSE,0,0,1,1,none,7.611846
16,162,FALSE,FALSE,0,0,1,1,none,6.409314
112,166,FALSE,FALSE,0,0,1,1,none,8.598644
117,166,FALSE,FALSE,0,0,1,1,none,6.399228999999999
142,166,FALSE,FALSE,0,0,1,1,none,1.839482
147,166,FALSE,FALSE,0,0,1,1,none,2.580678
16,166,FALSE,FALSE,0,0,1,1,none,7.926076
162,166,FALSE,FALSE,0,0,1,1,none,7.656394000000001
112,183,FALSE,FALSE,0,0,1,1,none,2.922499
117,183,FALSE,FALSE,0,0,1,1,none,7.023424
142,183,FALSE,FALSE,0,0,1,1,none,8.326967
147,183,FALSE,FALSE,0,0,1,1,none,8.183797
16,183,FALSE,FALSE,0,0,1,1,none,6.473377
162,183,FALSE,FALSE,0,0,1,1,none,6.711582999999999
166,183,FALSE,FALSE,0,0,1,1,none,8.228345000000001
112,188,FALSE,FALSE,0,0,1,1,none,8.145907000000001
117,188,FALSE,FALSE,0,0,1,1,none,5.946492
142,188,FALSE,FALSE,0,0,1,1,none,2.323971
147,188,FALSE,FALSE,0,0,1,1,none,2.1808009999999998
16,188,FALSE,FALSE,0,0,1,1,none,7.473339
162,188,FALSE,FALSE,0,0,1,1,none,7.203657
166,188,FALSE,FALSE,0,0,1,1,none,2.225349
183,188,FALSE,FALSE,0,0,1,1,none,7.775608
112,230,FALSE,FALSE,0,0,1,1,none,8.77991
117,230,FALSE,FALSE,0,0,1,1,none,6.580494999999999
142,230,FALSE,FALSE,0,0,1,1,none,2.020748
147,230,FALSE,FALSE,0,0,1,1,none,2.761944
16,230,FALSE,FALSE,0,0,1,1,none,8.107342
162,230,FALSE,FALSE,0,0,1,1,none,7.837660000000001
166,230,TRUE,TRUE,0,0,1,1,none,0.6435
183,230,FALSE,FALSE,0,0,1,1,none,8.409611
188,230,FALSE,FALSE,0,0,1,1,none,2.406615
112,249,FALSE,FALSE,0,0,1,1,none,16.637340999999996
117,249,FALSE,FALSE,0,0,1,1,none,16.006932
142,249,FALSE,FALSE,0,0,1,1,none,17.310474999999997
147,249,FALSE,FALSE,0,0,1,1,none,17.167305
16,249,FALSE,FALSE,0,0,1,1,none,15.964773000000001
162,249,FALSE,FALSE,0,0,1,1,none,12.423527000000002
166,249,FALSE,FALSE,0,0,1,1,none,17.211852999999998
183,249,FALSE,FALSE,0,0,1,1,none,16.267042
188,249,FALSE,FALSE,0,0,1,1,none,16.759115999999995
230,249,FALSE,FALSE,0,0,1,1,none,17.393119
112,255,FALSE,FALSE,0,0,1,1,none,2.058401
117,255,FALSE,FALSE,0,0,1,1,none,6.003756
142,255,FALSE,FALSE,0,0,1,1,none,7.3072989999999995
147,255,FALSE,FALSE,0,0,1,1,none,7.164129
16,255,FALSE,FALSE,0,0,1,1,none,5.453709
162,255,FALSE,FALSE,0,0,1,1,none,5.691915
166,255,FALSE,FALSE,0,0,1,1,none,7.208677
183,255,TRUE,TRUE,0,0,1,1,none,1.688102
188,255,FALSE,FALSE,0,0,1,1,none,6.75594
230,255,FALSE,FALSE,0,0,1,1,none,7.389943
249,255,FALSE,FALSE,0,0,1,1,none,15.247374
112,274,FALSE,FALSE,0,0,1,1,none,16.583616
117,274,FALSE,FALSE,0,0,1,1,none,15.953206999999999
142,274,FALSE,FALSE,0,0,1,1,none,17.256749999999997
147,274,FALSE,FALSE,0,0,1,1,none,17.11358
16,274,FALSE,FALSE,0,0,1,1,none,15.911048000000001
162,274,FALSE,FALSE,0,0,1,1,none,12.369802000000002
166,274,FALSE,FALSE,0,0,1,1,none,17.158127999999998
183,274,FALSE,FALSE,0,0,1,1,none,16.213317
188,274,FALSE,FALSE,0,0,1,1,none,16.705391
230,274,FALSE,FALSE,0,0,1,1,none,17.339394
249,274,FALSE,FALSE,0,0,1,1,none,1.793555
255,274,FALSE,FALSE,0,0,1,1,none,15.193649
112,281,FALSE,FALSE,0,0,1,1,none,8.033279
117,281,TRUE,TRUE,0,0,1,1,none,0.859164
142,281,FALSE,FALSE,0,0,1,1,none,7.137407
147,281,FALSE,FALSE,0,0,1,1,none,6.994237000000001
