unique.split,parent.split,host,parent.host
275,unassigned_region-SPLIT1,275,unassigned_region
932,unassigned_region-SPLIT2,932,unassigned_region
130,unassigned_region-SPLIT2,130,unassigned_region
122,unassigned_region-SPLIT2,122,unassigned_region
101,unassigned_region-SPLIT2,101,unassigned_region
172,unassigned_region-SPLIT2,172,unassigned_region
49,unassigned_region-SPLIT2,49,unassigned_region
390,49,390,49
179,275,179,275
492,unassigned_region-SPLIT3,492,unassigned_region
148,unassigned_region-SPLIT3,148,unassigned_region
799,275,799,275
655,unassigned_region-SPLIT1,655,unassigned_region
184,31,184,31
31,105,31,105
547,31,547,31
191,547,191,547
38,547,38,547
558,unassigned_region-SPLIT4,558,unassigned_region
144,96,144,96
96,unassigned_region-SPLIT4,96,unassigned_region
200,96,200,96
756,unassigned_region-SPLIT5,756,unassigned_region
103,unassigned_region-SPLIT5,103,unassigned_region
826,96,826,96
127,96,127,96
467,96,467,96
326,547,326,547
285-SPLIT1,31,285,31
217-SPLIT1,unassigned_region-SPLIT6,217,unassigned_region
294,unassigned_region-SPLIT6,294,unassigned_region
285-SPLIT2,31,285,31
876,31,876,31
766,31,766,31
105,655,105,655
202,105,202,105
102,202,102,202
254,202,254,202
217-SPLIT2,655,217,655
362,655,362,655
647,unassigned_region-SPLIT1,647,unassigned_region
70,728,70,728
251,728,251,728
728,unassigned_region-SPLIT1,728,unassigned_region
145-SPLIT1,unassigned_region-SPLIT7,145,unassigned_region
455,unassigned_region-SPLIT7,455,unassigned_region
266-SPLIT1,unassigned_region-SPLIT8,266,unassigned_region
125,unassigned_region-SPLIT8,125,unassigned_region
145-SPLIT2,73-SPLIT1,145,73
73-SPLIT1,455,73,455
73-SPLIT2,unassigned_region-SPLIT9,73,unassigned_region
266-SPLIT2,unassigned_region-SPLIT9,266,unassigned_region
85,unassigned_region-SPLIT7,85,unassigned_region
407,unassigned_region-SPLIT7,407,unassigned_region
338,unassigned_region-SPLIT7,338,unassigned_region
510,unassigned_region-SPLIT7,510,unassigned_region
126,unassigned_region-SPLIT1,126,unassigned_region
434,126,434,126
196,27,196,27
27,126,27,126
613,126,613,126
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,275,unassigned_region,275
unassigned_region-SPLIT3,275,unassigned_region,275
unassigned_region-SPLIT4,547,unassigned_region,547
unassigned_region-SPLIT5,96,unassigned_region,96
unassigned_region-SPLIT6,31,unassigned_region,31
unassigned_region-SPLIT7,126,unassigned_region,126
unassigned_region-SPLIT8,455,unassigned_region,455
unassigned_region-SPLIT9,455,unassigned_region,455
