unique.split,parent.split,host,parent.host
470,unassigned_region-SPLIT1,470,unassigned_region
182,470,182,470
391,470,391,470
418,unassigned_region-SPLIT2,418,unassigned_region
194,418,194,418
899,418,899,418
681,unassigned_region-SPLIT2,681,unassigned_region
95,unassigned_region-SPLIT2,95,unassigned_region
448,unassigned_region-SPLIT2,448,unassigned_region
472,unassigned_region-SPLIT2,472,unassigned_region
893,391,893,391
344,391,344,391
403,470,403,470
413,470,413,470
168,413,168,413
741,unassigned_region-SPLIT3,741,unassigned_region
620,unassigned_region-SPLIT3,620,unassigned_region
312,unassigned_region-SPLIT1,312,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,391,unassigned_region,391
unassigned_region-SPLIT3,413,unassigned_region,413
