unique.split,parent.split,host,parent.host
413,unassigned_region-SPLIT1,413,unassigned_region
734,unassigned_region-SPLIT1,734,unassigned_region
919-SPLIT1,unassigned_region-SPLIT1,919,unassigned_region
3,919-SPLIT1,3,919
448,919-SPLIT1,448,919
146,unassigned_region-SPLIT1,146,unassigned_region
336,146,336,146
475,336,475,336
268,336,268,336
965,336,965,336
5-SPLIT1,336,5,336
878,336,878,336
5-SPLIT2,336,5,336
705,336,705,336
733,919-SPLIT2,733,919
919-SPLIT2,unassigned_region-SPLIT1,919,unassigned_region
743,919-SPLIT2,743,919
442-SPLIT2,919-SPLIT2,442,919
142,442-SPLIT2,142,442
296,442-SPLIT2,296,442
768,442-SPLIT2,768,442
813,442-SPLIT2,813,442
442-SPLIT1,813,442,813
751,919-SPLIT2,751,919
671,751,671,751
451,919-SPLIT2,451,919
207,919-SPLIT2,207,919
505,unassigned_region-SPLIT2,505,unassigned_region
327,unassigned_region-SPLIT2,327,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,207,unassigned_region,207
