host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6
110,1000_to_1099,1049.5,10,10,1,1,1.7729855999999997,1.7729855999999997,1.503837,4.321566,2.873786133333333,2.873786133333333,1.7729855999999997,1.7729855999999997,1.503837,4.321566,2.873786133333333,2.873786133333333,1,0,0,0,0,0
119,1000_to_1099,1049.5,10,10,1,1,6.7055135,6.7055135,5.407356,14.761571,8.833618111111111,8.833618111111111,6.7055135,6.7055135,5.407356,14.761571,8.833618111111111,8.833618111111111,1,0,0,0,0,0
132,1000_to_1099,1049.5,10,10,1,1,0.5220976,0.5220976,0.405781,1.107617,0.6252672,0.6252672,0.5220976,0.5220976,0.405781,1.107617,0.6252672,0.6252672,1,0,0,0,0,0
135,1000_to_1099,1049.5,10,10,1,1,0.6873256999999999,0.6873256999999999,0.582443,1.414598,0.9226850444444444,0.9226850444444444,0.6873256999999999,0.6873256999999999,0.582443,1.414598,0.9226850444444444,0.9226850444444444,1,0,0,0,0,0
178,1000_to_1099,1049.5,10,10,1,1,1.1280344,1.1280344,1.582459,3.055641,1.8557463555555556,1.8557463555555556,1.1280344,1.1280344,1.582459,3.055641,1.8557463555555556,1.8557463555555556,1,0,0,0,0,0
183,1000_to_1099,1049.5,10,10,2,6,5.138921,2.924485,6.190917000000001,10.495926,5.4865052,4.579281,5.138921,2.924485,6.190917000000001,10.495926,5.4865052,4.579281,0.9,0.1,0,0,0,0
190,1000_to_1099,1049.5,10,10,1,1,0.8375567,0.8375567,0.959146,2.185656,1.4070259333333333,1.4070259333333333,0.8375567,0.8375567,0.959146,2.185656,1.4070259333333333,1.4070259333333333,1,0,0,0,0,0
195,1000_to_1099,1049.5,10,10,3,3,3.5693589,2.4394351249999997,3.3626320000000005,7.056345,4.137094822222222,2.7892467499999998,3.5693589,2.4394351249999997,3.3626320000000005,7.056345,4.137094822222222,2.7892467499999998,0.8,0.1,0.1,0,0,0
197,1000_to_1099,1049.5,10,10,1,1,1.2713889999999997,1.2713889999999997,0.922481,3.6673920000000004,1.7670382666666666,1.7670382666666666,1.2713889999999997,1.2713889999999997,0.922481,3.6673920000000004,1.7670382666666666,1.7670382666666666,1,0,0,0,0,0
233,1000_to_1099,1049.5,10,10,2,2,2.5139489999999998,1.9168851111111112,4.0356119999999995,7.144025999999999,3.8872403555555555,3.3709261666666666,2.5139489999999998,1.9168851111111112,4.0356119999999995,7.144025999999999,3.8872403555555555,3.3709261666666666,0.9,0.1,0,0,0,0
235,1000_to_1099,1049.5,10,10,3,5,2.7367950999999997,2.182639,2.446602,5.92954,4.243435933333333,3.503546666666667,2.7367950999999997,2.182639,2.446602,5.92954,4.243435933333333,3.503546666666667,0.4,0.4,0.2,0,0,0
239,1000_to_1099,1049.5,10,10,5,5,3.900982,1.5964869999999998,4.5671740000000005,10.455299,6.852609066666667,2.9238833333333334,3.900982,1.5964869999999998,4.5671740000000005,10.455299,6.852609066666667,2.9238833333333334,0.3,0.3,0.2,0.1,0.1,0
282,1000_to_1099,1049.5,10,10,1,1,2.1179756000000003,2.1179756000000003,1.859071,5.387137999999999,3.3770941333333333,3.3770941333333333,2.1179756000000003,2.1179756000000003,1.859071,5.387137999999999,3.3770941333333333,3.3770941333333333,1,0,0,0,0,0
295,1000_to_1099,1049.5,10,10,2,2,8.808252,5.447345666666667,17.024745,24.75635,11.0340728,8.174568333333333,8.808252,5.447345666666667,17.024745,24.75635,11.0340728,8.174568333333333,0.9,0.1,0,0,0,0
311,1000_to_1099,1049.5,10,10,3,3,3.0997589999999997,1.8485909999999997,3.6098470000000002,8.039176000000001,4.911005422222223,2.755118,3.0997589999999997,1.8485909999999997,3.6098470000000002,8.039176000000001,4.911005422222223,2.755118,0.5,0.4,0.1,0,0,0
320,1000_to_1099,1049.5,10,10,1,1,1.1833901,1.1833901,0.9118310000000001,2.792471,1.6795936666666667,1.6795936666666667,1.1833901,1.1833901,0.9118310000000001,2.792471,1.6795936666666667,1.6795936666666667,1,0,0,0,0,0
359,1000_to_1099,1049.5,10,10,1,1,3.201202,3.201202,3.094617,9.082604,5.294432133333333,5.294432133333333,3.201202,3.201202,3.094617,9.082604,5.294432133333333,5.294432133333333,1,0,0,0,0,0
370,1000_to_1099,1049.5,10,10,5,7,5.4609857,2.457655,6.422644,13.205519,7.923253488888889,4.387835,5.4609857,2.457655,6.422644,13.205519,7.923253488888889,4.387835,0.4,0.2,0.2,0.1,0.1,0
403,1000_to_1099,1049.5,10,10,2,3,3.5200416,2.3791726250000003,4.606073,9.828051,4.612689955555556,2.7582924642857143,3.5200416,2.3791726250000003,4.606073,9.828051,4.612689955555556,2.7582924642857143,0.8,0.2,0,0,0,0
426,1000_to_1099,1049.5,10,10,1,3,1.6782802000000001,1.6782802000000001,1.887445,3.964532,2.8623330222222223,2.8623330222222223,1.6782802000000001,1.6782802000000001,1.887445,3.964532,2.8623330222222223,2.8623330222222223,1,0,0,0,0,0
435,1000_to_1099,1049.5,10,10,4,6,4.4548183,1.2878192499999999,3.772946,11.348153,6.4944778,2.0781161666666668,4.4548183,1.2878192499999999,3.772946,11.348153,6.4944778,2.0781161666666668,0.4,0.2,0.2,0.2,0,0
452,1000_to_1099,1049.5,10,10,1,1,1.7286048,1.7286048,1.107681,4.4787099999999995,2.811517333333333,2.811517333333333,1.7286048,1.7286048,1.107681,4.4787099999999995,2.811517333333333,2.811517333333333,1,0,0,0,0,0
456,1000_to_1099,1049.5,10,10,2,2,7.9004577,2.5868238333333333,8.740269000000001,16.639173,10.8006086,4.384253133333334,7.9004577,2.5868238333333333,8.740269000000001,16.639173,10.8006086,4.384253133333334,0.6,0.4,0,0,0,0
499,1000_to_1099,1049.5,10,10,1,8,0.7013202,0.7013202,0.649924,1.62312,1.001732488888889,1.001732488888889,0.7013202,0.7013202,0.649924,1.62312,1.001732488888889,1.001732488888889,1,0,0,0,0,0
535,1000_to_1099,1049.5,10,10,1,1,3.7220628000000007,3.7220628000000007,4.135048,9.063526,5.2217235111111115,5.2217235111111115,3.7220628000000007,3.7220628000000007,4.135048,9.063526,5.2217235111111115,5.2217235111111115,1,0,0,0,0,0
544,1000_to_1099,1049.5,10,10,1,1,2.2354045,2.2354045,2.863172,6.798541999999999,3.1004114,3.1004114,2.2354045,2.2354045,2.863172,6.798541999999999,3.1004114,3.1004114,1,0,0,0,0,0
547,1000_to_1099,1049.5,10,10,1,1,0.0617973,0.0617973,0.049869000000000004,0.095613,0.04643388888888889,0.04643388888888889,0.0617973,0.0617973,0.049869000000000004,0.095613,0.04643388888888889,0.04643388888888889,1,0,0,0,0,0
649,1000_to_1099,1049.5,10,10,1,9,0.32075119999999996,0.32075119999999996,0.294819,0.7759860000000001,0.4525004,0.4525004,0.32075119999999996,0.32075119999999996,0.294819,0.7759860000000001,0.4525004,0.4525004,1,0,0,0,0,0
677,1000_to_1099,1049.5,10,10,1,3,4.1331875,4.1331875,4.070287,8.500472,5.736379355555556,5.736379355555556,4.1331875,4.1331875,4.070287,8.500472,5.736379355555556,5.736379355555556,1,0,0,0,0,0
761,1000_to_1099,1049.5,10,10,3,4,2.9080239,2.219274125,3.3905779999999996,7.1359509999999995,3.8769170444444447,3.069401535714286,2.9080239,2.219274125,3.3905779999999996,7.1359509999999995,3.8769170444444447,3.069401535714286,0.8,0.1,0.1,0,0,0
789,1000_to_1099,1049.5,10,10,1,1,3.3018075000000002,3.3018075000000002,2.201034,9.028832000000001,5.3894282,5.3894282,3.3018075000000002,3.3018075000000002,2.201034,9.028832000000001,5.3894282,5.3894282,1,0,0,0,0,0
876,1000_to_1099,1049.5,10,10,1,1,2.6298752000000003,2.6298752000000003,2.335786,6.272005,3.653389511111111,3.653389511111111,2.6298752000000003,2.6298752000000003,2.335786,6.272005,3.653389511111111,3.653389511111111,1,0,0,0,0,0
937,1000_to_1099,1049.5,10,10,3,5,2.7331186999999995,1.8366885714285712,2.9127899999999998,6.000062,3.8139418,2.647732857142857,2.7331186999999995,1.8366885714285712,2.9127899999999998,6.000062,3.8139418,2.647732857142857,0.7,0.2,0.1,0,0,0
941,1000_to_1099,1049.5,10,10,2,9,0.1826111,0.151238,0.142369,0.4024190000000001,0.2329102888888889,0.24041211111111113,0.1826111,0.151238,0.142369,0.4024190000000001,0.2329102888888889,0.24041211111111113,0.9,0.1,0,0,0,0
98,1000_to_1099,1049.5,10,10,1,2,1.8209233999999999,1.8209233999999999,1.9230839999999998,4.938935,3.0736602222222222,3.0736602222222222,1.8209233999999999,1.8209233999999999,1.9230839999999998,4.938935,3.0736602222222222,3.0736602222222222,1,0,0,0,0,0
994,1000_to_1099,1049.5,10,10,2,7,1.8977829,1.7014926666666665,2.903339,5.267278,3.1043963333333333,2.6772930555555554,1.8977829,1.7014926666666665,2.903339,5.267278,3.1043963333333333,2.6772930555555554,0.9,0.1,0,0,0,0
110,1100_to_1199,1149.5,10,10,1,1,1.6349781,1.6349781,1.585358,3.701961,2.340210511111111,2.340210511111111,1.6349781,1.6349781,1.585358,3.701961,2.340210511111111,2.340210511111111,1,0,0,0,0,0
119,1100_to_1199,1149.5,10,10,4,4,6.6142026000000005,1.56449825,6.316606,14.815949999999999,10.524724933333333,2.8770048333333333,6.6142026000000005,1.56449825,6.316606,14.815949999999999,10.524724933333333,2.8770048333333333,0.4,0.3,0.2,0.1,0,0
132,1100_to_1199,1149.5,10,10,1,1,0.4253173,0.4253173,0.404286,1.100005,0.5964641111111111,0.5964641111111111,0.4253173,0.4253173,0.404286,1.100005,0.5964641111111111,0.5964641111111111,1,0,0,0,0,0
135,1100_to_1199,1149.5,10,10,1,1,0.5834617,0.5834617,0.598773,1.451352,0.7124630000000001,0.7124630000000001,0.5834617,0.5834617,0.598773,1.451352,0.7124630000000001,0.7124630000000001,1,0,0,0,0,0
178,1100_to_1199,1149.5,10,10,1,1,1.2541101999999997,1.2541101999999997,1.402855,4.110601,1.9225128444444446,1.9225128444444446,1.2541101999999997,1.2541101999999997,1.402855,4.110601,1.9225128444444446,1.9225128444444446,1,0,0,0,0,0
183,1100_to_1199,1149.5,10,10,2,6,3.6755015999999996,2.969857222222222,6.531365000000001,11.035725000000001,5.587434088888889,4.608987055555556,3.6755015999999996,2.969857222222222,6.531365000000001,11.035725000000001,5.587434088888889,4.608987055555556,0.9,0.1,0,0,0,0
190,1100_to_1199,1149.5,10,10,1,1,1.6255509,1.6255509,1.142925,3.067647,1.7596096666666665,1.7596096666666665,1.6255509,1.6255509,1.142925,3.067647,1.7596096666666665,1.7596096666666665,1,0,0,0,0,0
195,1100_to_1199,1149.5,10,10,1,1,3.754144600000001,3.754144600000001,2.615955,8.138696,4.669978577777778,4.669978577777778,3.754144600000001,3.754144600000001,2.615955,8.138696,4.669978577777778,4.669978577777778,1,0,0,0,0,0
197,1100_to_1199,1149.5,10,10,1,1,1.0132453,1.0132453,1.134851,2.7319620000000002,1.4374219333333331,1.4374219333333331,1.0132453,1.0132453,1.134851,2.7319620000000002,1.4374219333333331,1.4374219333333331,1,0,0,0,0,0
233,1100_to_1199,1149.5,10,10,1,4,2.1373908,2.1373908,2.139646,6.457447999999999,3.7953221777777775,3.7953221777777775,2.1373908,2.1373908,2.139646,6.457447999999999,3.7953221777777775,3.7953221777777775,1,0,0,0,0,0
235,1100_to_1199,1149.5,10,10,2,3,3.1516659999999996,2.6463198571428572,1.917683,7.746182,4.662458311111111,3.4655998095238094,3.1516659999999996,2.6463198571428572,1.917683,7.746182,4.662458311111111,3.4655998095238094,0.7,0.3,0,0,0,0
239,1100_to_1199,1149.5,10,10,1,1,3.3949384,3.3949384,3.798732,8.102432,5.800523955555556,5.800523955555556,3.3949384,3.3949384,3.798732,8.102432,5.800523955555556,5.800523955555556,1,0,0,0,0,0
282,1100_to_1199,1149.5,10,10,1,5,1.3713614,1.3713614,1.47476,3.555827,2.3223593777777776,2.3223593777777776,1.3713614,1.3713614,1.47476,3.555827,2.3223593777777776,2.3223593777777776,1,0,0,0,0,0
295,1100_to_1199,1149.5,10,10,1,3,5.7878515,5.7878515,5.068039000000001,14.769663000000001,8.692058511111112,8.692058511111112,5.7878515,5.7878515,5.068039000000001,14.769663000000001,8.692058511111112,8.692058511111112,1,0,0,0,0,0
