host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5
108,1000_to_1099,1049.5,10,10,1,1,0.5968838,0.5968838,0.560508,1.36556,0.6974281333333333,0.6974281333333333,0.5968838,0.5968838,0.560508,1.36556,0.6974281333333333,0.6974281333333333,1,0,0,0,0
112,1000_to_1099,1049.5,10,10,1,1,1.0542262,1.0542262,1.1285910000000001,2.208817,1.5302120444444445,1.5302120444444445,1.0542262,1.0542262,1.1285910000000001,2.208817,1.5302120444444445,1.5302120444444445,1,0,0,0,0
115,1000_to_1099,1049.5,10,10,1,1,0.3685212,0.3685212,0.278894,0.9639850000000001,0.60553,0.60553,0.3685212,0.3685212,0.278894,0.9639850000000001,0.60553,0.60553,1,0,0,0,0
122,1000_to_1099,1049.5,10,10,1,5,4.1298492,4.1298492,3.474561,9.633982999999999,6.919626844444444,6.919626844444444,4.1298492,4.1298492,3.474561,9.633982999999999,6.919626844444444,6.919626844444444,1,0,0,0,0
131,1000_to_1099,1049.5,10,10,2,8,4.349236200000001,3.2294841111111108,4.445493,8.754588,5.259056177777778,4.6550759444444445,4.349236200000001,3.2294841111111108,4.445493,8.754588,5.259056177777778,4.6550759444444445,0.9,0.1,0,0,0
137,1000_to_1099,1049.5,10,10,1,1,3.6605531,3.6605531,3.758879,7.47746,5.316881088888889,5.316881088888889,3.6605531,3.6605531,3.758879,7.47746,5.316881088888889,5.316881088888889,1,0,0,0,0
138,1000_to_1099,1049.5,10,10,1,1,0.8633767000000001,0.8633767000000001,0.84219,1.8170579999999998,1.4395028666666667,1.4395028666666667,0.8633767000000001,0.8633767000000001,0.84219,1.8170579999999998,1.4395028666666667,1.4395028666666667,1,0,0,0,0
139,1000_to_1099,1049.5,10,10,1,6,2.9642612,2.9642612,3.4194080000000002,6.954853999999999,5.076112133333333,5.076112133333333,2.9642612,2.9642612,3.4194080000000002,6.954853999999999,5.076112133333333,5.076112133333333,1,0,0,0,0
148,1000_to_1099,1049.5,10,10,1,1,1.6085775999999998,1.6085775999999998,1.693524,3.462421,2.463107866666667,2.463107866666667,1.6085775999999998,1.6085775999999998,1.693524,3.462421,2.463107866666667,2.463107866666667,1,0,0,0,0
152,1000_to_1099,1049.5,10,10,1,1,1.1344596999999998,1.1344596999999998,1.359728,2.749711,2.0387416666666667,2.0387416666666667,1.1344596999999998,1.1344596999999998,1.359728,2.749711,2.0387416666666667,2.0387416666666667,1,0,0,0,0
153,1000_to_1099,1049.5,10,10,1,1,1.1229927,1.1229927,0.8960750000000001,2.6986790000000003,1.9557108222222221,1.9557108222222221,1.1229927,1.1229927,0.8960750000000001,2.6986790000000003,1.9557108222222221,1.9557108222222221,1,0,0,0,0
159,1000_to_1099,1049.5,10,10,1,1,5.315465499999999,5.315465499999999,4.497949,11.268303999999999,7.814232911111111,7.814232911111111,5.315465499999999,5.315465499999999,4.497949,11.268303999999999,7.814232911111111,7.814232911111111,1,0,0,0,0
167,1000_to_1099,1049.5,10,10,1,1,4.3369458000000005,4.3369458000000005,3.726887,10.020700000000001,7.214605955555555,7.214605955555555,4.3369458000000005,4.3369458000000005,3.726887,10.020700000000001,7.214605955555555,7.214605955555555,1,0,0,0,0
175,1000_to_1099,1049.5,10,10,1,1,3.4070658000000003,3.4070658000000003,3.516843,8.954436,5.861292,5.861292,3.4070658000000003,3.4070658000000003,3.516843,8.954436,5.861292,5.861292,1,0,0,0,0
182,1000_to_1099,1049.5,10,10,1,2,1.3518501,1.3518501,1.10713,3.1910099999999995,1.967487711111111,1.967487711111111,1.3518501,1.3518501,1.10713,3.1910099999999995,1.967487711111111,1.967487711111111,1,0,0,0,0
195,1000_to_1099,1049.5,10,10,1,8,3.7630946,3.7630946,4.497188,9.002622,6.184660044444445,6.184660044444445,3.7630946,3.7630946,4.497188,9.002622,6.184660044444445,6.184660044444445,1,0,0,0,0
198,1000_to_1099,1049.5,10,10,1,1,0.8488807999999999,0.8488807999999999,0.772086,1.9516300000000002,1.3358832,1.3358832,0.8488807999999999,0.8488807999999999,0.772086,1.9516300000000002,1.3358832,1.3358832,1,0,0,0,0
207,1000_to_1099,1049.5,10,10,1,7,0.8760279999999998,0.8760279999999998,0.490531,1.534174,1.1173031999999998,1.1173031999999998,0.8760279999999998,0.8760279999999998,0.490531,1.534174,1.1173031999999998,1.1173031999999998,1,0,0,0,0
211,1000_to_1099,1049.5,10,10,3,3,9.364758899999998,2.822358833333333,9.902491999999999,19.378425999999997,12.0510238,3.9466131333333334,9.364758899999998,2.822358833333333,9.902491999999999,19.378425999999997,12.0510238,3.9466131333333334,0.6,0.3,0.1,0,0
227,1000_to_1099,1049.5,10,10,1,1,0.2878468,0.2878468,0.271674,0.584908,0.4191841777777778,0.4191841777777778,0.2878468,0.2878468,0.271674,0.584908,0.4191841777777778,0.4191841777777778,1,0,0,0,0
23,1000_to_1099,1049.5,10,10,1,1,1.1129114,1.1129114,1.109366,2.723667,2.007004088888889,2.007004088888889,1.1129114,1.1129114,1.109366,2.723667,2.007004088888889,2.007004088888889,1,0,0,0,0
241,1000_to_1099,1049.5,10,10,2,3,3.5866664,2.8930404999999997,4.006316,8.377302,5.5289777777777775,4.240576214285714,3.5866664,2.8930404999999997,4.006316,8.377302,5.5289777777777775,4.240576214285714,0.8,0.2,0,0,0
247,1000_to_1099,1049.5,10,10,2,2,6.871785200000001,5.186403375,8.557593,15.219744000000002,10.082479955555556,8.033772035714286,6.871785200000001,5.186403375,8.557593,15.219744000000002,10.082479955555556,8.033772035714286,0.8,0.2,0,0,0
251,1000_to_1099,1049.5,10,10,1,1,0.8136706,0.8136706,0.887593,1.948167,1.3582395111111112,1.3582395111111112,0.8136706,0.8136706,0.887593,1.948167,1.3582395111111112,1.3582395111111112,1,0,0,0,0
253,1000_to_1099,1049.5,10,10,1,1,0.4824966,0.4824966,0.365284,1.170815,0.7743025777777778,0.7743025777777778,0.4824966,0.4824966,0.365284,1.170815,0.7743025777777778,0.7743025777777778,1,0,0,0,0
263,1000_to_1099,1049.5,10,10,1,1,3.5778018000000005,3.5778018000000005,4.399816,8.49836,5.8093684,5.8093684,3.5778018000000005,3.5778018000000005,4.399816,8.49836,5.8093684,5.8093684,1,0,0,0,0
267,1000_to_1099,1049.5,10,10,1,1,1.0455797,1.0455797,0.75602,2.401001,1.7477651333333333,1.7477651333333333,1.0455797,1.0455797,0.75602,2.401001,1.7477651333333333,1.7477651333333333,1,0,0,0,0
269,1000_to_1099,1049.5,10,10,2,2,3.1494479999999996,2.75461775,3.468334,6.869505,5.096223866666667,4.571251214285714,3.1494479999999996,2.75461775,3.468334,6.869505,5.096223866666667,4.571251214285714,0.8,0.2,0,0,0
275,1000_to_1099,1049.5,10,10,3,4,6.169917399999999,5.562926428571428,5.5558179999999995,13.884938000000002,9.8503908,7.531908761904762,6.169917399999999,5.562926428571428,5.5558179999999995,13.884938000000002,9.8503908,7.531908761904762,0.7,0.2,0.1,0,0
28,1000_to_1099,1049.5,10,10,4,8,1.4105611000000002,1.3592878000000002,2.016016,3.651771,2.517101888888889,2.4799256,1.4105611000000002,1.3592878000000002,2.016016,3.651771,2.517101888888889,2.4799256,0.5,0.3,0.1,0.1,0
283,1000_to_1099,1049.5,10,10,1,5,0.44952329999999996,0.44952329999999996,0.345928,1.045036,0.6558611777777779,0.6558611777777779,0.44952329999999996,0.44952329999999996,0.345928,1.045036,0.6558611777777779,0.6558611777777779,1,0,0,0,0
296,1000_to_1099,1049.5,10,10,1,2,7.7510762,7.7510762,7.005674000000001,16.370683,8.681237866666667,8.681237866666667,7.7510762,7.7510762,7.005674000000001,16.370683,8.681237866666667,8.681237866666667,1,0,0,0,0
300,1000_to_1099,1049.5,10,10,2,2,3.0701698,2.0604368333333336,2.777269,8.444442,4.887497066666667,3.0348420666666667,3.0701698,2.0604368333333336,2.777269,8.444442,4.887497066666667,3.0348420666666667,0.6,0.4,0,0,0
339,1000_to_1099,1049.5,10,10,3,4,7.488769500000001,5.2556666,7.177441,17.015390000000004,11.61432628888889,5.0130768,7.488769500000001,5.2556666,7.177441,17.015390000000004,11.61432628888889,5.0130768,0.5,0.3,0.2,0,0
36,1000_to_1099,1049.5,10,10,1,1,0.7572891,0.7572891,0.558857,1.4657840000000002,0.7962382888888889,0.7962382888888889,0.7572891,0.7572891,0.558857,1.4657840000000002,0.7962382888888889,0.7962382888888889,1,0,0,0,0
38,1000_to_1099,1049.5,10,10,4,4,5.991435399999999,2.889445,7.615541,14.313625,8.152868444444444,4.823577904761905,5.991435399999999,2.889445,7.615541,14.313625,8.152868444444444,4.823577904761905,0.7,0.1,0.1,0.1,0
381,1000_to_1099,1049.5,10,10,1,1,2.3937076999999998,2.3937076999999998,2.213148,4.897863,3.8626548666666665,3.8626548666666665,2.3937076999999998,2.3937076999999998,2.213148,4.897863,3.8626548666666665,3.8626548666666665,1,0,0,0,0
419,1000_to_1099,1049.5,10,10,3,3,9.572314100000002,4.96696125,8.714644,21.192923000000004,14.465310333333333,8.745540166666666,9.572314100000002,4.96696125,8.714644,21.192923000000004,14.465310333333333,8.745540166666666,0.4,0.4,0.2,0,0
42,1000_to_1099,1049.5,10,10,1,1,1.6172041,1.6172041,1.7252480000000001,3.4617030000000004,2.030557088888889,2.030557088888889,1.6172041,1.6172041,1.7252480000000001,3.4617030000000004,2.030557088888889,2.030557088888889,1,0,0,0,0
424,1000_to_1099,1049.5,10,10,1,1,0.7205797,0.7205797,0.5798949999999999,1.563657,0.9680923333333332,0.9680923333333332,0.7205797,0.7205797,0.5798949999999999,1.563657,0.9680923333333332,0.9680923333333332,1,0,0,0,0
453,1000_to_1099,1049.5,10,10,1,1,1.2487483,1.2487483,1.265309,2.705292,2.0064500222222224,2.0064500222222224,1.2487483,1.2487483,1.265309,2.705292,2.0064500222222224,2.0064500222222224,1,0,0,0,0
461,1000_to_1099,1049.5,10,10,1,1,0.66523620000000006,0.66523620000000006,0.489157,1.4301320000000002,0.9586770222222223,0.9586770222222223,0.66523620000000006,0.66523620000000006,0.489157,1.4301320000000002,0.9586770222222223,0.9586770222222223,1,0,0,0,0
472,1000_to_1099,1049.5,10,10,1,9,1.1739879,1.1739879,0.783243,2.783877,1.9150128222222222,1.9150128222222222,1.1739879,1.1739879,0.783243,2.783877,1.9150128222222222,1.9150128222222222,1,0,0,0,0
487,1000_to_1099,1049.5,10,10,2,3,8.083885900000002,3.4410762,7.132199,18.316612999999997,11.735805933333333,4.5084862,8.083885900000002,3.4410762,7.132199,18.316612999999997,11.735805933333333,4.5084862,0.5,0.5,0,0,0
49,1000_to_1099,1049.5,10,10,1,1,1.1407990999999997,1.1407990999999997,1.003564,2.952568,1.8805193111111111,1.8805193111111111,1.1407990999999997,1.1407990999999997,1.003564,2.952568,1.8805193111111111,1.8805193111111111,1,0,0,0,0
493,1000_to_1099,1049.5,10,10,1,1,1.0306422,1.0306422,0.760582,2.419751,1.678887422222222,1.678887422222222,1.0306422,1.0306422,0.760582,2.419751,1.678887422222222,1.678887422222222,1,0,0,0,0
520,1000_to_1099,1049.5,10,10,2,2,7.965715700000001,5.494937714285713,8.735707999999999,18.099901000000003,11.695442911111112,7.828324952380952,7.965715700000001,5.494937714285713,8.735707999999999,18.099901000000003,11.695442911111112,7.828324952380952,0.7,0.3,0,0,0
569,1000_to_1099,1049.5,10,10,1,5,2.2562032,2.2562032,1.453355,5.670306,3.5256888444444443,3.5256888444444443,2.2562032,2.2562032,1.453355,5.670306,3.5256888444444443,3.5256888444444443,1,0,0,0,0
581,1000_to_1099,1049.5,10,10,1,2,5.8437796,5.8437796,6.105207999999999,12.540115,7.836400888888889,7.836400888888889,5.8437796,5.8437796,6.105207999999999,12.540115,7.836400888888889,7.836400888888889,1,0,0,0,0
590,1000_to_1099,1049.5,10,10,2,2,6.2816788,4.84679,6.642913,13.916353999999998,8.82476031111111,6.969906928571428,6.2816788,4.84679,6.642913,13.916353999999998,8.82476031111111,6.969906928571428,0.8,0.2,0,0,0
6,1000_to_1099,1049.5,10,10,1,1,1.0421914,1.0421914,0.886378,2.703055,1.7541201333333334,1.7541201333333334,1.0421914,1.0421914,0.886378,2.703055,1.7541201333333334,1.7541201333333334,1,0,0,0,0
669,1000_to_1099,1049.5,10,10,1,1,1.4393865,1.4393865,1.347225,3.502027,2.4938975333333335,2.4938975333333335,1.4393865,1.4393865,1.347225,3.502027,2.4938975333333335,2.4938975333333335,1,0,0,0,0
690,1000_to_1099,1049.5,10,10,1,1,0.4701295,0.4701295,0.320156,0.7491729999999999,0.4715815333333333,0.4715815333333333,0.4701295,0.4701295,0.320156,0.7491729999999999,0.4715815333333333,0.4715815333333333,1,0,0,0,0
722,1000_to_1099,1049.5,10,10,1,1,4.863175,4.863175,6.654555,10.966546999999998,5.654272266666666,5.654272266666666,4.863175,4.863175,6.654555,10.966546999999998,5.654272266666666,5.654272266666666,1,0,0,0,0
736,1000_to_1099,1049.5,10,10,1,1,1.3933784,1.3933784,1.055231,3.124618,2.2286177777777776,2.2286177777777776,1.3933784,1.3933784,1.055231,3.124618,2.2286177777777776,2.2286177777777776,1,0,0,0,0
74,1000_to_1099,1049.5,10,10,1,3,3.9729666999999997,3.9729666999999997,4.682192,9.062942,6.091839222222222,6.091839222222222,3.9729666999999997,3.9729666999999997,4.682192,9.062942,6.091839222222222,6.091839222222222,1,0,0,0,0
751,1000_to_1099,1049.5,10,10,2,2,7.460880399999999,2.4974976666666664,9.138861,16.048553,9.516745511111111,3.7534590666666663,7.460880399999999,2.4974976666666664,9.138861,16.048553,9.516745511111111,3.7534590666666663,0.6,0.4,0,0,0
76,1000_to_1099,1049.5,10,10,1,1,3.4832848,3.4832848,3.604747,8.206822,4.994943244444444,4.994943244444444,3.4832848,3.4832848,3.604747,8.206822,4.994943244444444,4.994943244444444,1,0,0,0,0
779,1000_to_1099,1049.5,10,10,1,1,4.0351708,4.0351708,3.526833,8.877132999999999,6.331405066666666,6.331405066666666,4.0351708,4.0351708,3.526833,8.877132999999999,6.331405066666666,6.331405066666666,1,0,0,0,0
784,1000_to_1099,1049.5,10,10,1,1,0.5173542,0.5173542,0.346041,1.131372,0.8070574222222222,0.8070574222222222,0.5173542,0.5173542,0.346041,1.131372,0.8070574222222222,0.8070574222222222,1,0,0,0,0
804,1000_to_1099,1049.5,10,10,1,1,0.6480520000000001,0.6480520000000001,0.7408319999999999,1.435452,0.8721670222222221,0.8721670222222221,0.6480520000000001,0.6480520000000001,0.7408319999999999,1.435452,0.8721670222222221,0.8721670222222221,1,0,0,0,0
82,1000_to_1099,1049.5,10,10,1,1,1.5157762000000001,1.5157762000000001,1.803183,4.050936,2.6166108,2.6166108,1.5157762000000001,1.5157762000000001,1.803183,4.050936,2.6166108,2.6166108,1,0,0,0,0
834,1000_to_1099,1049.5,10,10,1,2,1.029298,1.029298,1.3948859999999998,2.52465,1.4498378666666667,1.4498378666666667,1.029298,1.029298,1.3948859999999998,2.52465,1.4498378666666667,1.4498378666666667,1,0,0,0,0
837,1000_to_1099,1049.5,10,10,1,1,4.787508900000001,4.787508900000001,4.650721,9.976825,7.0960834888888895,7.0960834888888895,4.787508900000001,4.787508900000001,4.650721,9.976825,7.0960834888888895,7.0960834888888895,1,0,0,0,0
891,1000_to_1099,1049.5,10,10,1,1,4.2545419,4.2545419,4.429474,8.968653,6.581218111111111,6.581218111111111,4.2545419,4.2545419,4.429474,8.968653,6.581218111111111,6.581218111111111,1,0,0,0,0
909,1000_to_1099,1049.5,10,10,1,9,2.0347901,2.0347901,1.5743490000000002,4.814304,2.8885318,2.8885318,2.0347901,2.0347901,1.5743490000000002,4.814304,2.8885318,2.8885318,1,0,0,0,0
923,1000_to_1099,1049.5,10,10,1,1,4.220802099999999,4.220802099999999,3.699312,9.553756,6.740587355555555,6.740587355555555,4.220802099999999,4.220802099999999,3.699312,9.553756,6.740587355555555,6.740587355555555,1,0,0,0,0
985,1000_to_1099,1049.5,10,10,1,1,4.7362821,4.7362821,4.766404,10.081117999999998,5.102634911111111,5.102634911111111,4.7362821,4.7362821,4.766404,10.081117999999998,5.102634911111111,5.102634911111111,1,0,0,0,0
108,1100_to_1199,1149.5,10,10,1,1,0.41593099999999994,0.41593099999999994,0.410471,1.0190709999999998,0.5952467555555555,0.5952467555555555,0.41593099999999994,0.41593099999999994,0.410471,1.0190709999999998,0.5952467555555555,0.5952467555555555,1,0,0,0,0
