host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
102,1000_to_1099,1049.5,10,10,1,5,0.1542929,0.1542929,0.17680400000000002,0.354427,0.21104522222222225,0.21104522222222225,0.1542929,0.1542929,0.17680400000000002,0.354427,0.21104522222222225,0.21104522222222225,1,0,0
133,1000_to_1099,1049.5,10,10,1,5,0.8964713,0.8964713,0.8922920000000001,1.888606,1.2887484666666666,1.2887484666666666,0.8964713,0.8964713,0.8922920000000001,1.888606,1.2887484666666666,1.2887484666666666,1,0,0
156,1000_to_1099,1049.5,10,10,1,8,1.7531304000000003,1.7531304000000003,2.235955,4.389611,2.8232596,2.8232596,1.7531304000000003,1.7531304000000003,2.235955,4.389611,2.8232596,2.8232596,1,0,0
20,1000_to_1099,1049.5,10,10,1,1,5.378593100000001,5.378593100000001,5.084682,12.323673000000001,7.986584111111111,7.986584111111111,5.378593100000001,5.378593100000001,5.084682,12.323673000000001,7.986584111111111,7.986584111111111,1,0,0
202,1000_to_1099,1049.5,10,10,1,4,1.0012716000000002,1.0012716000000002,0.69303,2.24222,1.6477973333333333,1.6477973333333333,1.0012716000000002,1.0012716000000002,0.69303,2.24222,1.6477973333333333,1.6477973333333333,1,0,0
229,1000_to_1099,1049.5,10,10,1,1,0.5807302999999999,0.5807302999999999,0.465563,1.4628290000000002,0.8839662,0.8839662,0.5807302999999999,0.5807302999999999,0.465563,1.4628290000000002,0.8839662,0.8839662,1,0,0
277,1000_to_1099,1049.5,10,10,2,3,1.4974044000000002,1.1248086666666666,1.244758,2.526065,1.8235063111111112,1.6869912222222223,1.4974044000000002,1.1248086666666666,1.244758,2.526065,1.8235063111111112,1.6869912222222223,0.9,0.1,0
286,1000_to_1099,1049.5,10,10,1,1,0.6285906,0.6285906,0.667307,1.4367089999999998,0.8503479555555555,0.8503479555555555,0.6285906,0.6285906,0.667307,1.4367089999999998,0.8503479555555555,0.8503479555555555,1,0,0
294,1000_to_1099,1049.5,10,10,1,1,0.2326749,0.2326749,0.191874,0.445209,0.26411864444444444,0.26411864444444444,0.2326749,0.2326749,0.191874,0.445209,0.26411864444444444,0.26411864444444444,1,0,0
298,1000_to_1099,1049.5,10,10,1,5,1.9493115999999997,1.9493115999999997,1.7469190000000001,4.575647999999999,3.3133738666666668,3.3133738666666668,1.9493115999999997,1.9493115999999997,1.7469190000000001,4.575647999999999,3.3133738666666668,3.3133738666666668,1,0,0
383,1000_to_1099,1049.5,10,10,1,1,0.1778546,0.1778546,0.152614,0.33430799999999994,0.19123186666666667,0.19123186666666667,0.1778546,0.1778546,0.152614,0.33430799999999994,0.19123186666666667,0.19123186666666667,1,0,0
427,1000_to_1099,1049.5,10,10,1,1,1.7456094999999998,1.7456094999999998,1.576373,3.9636750000000003,2.927184555555556,2.927184555555556,1.7456094999999998,1.7456094999999998,1.576373,3.9636750000000003,2.927184555555556,2.927184555555556,1,0,0
437,1000_to_1099,1049.5,10,10,1,1,1.5594725999999999,1.5594725999999999,1.606966,3.4054200000000003,2.6609949333333334,2.6609949333333334,1.5594725999999999,1.5594725999999999,1.606966,3.4054200000000003,2.6609949333333334,2.6609949333333334,1,0,0
464,1000_to_1099,1049.5,10,10,1,1,2.2887936,2.2887936,2.159501,5.314113000000001,3.7231700444444447,3.7231700444444447,2.2887936,2.2887936,2.159501,5.314113000000001,3.7231700444444447,3.7231700444444447,1,0,0
474,1000_to_1099,1049.5,10,10,1,1,0.7164746,0.7164746,0.480143,1.546519,1.0991093333333333,1.0991093333333333,0.7164746,0.7164746,0.480143,1.546519,1.0991093333333333,1.0991093333333333,1,0,0
48,1000_to_1099,1049.5,10,10,1,5,0.7138205,0.7138205,0.6840350000000001,1.5661150000000001,1.0411285555555556,1.0411285555555556,0.7138205,0.7138205,0.6840350000000001,1.5661150000000001,1.0411285555555556,1.0411285555555556,1,0,0
488,1000_to_1099,1049.5,10,10,1,1,0.0572313,0.0572313,0.040842,0.126318,0.07654237777777778,0.07654237777777778,0.0572313,0.0572313,0.040842,0.126318,0.07654237777777778,0.07654237777777778,1,0,0
51,1000_to_1099,1049.5,10,10,1,1,0.1161051,0.1161051,0.183607,0.242035,0.09988402222222222,0.09988402222222222,0.1161051,0.1161051,0.183607,0.242035,0.09988402222222222,0.09988402222222222,1,0,0
547,1000_to_1099,1049.5,10,10,1,1,0.23578940000000004,0.23578940000000004,0.330008,0.4914,0.2932795111111111,0.2932795111111111,0.23578940000000004,0.23578940000000004,0.330008,0.4914,0.2932795111111111,0.2932795111111111,1,0,0
617,1000_to_1099,1049.5,10,10,1,1,0.19726779999999997,0.19726779999999997,0.140479,0.454536,0.3072885777777778,0.3072885777777778,0.19726779999999997,0.19726779999999997,0.140479,0.454536,0.3072885777777778,0.3072885777777778,1,0,0
618,1000_to_1099,1049.5,10,10,1,4,0.0521909,0.0521909,0.033863,0.07543499999999999,0.041340466666666666,0.041340466666666666,0.0521909,0.0521909,0.033863,0.07543499999999999,0.041340466666666666,0.041340466666666666,1,0,0
623,1000_to_1099,1049.5,10,10,1,1,1.9864180999999999,1.9864180999999999,1.5928470000000001,4.092529,3.003247355555555,3.003247355555555,1.9864180999999999,1.9864180999999999,1.5928470000000001,4.092529,3.003247355555555,3.003247355555555,1,0,0
