host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
102,510,none,10,10,10/10,10
124,212,complex,2,10,2/10,10
124,212,none,1,10,1/10,10
124,212,trans,6,10,6/10,10
124,294,complex,3,10,3/10,10
124,294,none,1,10,1/10,10
124,294,trans,6,10,6/10,10
132,260,complex,1,10,1/10,8
132,260,none,1,10,1/10,8
132,311,trans,9,10,9/10,10
132,681,complex,4,10,4/10,10
132,681,trans,6,10,6/10,10
151,183,none,7,10,7/10,10
151,183,trans,3,10,3/10,10
151,194,complex,8,10,8/10,9
151,194,trans,1,10,1/10,9
151,260,complex,1,10,1/10,10
151,260,none,7,10,7/10,10
151,260,trans,2,10,2/10,10
151,397,complex,7,10,7/10,10
151,397,none,2,10,2/10,10
151,397,trans,1,10,1/10,10
151,703,complex,1,10,1/10,8
151,703,none,2,10,2/10,8
151,703,trans,5,10,5/10,8
16,102,trans,10,10,10/10,10
16,144,trans,10,10,10/10,10
16,275,trans,10,10,10/10,10
16,510,trans,10,10,10/10,10
183,260,complex,2,10,2/10,6
183,260,none,4,10,4/10,6
183,402,complex,1,10,1/10,10
183,402,trans,9,10,9/10,10
194,137,trans,10,10,10/10,10
194,337,trans,10,10,10/10,10
194,766,trans,10,10,10/10,10
194,845,trans,10,10,10/10,10
196,452,complex,1,10,1/10,10
196,821,none,7,10,7/10,7
212,124,trans,1,10,1/10,10
260,132,trans,6,10,6/10,8
260,452,none,1,10,1/10,10
260,452,trans,9,10,9/10,10
260,584,trans,10,10,10/10,10
311,132,trans,1,10,1/10,10
311,37,trans,10,10,10/10,10
311,619,trans,10,10,10/10,10
336,269,trans,10,10,10/10,10
336,555,complex,1,10,1/10,10
336,555,none,7,10,7/10,10
336,555,trans,1,10,1/10,10
397,124,trans,9,10,9/10,9
402,16,trans,10,10,10/10,10
402,336,trans,9,10,9/10,9
402,372,trans,10,10,10/10,10
402,555,complex,1,10,1/10,9
402,555,trans,8,10,8/10,9
402,869,trans,10,10,10/10,10
452,196,trans,9,10,9/10,10
452,821,trans,10,10,10/10,10
555,336,trans,1,10,1/10,10
555,39,trans,10,10,10/10,10
766,845,none,10,10,10/10,10
821,205,trans,10,10,10/10,10
821,854,trans,10,10,10/10,10
