host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1
104,1000_to_1099,1049.5,10,10,1,1,0.060781900000000014,0.060781900000000014,0.064061,0.116579,0.05908633333333334,0.05908633333333334,0.060781900000000014,0.060781900000000014,0.064061,0.116579,0.05908633333333334,0.05908633333333334,1
114,1000_to_1099,1049.5,10,10,1,3,2.1285059,2.1285059,3.061294,4.642872,2.419595088888889,2.419595088888889,2.1285059,2.1285059,3.061294,4.642872,2.419595088888889,2.419595088888889,1
120,1000_to_1099,1049.5,10,10,1,6,1.0711768999999998,1.0711768999999998,1.288413,2.516067,1.5500124222222222,1.5500124222222222,1.0711768999999998,1.0711768999999998,1.288413,2.516067,1.5500124222222222,1.5500124222222222,1
123,1000_to_1099,1049.5,10,10,1,2,3.2917457,3.2917457,5.411963,8.17791,4.401830911111111,4.401830911111111,3.2917457,3.2917457,5.411963,8.17791,4.401830911111111,4.401830911111111,1
131,1000_to_1099,1049.5,10,10,1,1,0.699021,0.699021,0.419602,1.5453709999999998,1.039364711111111,1.039364711111111,0.699021,0.699021,0.419602,1.5453709999999998,1.039364711111111,1.039364711111111,1
145,1000_to_1099,1049.5,10,10,1,1,0.09686800000000001,0.09686800000000001,0.140545,0.214548,0.09720831111111111,0.09720831111111111,0.09686800000000001,0.09686800000000001,0.140545,0.214548,0.09720831111111111,0.09720831111111111,1
149,1000_to_1099,1049.5,10,10,1,1,0.4378525,0.4378525,0.52715,0.907785,0.5310714444444444,0.5310714444444444,0.4378525,0.4378525,0.52715,0.907785,0.5310714444444444,0.5310714444444444,1
157,1000_to_1099,1049.5,10,10,1,4,1.0022559,1.0022559,0.993342,1.7642459999999998,1.1188173555555554,1.1188173555555554,1.0022559,1.0022559,0.993342,1.7642459999999998,1.1188173555555554,1.1188173555555554,1
161,1000_to_1099,1049.5,10,10,1,2,0.21134499999999998,0.21134499999999998,0.259432,0.526587,0.26639582222222224,0.26639582222222224,0.21134499999999998,0.21134499999999998,0.259432,0.526587,0.26639582222222224,0.26639582222222224,1
169,1000_to_1099,1049.5,10,10,1,1,0.7966162000000001,0.7966162000000001,1.287434,1.562504,0.5124051555555555,0.5124051555555555,0.7966162000000001,0.7966162000000001,1.287434,1.562504,0.5124051555555555,0.5124051555555555,1
171,1000_to_1099,1049.5,10,10,1,2,2.5105847999999997,2.5105847999999997,2.4972220000000003,4.743099000000001,3.4073181333333333,3.4073181333333333,2.5105847999999997,2.5105847999999997,2.4972220000000003,4.743099000000001,3.4073181333333333,3.4073181333333333,1
184,1000_to_1099,1049.5,10,10,1,1,0.2305742,0.2305742,0.304524,0.5141530000000001,0.3048559111111111,0.3048559111111111,0.2305742,0.2305742,0.304524,0.5141530000000001,0.3048559111111111,0.3048559111111111,1
206,1000_to_1099,1049.5,10,10,1,3,1.7854394,1.7854394,2.841665,4.722792,2.8373988444444445,2.8373988444444445,1.7854394,1.7854394,2.841665,4.722792,2.8373988444444445,2.8373988444444445,1
219,1000_to_1099,1049.5,10,10,1,1,3.9041904,3.9041904,3.348635,8.873106,5.332564444444444,5.332564444444444,3.9041904,3.9041904,3.348635,8.873106,5.332564444444444,5.332564444444444,1
222,1000_to_1099,1049.5,10,10,1,1,0.132026,0.132026,0.12209799999999998,0.305915,0.1863956,0.1863956,0.132026,0.132026,0.12209799999999998,0.305915,0.1863956,0.1863956,1
227,1000_to_1099,1049.5,10,10,1,2,0.7252745,0.7252745,1.133016,1.4701410000000004,0.8812663333333334,0.8812663333333334,0.7252745,0.7252745,1.133016,1.4701410000000004,0.8812663333333334,0.8812663333333334,1
240,1000_to_1099,1049.5,10,10,1,4,0.8897288999999999,0.8897288999999999,1.104237,1.861832,1.1842032666666666,1.1842032666666666,0.8897288999999999,0.8897288999999999,1.104237,1.861832,1.1842032666666666,1.1842032666666666,1
246,1000_to_1099,1049.5,10,10,1,1,0.3133186,0.3133186,0.475597,0.6896059999999999,0.32059546666666666,0.32059546666666666,0.3133186,0.3133186,0.475597,0.6896059999999999,0.32059546666666666,0.32059546666666666,1
273,1000_to_1099,1049.5,10,10,1,1,0.7270032,0.7270032,0.6167119999999999,1.479682,0.8784248,0.8784248,0.7270032,0.7270032,0.6167119999999999,1.479682,0.8784248,0.8784248,1
276,1000_to_1099,1049.5,10,10,1,1,0.8552872,0.8552872,1.023602,1.965417,1.371606,1.371606,0.8552872,0.8552872,1.023602,1.965417,1.371606,1.371606,1
