host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
163,226,FALSE,FALSE,1,0,1,1,anc,2.8259410000000003
163,325,TRUE,TRUE,0,0,1,1,none,1.5810689999999998
226,325,FALSE,FALSE,0,0,1,1,none,5.0441780000000005
163,4,TRUE,TRUE,1,0,1,1,anc,1.3092380000000001
226,4,FALSE,FALSE,0,0,1,1,none,2.111979
325,4,FALSE,FALSE,0,0,1,1,none,3.527475
163,50,TRUE,TRUE,1,0,1,1,anc,1.989445
226,50,TRUE,TRUE,0,1,1,1,desc,0.624036
325,50,FALSE,FALSE,0,0,1,1,none,4.207682
4,50,TRUE,TRUE,0,0,1,1,none,1.275483
163,547,FALSE,FALSE,0,0,1,1,none,3.0832189
226,547,FALSE,FALSE,0,0,1,1,none,6.5463279000000005
325,547,TRUE,TRUE,1,0,1,1,anc,0.854311
4,547,FALSE,FALSE,0,0,1,1,none,5.0296249
50,547,FALSE,FALSE,0,0,1,1,none,5.7098319
163,686,FALSE,FALSE,0,0,1,1,none,3.2494110999999997
226,686,FALSE,FALSE,0,0,1,1,none,6.712520100000001
325,686,TRUE,TRUE,1,0,1,1,anc,0.946431
4,686,FALSE,FALSE,0,0,1,1,none,5.195817099999999
50,686,FALSE,FALSE,0,0,1,1,none,5.8760241
547,686,FALSE,FALSE,0,0,1,1,none,3.170492
163,895,TRUE,TRUE,0,0,1,1,none,0.892344
226,895,FALSE,FALSE,0,0,1,1,none,4.355453000000001
325,895,TRUE,TRUE,0,0,1,1,none,1.409495
4,895,FALSE,FALSE,0,0,1,1,none,2.83875
50,895,FALSE,FALSE,0,0,1,1,none,3.518957
547,895,FALSE,FALSE,0,0,1,1,none,2.9116448999999998
686,895,FALSE,FALSE,0,0,1,1,none,3.0778371
163,971,TRUE,TRUE,0,0,1,1,none,0.693124
226,971,FALSE,FALSE,0,0,1,1,none,4.156232999999999
325,971,TRUE,TRUE,0,0,1,1,none,1.901557
4,971,FALSE,FALSE,0,0,1,1,none,2.6395299999999997
50,971,FALSE,FALSE,0,0,1,1,none,3.3197369999999995
547,971,FALSE,FALSE,0,0,1,1,none,3.4037069
686,971,FALSE,FALSE,0,0,1,1,none,3.5698990999999998
895,971,TRUE,TRUE,0,0,1,1,none,1.212832
