host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
100,108,FALSE,FALSE,0,0,1,1,none,5.029199
100,176,FALSE,FALSE,0,0,1,1,none,6.252151999999999
108,176,FALSE,FALSE,0,0,1,1,none,8.346286999999998
100,18,FALSE,FALSE,0,0,1,1,none,4.594420000000001
108,18,FALSE,FALSE,0,0,1,1,none,0.693811
176,18,FALSE,FALSE,0,0,1,1,none,7.911507999999999
100,183,FALSE,FALSE,0,0,1,1,none,5.649598000000001
108,183,FALSE,FALSE,0,0,1,1,none,0.9889290000000001
176,183,FALSE,FALSE,0,0,1,1,none,8.966685999999997
18,183,FALSE,FALSE,0,0,1,1,none,1.31421
100,189,TRUE,TRUE,0,0,1,1,none,2.808136
108,189,FALSE,FALSE,0,0,1,1,none,5.815673
176,189,FALSE,FALSE,0,0,1,1,none,7.038625999999999
18,189,FALSE,FALSE,0,0,1,1,none,5.3808940000000005
183,189,FALSE,FALSE,0,0,1,1,none,6.436072
100,20,FALSE,FALSE,0,0,1,1,none,4.662651
108,20,TRUE,TRUE,0,1,1,1,desc,0.184265
176,20,FALSE,FALSE,0,0,1,1,none,7.979738999999999
18,20,TRUE,TRUE,0,0,1,1,none,0.32726299999999997
183,20,TRUE,TRUE,0,1,1,1,desc,0.163488
189,20,FALSE,FALSE,0,0,1,1,none,5.449125
100,21,TRUE,TRUE,0,0,1,1,none,4.574489000000001
108,21,FALSE,FALSE,0,0,1,1,none,6.668624
176,21,FALSE,FALSE,0,0,1,1,none,6.044162999999999
18,21,FALSE,FALSE,0,0,1,1,none,6.2338450000000005
183,21,FALSE,FALSE,0,0,1,1,none,7.289023000000001
189,21,TRUE,TRUE,0,0,1,1,none,5.360963
20,21,FALSE,FALSE,0,0,1,1,none,6.3020760000000005
100,231,FALSE,FALSE,0,0,1,1,none,6.721690000000001
108,231,FALSE,FALSE,0,0,1,1,none,8.815824999999998
176,231,FALSE,FALSE,0,0,1,1,none,6.126227999999999
18,231,FALSE,FALSE,0,0,1,1,none,8.381046
183,231,FALSE,FALSE,0,0,1,1,none,9.436223999999998
189,231,FALSE,FALSE,0,0,1,1,none,7.508164
20,231,FALSE,FALSE,0,0,1,1,none,8.449276999999999
21,231,FALSE,FALSE,0,0,1,1,none,6.513701
100,252,FALSE,FALSE,0,0,1,1,none,8.860607
108,252,FALSE,FALSE,0,0,1,1,none,11.868144
176,252,FALSE,FALSE,0,0,1,1,none,13.091097
18,252,FALSE,FALSE,0,0,1,1,none,11.433365
183,252,FALSE,FALSE,0,0,1,1,none,12.488543
189,252,FALSE,FALSE,0,0,1,1,none,9.196366999999999
