host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
21,1000_to_1099,1049.5,5,5,1,1,0.022099599999999997,0.022099599999999997,0.016173,0.031743,0.0204166,0.0204166,0.022099599999999997,0.022099599999999997,0.016173,0.031743,0.0204166,0.0204166,1,0,0
234,1000_to_1099,1049.5,5,5,1,2,1.9921756,1.9921756,3.281899,3.8730350000000002,2.4305168000000004,2.4305168000000004,1.9921756,1.9921756,3.281899,3.8730350000000002,2.4305168000000004,2.4305168000000004,1,0,0
244,1000_to_1099,1049.5,5,5,1,1,0.14205759999999995,0.14205759999999995,0.19419999999999998,0.26661599999999996,0.141032,0.141032,0.14205759999999995,0.14205759999999995,0.19419999999999998,0.26661599999999996,0.141032,0.141032,1,0,0
337,1000_to_1099,1049.5,5,5,1,1,0.955904,0.955904,1.3554819999999999,2.1313009999999997,1.6203987999999998,1.6203987999999998,0.955904,0.955904,1.3554819999999999,2.1313009999999997,1.6203987999999998,1.6203987999999998,1,0,0
404,1000_to_1099,1049.5,5,5,1,2,2.3606856,2.3606856,2.577008,5.10051,3.7085246,3.7085246,2.3606856,2.3606856,2.577008,5.10051,3.7085246,3.7085246,1,0,0
534,1000_to_1099,1049.5,5,5,1,1,0.9852302,0.9852302,0.8411,1.879041,1.5796934,1.5796934,0.9852302,0.9852302,0.8411,1.879041,1.5796934,1.5796934,1,0,0
74,1000_to_1099,1049.5,5,5,3,3,1.7708517999999998,0.854482,2.6681690000000002,4.317188,3.0184388,1.3516439999999998,1.7708517999999998,0.854482,2.6681690000000002,4.317188,3.0184388,1.3516439999999998,0.6,0.2,0.2
798,1000_to_1099,1049.5,5,5,1,3,1.0672666,1.0672666,0.9347909999999999,2.2903339999999996,1.7014953999999998,1.7014953999999998,1.0672666,1.0672666,0.9347909999999999,2.2903339999999996,1.7014953999999998,1.7014953999999998,1,0,0
94,1000_to_1099,1049.5,5,5,1,2,2.5813392,2.5813392,3.066341,5.372656,4.3830336,4.3830336,2.5813392,2.5813392,3.066341,5.372656,4.3830336,4.3830336,1,0,0
21,1100_to_1199,1149.5,5,5,1,1,0.016333,0.016333,0.022999,0.037146,0.0245888,0.0245888,0.016333,0.016333,0.022999,0.037146,0.0245888,0.0245888,1,0,0
234,1100_to_1199,1149.5,5,5,1,2,2.1839656,2.1839656,3.479026,4.260466,2.7695377999999997,2.7695377999999997,2.1839656,2.1839656,3.479026,4.260466,2.7695377999999997,2.7695377999999997,1,0,0
