unique.split,parent.split,host,parent.host
730-SPLIT1,unassigned_region-SPLIT1,730,unassigned_region
730-SPLIT2,unassigned_region-SPLIT1,730,unassigned_region
0,unassigned_region-SPLIT2,0,unassigned_region
12,unassigned_region-SPLIT2,12,unassigned_region
425,12,425,12
661,12,661,12
839,unassigned_region-SPLIT2,839,unassigned_region
799,unassigned_region-SPLIT2,799,unassigned_region
725,799,725,799
104,799,104,799
535,104,535,104
368,730-SPLIT2,368,730
178,368,178,368
293,178,293,178
477,293,477,293
191,477,191,477
63,unassigned_region-SPLIT3,63,unassigned_region
389,63,389,63
377,unassigned_region-SPLIT3,377,unassigned_region
773,unassigned_region-SPLIT4,773,unassigned_region
204,773,204,773
280,unassigned_region-SPLIT4,280,unassigned_region
144,unassigned_region-SPLIT4,144,unassigned_region
506,178,506,178
89,178,89,178
136,unassigned_region-SPLIT5,136,unassigned_region
232,unassigned_region-SPLIT5,232,unassigned_region
25,368,25,368
966,25,966,25
844,25,844,25
31,25,31,25
27,unassigned_region-SPLIT6,27,unassigned_region
343,27,343,27
696,27,696,27
111,27,111,27
135,unassigned_region-SPLIT6,135,unassigned_region
75,25,75,25
294,75,294,75
829,294,829,294
471,75,471,75
301,unassigned_region-SPLIT7,301,unassigned_region
431,unassigned_region-SPLIT7,431,unassigned_region
335,25,335,25
91,25,91,25
11,unassigned_region-SPLIT8,11,unassigned_region
311,unassigned_region-SPLIT8,311,unassigned_region
913,unassigned_region-SPLIT8,913,unassigned_region
236,91,236,91
10,unassigned_region-SPLIT9,10,unassigned_region
43,unassigned_region-SPLIT9,43,unassigned_region
702,unassigned_region-SPLIT9,702,unassigned_region
14,unassigned_region-SPLIT9,14,unassigned_region
115,unassigned_region-SPLIT9,115,unassigned_region
749,unassigned_region-SPLIT9,749,unassigned_region
8,unassigned_region-SPLIT10,8,unassigned_region
781,unassigned_region-SPLIT10,781,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,730-SPLIT2,unassigned_region,730
unassigned_region-SPLIT3,178,unassigned_region,178
unassigned_region-SPLIT4,377,unassigned_region,377
unassigned_region-SPLIT5,89,unassigned_region,89
unassigned_region-SPLIT6,25,unassigned_region,25
unassigned_region-SPLIT7,75,unassigned_region,75
unassigned_region-SPLIT8,91,unassigned_region,91
unassigned_region-SPLIT9,91,unassigned_region,91
unassigned_region-SPLIT10,368,unassigned_region,368
