host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
112,37,complex,1,10,1/10,8
112,37,trans,7,10,7/10,8
112,40,complex,1,10,1/10,10
112,980,none,7,10,7/10,7
125,145,complex,3,10,3/10,6
125,145,none,2,10,2/10,6
125,145,trans,1,10,1/10,6
125,168,complex,4,10,4/10,9
125,168,none,3,10,3/10,9
125,168,trans,2,10,2/10,9
125,23,complex,1,10,1/10,6
125,23,none,5,10,5/10,6
125,276,complex,1,10,1/10,7
125,276,none,5,10,5/10,7
125,276,trans,1,10,1/10,7
125,360,complex,1,10,1/10,7
125,360,none,5,10,5/10,7
125,360,trans,1,10,1/10,7
125,40,none,7,10,7/10,7
125,799,complex,1,10,1/10,7
125,799,none,6,10,6/10,7
145,168,complex,1,10,1/10,8
145,168,none,3,10,3/10,8
145,481,complex,2,10,2/10,10
145,481,trans,8,10,8/10,10
145,768,complex,1,10,1/10,10
145,768,trans,9,10,9/10,10
150,315,complex,6,10,6/10,10
150,315,trans,4,10,4/10,10
150,40,none,1,10,1/10,10
150,643,complex,1,10,1/10,10
150,643,none,8,10,8/10,10
150,643,trans,1,10,1/10,10
168,145,trans,4,10,4/10,8
168,276,complex,1,10,1/10,6
168,276,none,5,10,5/10,6
168,360,none,5,10,5/10,6
168,360,trans,1,10,1/10,6
168,799,none,6,10,6/10,7
212,276,none,1,10,1/10,9
212,429,none,6,10,6/10,10
212,429,trans,3,10,3/10,10
23,267,none,1,10,1/10,10
23,267,trans,9,10,9/10,10
23,308,complex,5,10,5/10,9
23,308,trans,4,10,4/10,9
23,331,none,1,10,1/10,10
23,331,trans,9,10,9/10,10
23,40,none,6,10,6/10,7
23,426,trans,10,10,10/10,10
23,799,complex,3,10,3/10,8
23,799,none,4,10,4/10,8
276,212,trans,8,10,8/10,9
276,360,complex,1,10,1/10,8
276,360,none,7,10,7/10,8
276,40,none,6,10,6/10,6
276,429,none,1,10,1/10,7
276,429,trans,6,10,6/10,7
276,799,none,6,10,6/10,7
30,294,trans,10,10,10/10,10
30,41,none,1,10,1/10,10
30,41,trans,1,10,1/10,10
360,799,none,5,10,5/10,6
37,772,complex,1,10,1/10,10
37,772,trans,7,10,7/10,10
4,337,trans,10,10,10/10,10
4,41,none,9,10,9/10,9
4,736,trans,10,10,10/10,10
4,75,trans,10,10,10/10,10
40,112,trans,9,10,9/10,10
40,150,trans,9,10,9/10,10
40,23,trans,1,10,1/10,7
40,4,trans,10,10,10/10,10
40,41,trans,9,10,9/10,9
40,523,complex,2,10,2/10,10
40,523,none,1,10,1/10,10
40,523,trans,7,10,7/10,10
40,643,complex,1,10,1/10,8
40,643,none,1,10,1/10,8
40,643,trans,6,10,6/10,8
40,799,complex,4,10,4/10,10
40,799,none,4,10,4/10,10
40,799,trans,1,10,1/10,10
40,980,trans,10,10,10/10,10
41,30,trans,8,10,8/10,10
429,212,trans,1,10,1/10,10
772,37,trans,2,10,2/10,10
799,168,trans,1,10,1/10,7
799,23,trans,1,10,1/10,8
799,276,trans,1,10,1/10,7
799,360,trans,1,10,1/10,6
799,40,trans,1,10,1/10,10
