dataset,phy_tp,phy_fp,phy_fn,tnet_tp,tnet_fp,tnet_fn,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SEIR015_sl1000_mr0125_nv10_1,29,3,44,60,16,13,65,6,8,58,5,15,53,5,20
SEIR015_sl1000_mr0125_nv10_10,9,2,10,15,4,4,18,1,1,15,1,4,15,1,4
SEIR015_sl1000_mr0125_nv10_11,5,1,8,9,4,4,9,4,4,9,2,4,9,2,4
SEIR015_sl1000_mr0125_nv10_12,4,0,10,12,2,2,12,2,2,11,2,3,9,2,5
SEIR015_sl1000_mr0125_nv10_13,26,1,24,45,5,5,48,2,2,41,1,9,41,1,9
SEIR015_sl1000_mr0125_nv10_14,32,9,20,44,15,8,42,15,10,41,12,11,37,11,15
SEIR015_sl1000_mr0125_nv10_15,13,4,32,31,16,14,28,17,17,23,16,22,23,10,22
SEIR015_sl1000_mr0125_nv10_16,40,12,23,48,23,15,51,18,12,48,14,15,47,14,16
SEIR015_sl1000_mr0125_nv10_17,15,5,11,19,13,7,20,12,6,17,9,9,17,9,9
SEIR015_sl1000_mr0125_nv10_18,5,3,5,8,4,2,8,4,2,7,3,3,7,3,3
SEIR015_sl1000_mr0125_nv10_19,15,2,16,16,16,15,18,12,13,18,3,13,16,3,15
SEIR015_sl1000_mr0125_nv10_2,9,1,7,10,7,6,12,4,4,10,2,6,10,2,6
SEIR015_sl1000_mr0125_nv10_20,26,2,15,35,8,6,35,8,6,31,2,10,31,2,10
SEIR015_sl1000_mr0125_nv10_3,5,2,4,8,3,1,8,2,1,8,2,1,7,2,2
SEIR015_sl1000_mr0125_nv10_4,6,0,4,8,2,2,8,2,2,8,0,2,8,0,2
SEIR015_sl1000_mr0125_nv10_5,11,5,40,32,19,19,30,10,21,21,6,30,21,6,30
SEIR015_sl1000_mr0125_nv10_6,12,2,23,29,8,6,32,4,3,25,3,10,22,3,13
SEIR015_sl1000_mr0125_nv10_7,28,8,40,61,15,7,52,21,16,46,10,22,41,7,27
