unique.split,parent.split,host,parent.host
234,274,234,274
274,unassigned_region-SPLIT1,274,unassigned_region
155,274,155,274
137,274,137,274
598,unassigned_region-SPLIT2,598,unassigned_region
315,598,315,598
131,598,131,598
842,598,842,598
322,598,322,598
287,unassigned_region-SPLIT2,287,unassigned_region
291,274,291,274
183,274,183,274
649,274,649,274
136,274,136,274
83,274,83,274
391,unassigned_region-SPLIT3,391,unassigned_region
436,unassigned_region-SPLIT3,436,unassigned_region
563,unassigned_region-SPLIT3,563,unassigned_region
233,unassigned_region-SPLIT1,233,unassigned_region
154,unassigned_region-SPLIT4,154,unassigned_region
447,unassigned_region-SPLIT4,447,unassigned_region
514,447,514,447
266-SPLIT1,447,266,447
889,266-SPLIT2,889,266
266-SPLIT2,unassigned_region-SPLIT4,266,unassigned_region
634,unassigned_region-SPLIT4,634,unassigned_region
266-SPLIT3,634,266,634
407,unassigned_region-SPLIT4,407,unassigned_region
267,692,267,692
742,692,742,692
692,unassigned_region-SPLIT4,692,unassigned_region
141-SPLIT1,unassigned_region-SPLIT4,141,unassigned_region
141-SPLIT2,233,141,233
295,233,295,233
177,295,177,295
141-SPLIT3,233,141,233
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,274,unassigned_region,274
unassigned_region-SPLIT3,274,unassigned_region,274
unassigned_region-SPLIT4,233,unassigned_region,233
