host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
108,124,none,6,10,6/10,6
108,591,complex,1,10,1/10,9
108,591,none,7,10,7/10,9
108,591,trans,1,10,1/10,9
108,72,complex,1,10,1/10,7
108,72,none,5,10,5/10,7
108,840,complex,2,10,2/10,9
108,840,none,5,10,5/10,9
116,192,none,9,10,9/10,9
116,215,none,10,10,10/10,10
116,353,none,2,10,2/10,10
116,811,none,10,10,10/10,10
119,238,none,10,10,10/10,10
124,119,trans,10,10,10/10,10
124,142,none,4,10,4/10,10
124,142,trans,6,10,6/10,10
124,146,trans,10,10,10/10,10
124,178,trans,7,10,7/10,7
124,238,trans,10,10,10/10,10
124,26,complex,3,10,3/10,9
124,26,trans,6,10,6/10,9
124,27,none,4,10,4/10,10
124,27,trans,6,10,6/10,10
124,325,none,2,10,2/10,9
124,325,trans,7,10,7/10,9
124,351,none,2,10,2/10,8
124,351,trans,6,10,6/10,8
124,367,complex,3,10,3/10,8
124,367,none,2,10,2/10,8
124,367,trans,3,10,3/10,8
124,428,complex,2,10,2/10,10
124,428,none,1,10,1/10,10
124,428,trans,7,10,7/10,10
124,494,complex,1,10,1/10,9
124,494,none,4,10,4/10,9
124,494,trans,4,10,4/10,9
124,564,none,4,10,4/10,7
124,564,trans,3,10,3/10,7
124,567,none,4,10,4/10,8
124,567,trans,4,10,4/10,8
124,580,none,1,10,1/10,10
124,580,trans,9,10,9/10,10
124,592,complex,1,10,1/10,9
124,592,none,1,10,1/10,9
124,592,trans,7,10,7/10,9
124,60,none,4,10,4/10,10
124,60,trans,6,10,6/10,10
124,641,complex,2,10,2/10,10
124,641,trans,8,10,8/10,10
124,647,none,1,10,1/10,9
124,647,trans,8,10,8/10,9
124,658,none,4,10,4/10,10
124,658,trans,6,10,6/10,10
124,72,none,9,10,9/10,9
124,784,none,3,10,3/10,6
124,784,trans,3,10,3/10,6
124,840,complex,1,10,1/10,7
124,840,none,6,10,6/10,7
124,936,none,4,10,4/10,10
124,936,trans,6,10,6/10,10
124,968,complex,1,10,1/10,9
124,968,trans,8,10,8/10,9
133,141,complex,1,10,1/10,6
133,141,none,3,10,3/10,6
133,141,trans,1,10,1/10,6
133,519,complex,1,10,1/10,7
133,519,none,4,10,4/10,7
133,519,trans,2,10,2/10,7
133,72,complex,3,10,3/10,9
133,72,none,1,10,1/10,9
136,597,none,10,10,10/10,10
136,658,none,1,10,1/10,10
136,700,none,10,10,10/10,10
141,133,trans,1,10,1/10,6
141,375,complex,4,10,4/10,7
141,375,none,3,10,3/10,7
141,72,complex,4,10,4/10,8
141,72,none,3,10,3/10,8
165,840,none,4,10,4/10,7
176,473,none,10,10,10/10,10
176,668,none,10,10,10/10,10
176,915,none,10,10,10/10,10
178,592,none,8,10,8/10,10
191,218,complex,1,10,1/10,7
191,218,none,4,10,4/10,7
191,564,complex,1,10,1/10,6
191,564,none,3,10,3/10,6
192,215,none,9,10,9/10,9
192,353,none,3,10,3/10,10
192,811,none,9,10,9/10,9
209,715,none,9,10,9/10,9
215,353,none,2,10,2/10,10
215,811,none,10,10,10/10,10
218,191,trans,2,10,2/10,7
218,564,complex,3,10,3/10,9
218,564,none,2,10,2/10,9
228,564,complex,1,10,1/10,10
228,564,none,4,10,4/10,10
231,353,none,1,10,1/10,10
26,968,complex,1,10,1/10,7
26,968,none,3,10,3/10,7
26,968,trans,1,10,1/10,7
27,567,none,8,10,8/10,8
27,658,none,10,10,10/10,10
27,936,none,10,10,10/10,10
286,757,none,9,10,9/10,10
286,757,trans,1,10,1/10,10
297,367,complex,2,10,2/10,6
297,367,none,2,10,2/10,6
297,367,trans,1,10,1/10,6
297,441,complex,4,10,4/10,8
297,441,none,2,10,2/10,8
297,441,trans,2,10,2/10,8
297,847,complex,1,10,1/10,7
297,847,none,2,10,2/10,7
297,847,trans,3,10,3/10,7
325,647,none,8,10,8/10,10
325,647,trans,1,10,1/10,10
353,116,trans,8,10,8/10,10
353,192,trans,7,10,7/10,10
353,209,trans,10,10,10/10,10
353,215,trans,8,10,8/10,10
353,231,trans,9,10,9/10,10
353,286,trans,10,10,10/10,10
353,715,trans,10,10,10/10,10
353,757,trans,9,10,9/10,9
353,811,none,2,10,2/10,10
353,811,trans,8,10,8/10,10
367,297,trans,1,10,1/10,6
367,441,complex,4,10,4/10,6
367,441,none,1,10,1/10,6
367,441,trans,1,10,1/10,6
367,560,complex,2,10,2/10,8
367,560,none,4,10,4/10,8
367,560,trans,2,10,2/10,8
367,784,complex,1,10,1/10,8
367,784,none,5,10,5/10,8
367,784,trans,2,10,2/10,8
375,72,complex,4,10,4/10,7
375,72,none,3,10,3/10,7
375,840,complex,2,10,2/10,7
375,840,none,4,10,4/10,7
396,784,complex,1,10,1/10,8
396,784,none,3,10,3/10,8
396,784,trans,1,10,1/10,8
441,560,complex,3,10,3/10,6
441,560,none,2,10,2/10,6
441,560,trans,1,10,1/10,6
441,847,complex,1,10,1/10,8
441,847,none,2,10,2/10,8
441,847,trans,5,10,5/10,8
468,591,none,4,10,4/10,7
473,668,none,10,10,10/10,10
473,915,none,10,10,10/10,10
494,564,none,6,10,6/10,8
494,564,trans,1,10,1/10,8
519,72,none,2,10,2/10,7
564,191,trans,2,10,2/10,6
564,218,trans,4,10,4/10,9
564,228,trans,5,10,5/10,10
564,494,trans,1,10,1/10,8
567,658,none,8,10,8/10,10
567,936,none,8,10,8/10,8
580,353,trans,10,10,10/10,10
591,468,trans,3,10,3/10,7
591,840,none,4,10,4/10,6
592,176,trans,10,10,10/10,10
592,178,trans,2,10,2/10,10
592,473,trans,10,10,10/10,10
592,668,trans,10,10,10/10,10
592,915,trans,10,10,10/10,10
597,658,none,1,10,1/10,10
597,700,none,10,10,10/10,10
641,579,trans,9,10,9/10,9
647,325,trans,1,10,1/10,10
658,136,trans,9,10,9/10,10
658,241,trans,10,10,10/10,10
658,567,trans,2,10,2/10,10
658,597,trans,9,10,9/10,10
658,700,none,1,10,1/10,10
658,700,trans,9,10,9/10,10
658,936,none,10,10,10/10,10
668,915,none,10,10,10/10,10
72,108,trans,1,10,1/10,7
72,133,trans,5,10,5/10,9
72,141,trans,1,10,1/10,8
72,519,trans,5,10,5/10,7
72,840,complex,2,10,2/10,8
72,840,none,5,10,5/10,8
72,840,trans,1,10,1/10,8
784,396,trans,3,10,3/10,8
840,108,trans,2,10,2/10,9
840,165,trans,3,10,3/10,7
840,375,trans,1,10,1/10,7
840,591,trans,2,10,2/10,6
847,297,trans,1,10,1/10,7
968,26,trans,2,10,2/10,7
