unique.split,parent.split,host,parent.host
80,unassigned_region-SPLIT1,80,unassigned_region
789,80,789,80
350,80,350,80
778,350,778,350
662,unassigned_region-SPLIT2,662,unassigned_region
565,unassigned_region-SPLIT2,565,unassigned_region
303,unassigned_region-SPLIT3,303,unassigned_region
538,303,538,303
637,303,637,303
202,303,202,303
157,303,157,303
527,303,527,303
199,527,199,527
408,199,408,199
72,unassigned_region-SPLIT4,72,unassigned_region
632,unassigned_region-SPLIT4,632,unassigned_region
510,527,510,527
617,303,617,303
243,617,243,617
121,303,121,303
186,unassigned_region-SPLIT3,186,unassigned_region
120,unassigned_region-SPLIT5,120,unassigned_region
578,unassigned_region-SPLIT5,578,unassigned_region
257,unassigned_region-SPLIT5,257,unassigned_region
89,350,89,350
105,89,105,89
873,unassigned_region-SPLIT6,873,unassigned_region
130,unassigned_region-SPLIT6,130,unassigned_region
865,89,865,89
170,89,170,89
905,unassigned_region-SPLIT7,905,unassigned_region
103,unassigned_region-SPLIT7,103,unassigned_region
502,89,502,89
506,89,506,89
191,89,191,89
383,350,383,350
587,80,587,80
173,unassigned_region-SPLIT8,173,unassigned_region
226,unassigned_region-SPLIT8,226,unassigned_region
525,unassigned_region-SPLIT8,525,unassigned_region
818,80,818,80
531,80,531,80
293,unassigned_region-SPLIT1,293,unassigned_region
275,unassigned_region-SPLIT1,275,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,350,unassigned_region,350
unassigned_region-SPLIT3,350,unassigned_region,350
unassigned_region-SPLIT4,199,unassigned_region,199
unassigned_region-SPLIT5,350,unassigned_region,350
unassigned_region-SPLIT6,89,unassigned_region,89
unassigned_region-SPLIT7,89,unassigned_region,89
unassigned_region-SPLIT8,80,unassigned_region,80
