host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5
106,1000_to_1099,1049.5,10,10,3,4,2.828649,2.2506366666666664,2.943461,7.122253000000001,4.188054311111111,2.3238333333333334,2.828649,2.2506366666666664,2.943461,7.122253000000001,4.188054311111111,2.3238333333333334,0.6,0.2,0.2,0,0
143,1000_to_1099,1049.5,10,10,2,7,0.0648003,0.070503125,0.100249,0.174672,0.1058449111111111,0.10437589285714285,0.0648003,0.070503125,0.100249,0.174672,0.1058449111111111,0.10437589285714285,0.8,0.2,0,0,0
17,1000_to_1099,1049.5,10,10,2,2,6.0133581,3.6143597499999998,7.740535,14.218243000000001,6.536590555555556,3.0194055714285715,6.0133581,3.6143597499999998,7.740535,14.218243000000001,6.536590555555556,3.0194055714285715,0.8,0.2,0,0,0
224,1000_to_1099,1049.5,10,10,2,4,3.8717525000000004,3.349711777777778,4.620295,9.705416999999999,5.672262511111111,5.097826444444444,3.8717525000000004,3.349711777777778,4.620295,9.705416999999999,5.672262511111111,5.097826444444444,0.9,0.1,0,0,0
242,1000_to_1099,1049.5,10,10,3,4,3.3382461,1.81806075,2.333594,8.293099,4.928695355555555,2.4318285,3.3382461,1.81806075,2.333594,8.293099,4.928695355555555,2.4318285,0.4,0.4,0.2,0,0
451,1000_to_1099,1049.5,10,10,1,1,1.8988942000000002,1.8988942000000002,3.187257,6.036733,3.071606666666667,3.071606666666667,1.8988942000000002,1.8988942000000002,3.187257,6.036733,3.071606666666667,3.071606666666667,1,0,0,0,0
62,1000_to_1099,1049.5,10,10,2,6,2.1541835000000003,1.376219857142857,2.590716,5.120713,2.835276111111111,1.4883896190476191,2.1541835000000003,1.376219857142857,2.590716,5.120713,2.835276111111111,1.4883896190476191,0.7,0.3,0,0,0
63,1000_to_1099,1049.5,10,10,3,3,2.9522147,1.7626652,2.548341,7.785334000000001,4.543811977777778,2.8889382,2.9522147,1.7626652,2.548341,7.785334000000001,4.543811977777778,2.8889382,0.5,0.4,0.1,0,0
68,1000_to_1099,1049.5,10,10,1,1,1.6270355000000003,1.6270355000000003,2.201454,4.342371,2.1079100222222222,2.1079100222222222,1.6270355000000003,1.6270355000000003,2.201454,4.342371,2.1079100222222222,2.1079100222222222,1,0,0,0,0
770,1000_to_1099,1049.5,10,10,1,1,0.9801326000000001,0.9801326000000001,0.641554,1.9953629999999998,1.1953294222222222,1.1953294222222222,0.9801326000000001,0.9801326000000001,0.641554,1.9953629999999998,1.1953294222222222,1.1953294222222222,1,0,0,0,0
