host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
104,137,FALSE,FALSE,1,0,1,1,anc,8.977278199999999
104,176,FALSE,FALSE,1,0,1,1,anc,10.815133399999999
137,176,FALSE,FALSE,0,0,1,1,none,20.09546161
104,182,FALSE,FALSE,1,0,1,1,anc,10.751132399999998
137,182,FALSE,FALSE,0,0,1,1,none,20.03146061
176,182,FALSE,FALSE,0,0,1,1,none,20.684699000000002
104,221,FALSE,FALSE,1,0,1,1,anc,10.729019399999999
137,221,FALSE,FALSE,0,0,1,1,none,20.00934761
176,221,FALSE,FALSE,0,0,1,1,none,20.662586
182,221,FALSE,FALSE,0,0,1,1,none,7.118704999999999
104,259,TRUE,TRUE,1,0,1,1,anc,0.0230784
137,259,FALSE,FALSE,0,0,1,1,none,9.30340661
176,259,TRUE,TRUE,0,1,1,1,desc,10.37435
182,259,TRUE,TRUE,0,1,1,1,desc,3.5704089999999997
221,259,TRUE,TRUE,0,1,1,1,desc,2.19867
104,270,TRUE,TRUE,0,0,1,1,none,0.33091351
137,270,FALSE,FALSE,0,0,1,1,none,9.57684126
176,270,FALSE,FALSE,0,0,1,1,none,11.18044737
182,270,FALSE,FALSE,0,0,1,1,none,11.116446369999998
221,270,FALSE,FALSE,0,0,1,1,none,11.09433337
259,270,FALSE,FALSE,0,0,1,1,none,0.38839237
104,396,FALSE,FALSE,1,0,1,1,anc,10.801003399999997
137,396,FALSE,FALSE,0,0,1,1,none,20.08133161
176,396,FALSE,FALSE,0,0,1,1,none,20.734569999999998
182,396,FALSE,FALSE,0,0,1,1,none,14.536268999999999
221,396,FALSE,FALSE,0,0,1,1,none,14.514156
259,396,TRUE,TRUE,1,0,1,1,anc,4.192209999999999
270,396,FALSE,FALSE,0,0,1,1,none,11.16631737
104,408,FALSE,FALSE,1,0,1,1,anc,10.727904399999998
137,408,FALSE,FALSE,0,0,1,1,none,20.00823261
176,408,FALSE,FALSE,0,0,1,1,none,20.661471
182,408,FALSE,FALSE,0,0,1,1,none,14.46317
221,408,FALSE,FALSE,0,0,1,1,none,14.441057
259,408,TRUE,TRUE,1,0,1,1,anc,0.280281
270,408,FALSE,FALSE,0,0,1,1,none,11.09321837
396,408,FALSE,FALSE,0,0,1,1,none,8.311321
104,45,TRUE,TRUE,1,0,1,1,anc,2.55848
137,45,FALSE,FALSE,0,0,1,1,none,11.754496249999999
176,45,FALSE,FALSE,0,0,1,1,none,13.45792536
182,45,FALSE,FALSE,0,0,1,1,none,13.39392436
221,45,FALSE,FALSE,0,0,1,1,none,13.37181136
259,45,FALSE,FALSE,0,0,1,1,none,2.66587036
270,45,FALSE,FALSE,0,0,1,1,none,2.93930501
396,45,FALSE,FALSE,0,0,1,1,none,13.44379536
408,45,FALSE,FALSE,0,0,1,1,none,13.37069636
104,47,TRUE,TRUE,1,0,1,1,anc,0.0489242
137,47,FALSE,FALSE,0,0,1,1,none,9.07078645
176,47,FALSE,FALSE,0,0,1,1,none,11.12252356
182,47,FALSE,FALSE,0,0,1,1,none,11.058522559999998
221,47,FALSE,FALSE,0,0,1,1,none,11.03640956
259,47,FALSE,FALSE,0,0,1,1,none,0.33046855999999997
270,47,FALSE,FALSE,0,0,1,1,none,0.60390321
396,47,FALSE,FALSE,0,0,1,1,none,11.10839356
408,47,FALSE,FALSE,0,0,1,1,none,11.03529456
45,47,FALSE,FALSE,0,0,1,1,none,2.7815582
104,544,FALSE,FALSE,1,0,1,1,anc,10.814006399999998
137,544,FALSE,FALSE,0,0,1,1,none,20.09433461
176,544,FALSE,FALSE,0,0,1,1,none,20.747573000000003
182,544,FALSE,FALSE,0,0,1,1,none,7.203692
221,544,FALSE,FALSE,0,0,1,1,none,6.9332069999999995
259,544,TRUE,TRUE,1,0,1,1,anc,2.53487
270,544,FALSE,FALSE,0,0,1,1,none,11.17932037
396,544,FALSE,FALSE,0,0,1,1,none,14.599143
408,544,FALSE,FALSE,0,0,1,1,none,14.526044
45,544,FALSE,FALSE,0,0,1,1,none,13.456798359999999
47,544,FALSE,FALSE,0,0,1,1,none,11.121396559999999
104,556,FALSE,FALSE,1,0,1,1,anc,10.556661399999998
137,556,FALSE,FALSE,0,0,1,1,none,19.83698961
176,556,FALSE,FALSE,0,0,1,1,none,20.490228000000002
182,556,TRUE,TRUE,0,0,1,1,none,1.406007
221,556,FALSE,FALSE,0,0,1,1,none,6.924233999999999
259,556,TRUE,TRUE,1,0,1,1,anc,3.3759379999999997
270,556,FALSE,FALSE,0,0,1,1,none,10.921975369999998
396,556,FALSE,FALSE,0,0,1,1,none,14.341797999999999
408,556,FALSE,FALSE,0,0,1,1,none,14.268699
45,556,FALSE,FALSE,0,0,1,1,none,13.19945336
47,556,FALSE,FALSE,0,0,1,1,none,10.864051559999998
544,556,FALSE,FALSE,0,0,1,1,none,7.009221
104,58,TRUE,TRUE,1,0,1,1,anc,1.00806
137,58,FALSE,FALSE,0,0,1,1,none,10.452456640000001
176,58,FALSE,FALSE,0,0,1,1,none,11.98726183
182,58,FALSE,FALSE,0,0,1,1,none,11.923260829999998
221,58,FALSE,FALSE,0,0,1,1,none,11.90114783
