host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
106,107,FALSE,FALSE,0,0,1,1,none,1.772097
106,109,FALSE,FALSE,0,0,1,1,none,5.579262
107,109,FALSE,FALSE,0,0,1,1,none,4.876609
106,137,FALSE,FALSE,0,0,1,1,none,7.0856010000000005
107,137,FALSE,FALSE,0,0,1,1,none,6.382948000000001
109,137,FALSE,FALSE,0,0,1,1,none,8.052327
106,142,FALSE,FALSE,0,0,1,1,none,7.421297
107,142,FALSE,FALSE,0,0,1,1,none,6.718644
109,142,FALSE,FALSE,0,0,1,1,none,8.388023
137,142,TRUE,TRUE,0,0,1,1,none,1.940632
106,146,FALSE,FALSE,0,0,1,1,none,19.799936000000002
107,146,FALSE,FALSE,0,0,1,1,none,19.097283000000004
109,146,FALSE,FALSE,0,0,1,1,none,20.200322000000003
137,146,FALSE,FALSE,0,0,1,1,none,22.273001
142,146,FALSE,FALSE,0,0,1,1,none,22.608697000000003
106,209,FALSE,FALSE,0,0,1,1,none,8.88137
107,209,FALSE,FALSE,0,0,1,1,none,8.178716999999999
109,209,FALSE,FALSE,0,0,1,1,none,9.848096
137,209,FALSE,FALSE,0,0,1,1,none,8.761157
142,209,FALSE,FALSE,0,0,1,1,none,9.096853
146,209,FALSE,FALSE,0,0,1,1,none,24.06877
106,217,FALSE,FALSE,0,0,1,1,none,8.598174
107,217,FALSE,FALSE,0,0,1,1,none,7.8955210000000005
109,217,FALSE,FALSE,0,0,1,1,none,9.564900000000002
137,217,FALSE,FALSE,0,0,1,1,none,4.924539
142,217,FALSE,FALSE,0,0,1,1,none,5.260235
146,217,FALSE,FALSE,0,0,1,1,none,23.785574
209,217,FALSE,FALSE,0,0,1,1,none,10.27373
106,23,FALSE,FALSE,0,0,1,1,none,6.043202
107,23,FALSE,FALSE,0,0,1,1,none,5.340549000000001
109,23,FALSE,FALSE,0,0,1,1,none,6.443588
137,23,FALSE,FALSE,0,0,1,1,none,8.516267
142,23,FALSE,FALSE,0,0,1,1,none,8.851963
146,23,FALSE,FALSE,0,1,1,1,desc,13.241201
209,23,FALSE,FALSE,0,0,1,1,none,10.312035999999999
217,23,FALSE,FALSE,0,0,1,1,none,10.028839999999999
106,252,FALSE,FALSE,0,0,1,1,none,2.5397790000000007
107,252,FALSE,FALSE,0,0,1,1,none,1.8371259999999998
109,252,FALSE,FALSE,0,0,1,1,none,3.5065050000000006
137,252,FALSE,FALSE,0,0,1,1,none,4.831948000000001
142,252,FALSE,FALSE,0,0,1,1,none,5.167644
146,252,FALSE,FALSE,0,0,1,1,none,17.727179
209,252,FALSE,FALSE,0,0,1,1,none,6.6277170000000005
217,252,FALSE,FALSE,0,0,1,1,none,6.344521
23,252,FALSE,FALSE,0,0,1,1,none,3.970445
106,254,FALSE,FALSE,0,0,1,1,none,12.702445
107,254,FALSE,FALSE,0,0,1,1,none,11.999792000000001
109,254,FALSE,FALSE,0,0,1,1,none,13.102831
137,254,FALSE,FALSE,0,0,1,1,none,15.17551
142,254,FALSE,FALSE,0,0,1,1,none,15.511206000000001
146,254,FALSE,FALSE,0,0,1,1,none,12.049480999999998
209,254,FALSE,FALSE,0,0,1,1,none,16.971279
217,254,FALSE,FALSE,0,0,1,1,none,16.688083
23,254,FALSE,FALSE,1,0,1,1,anc,6.1437100000000004
252,254,FALSE,FALSE,0,0,1,1,none,10.629687999999998
106,256,FALSE,FALSE,0,0,1,1,none,19.138953
107,256,FALSE,FALSE,0,0,1,1,none,18.436300000000003
109,256,FALSE,FALSE,0,0,1,1,none,19.539339
137,256,FALSE,FALSE,0,0,1,1,none,21.612018
142,256,FALSE,FALSE,0,0,1,1,none,21.947713999999998
146,256,FALSE,FALSE,0,0,1,1,none,15.809334999999997
209,256,FALSE,FALSE,0,0,1,1,none,23.407787
217,256,FALSE,FALSE,0,0,1,1,none,23.124590999999995
23,256,FALSE,FALSE,1,0,1,1,anc,12.580218000000002
252,256,FALSE,FALSE,0,0,1,1,none,17.066195999999998
254,256,FALSE,FALSE,0,0,1,1,none,11.388498
106,258,FALSE,FALSE,0,0,1,1,none,2.810238
107,258,FALSE,FALSE,0,0,1,1,none,2.107585
109,258,FALSE,FALSE,0,0,1,1,none,5.3815919999999995
137,258,FALSE,FALSE,0,0,1,1,none,6.887931000000001
142,258,FALSE,FALSE,0,0,1,1,none,7.2236270000000005
146,258,FALSE,FALSE,0,0,1,1,none,19.602266
209,258,FALSE,FALSE,0,0,1,1,none,8.683699999999998
217,258,FALSE,FALSE,0,0,1,1,none,8.400504000000002
23,258,FALSE,FALSE,0,0,1,1,none,5.8455319999999995
252,258,FALSE,FALSE,0,0,1,1,none,2.342109
254,258,FALSE,FALSE,0,0,1,1,none,12.504774999999999
256,258,FALSE,FALSE,0,0,1,1,none,18.941283
106,292,FALSE,FALSE,0,0,1,1,none,4.177466
107,292,FALSE,FALSE,0,0,1,1,none,3.4748129999999997
109,292,FALSE,FALSE,0,0,1,1,none,3.368626
137,292,FALSE,FALSE,0,0,1,1,none,6.650531
142,292,FALSE,FALSE,0,0,1,1,none,6.9862269999999995
146,292,FALSE,FALSE,0,0,1,1,none,18.798526000000003
209,292,FALSE,FALSE,0,0,1,1,none,8.446299999999999
217,292,FALSE,FALSE,0,0,1,1,none,8.163104
23,292,FALSE,FALSE,0,0,1,1,none,5.041792000000001
252,292,FALSE,FALSE,0,0,1,1,none,2.1047089999999997
254,292,FALSE,FALSE,0,0,1,1,none,11.701035000000001
256,292,FALSE,FALSE,0,0,1,1,none,18.137543
258,292,FALSE,FALSE,0,0,1,1,none,3.9797959999999994
106,293,FALSE,FALSE,0,0,1,1,none,3.6029070000000005
107,293,FALSE,FALSE,0,0,1,1,none,2.900254
109,293,FALSE,FALSE,0,0,1,1,none,4.5696330000000005
137,293,TRUE,TRUE,0,1,1,1,desc,1.7059829999999998
142,293,TRUE,TRUE,0,1,1,1,desc,2.041679
146,293,FALSE,FALSE,0,0,1,1,none,18.790307000000002
209,293,TRUE,TRUE,0,1,1,1,desc,4.165355
217,293,TRUE,TRUE,0,1,1,1,desc,2.09409
23,293,FALSE,FALSE,0,0,1,1,none,5.0335730000000005
252,293,TRUE,TRUE,0,0,1,1,none,1.349254
254,293,FALSE,FALSE,0,0,1,1,none,11.692816
256,293,FALSE,FALSE,0,0,1,1,none,18.129324000000004
258,293,FALSE,FALSE,0,0,1,1,none,3.405237
292,293,FALSE,FALSE,0,0,1,1,none,3.1678369999999996
106,300,FALSE,FALSE,0,0,1,1,none,7.329715
107,300,FALSE,FALSE,0,0,1,1,none,6.6270620000000005
109,300,FALSE,FALSE,0,0,1,1,none,8.296441
137,300,FALSE,FALSE,0,0,1,1,none,5.235922
142,300,FALSE,FALSE,0,0,1,1,none,5.571618
146,300,FALSE,FALSE,0,0,1,1,none,22.517115000000004
209,300,FALSE,FALSE,0,0,1,1,none,9.005271
217,300,FALSE,FALSE,0,0,1,1,none,6.748495
23,300,FALSE,FALSE,0,0,1,1,none,8.760381
252,300,FALSE,FALSE,0,0,1,1,none,5.076062
254,300,FALSE,FALSE,0,0,1,1,none,15.419624000000002
256,300,FALSE,FALSE,0,0,1,1,none,21.856132000000002
258,300,FALSE,FALSE,0,0,1,1,none,7.132045
292,300,FALSE,FALSE,0,0,1,1,none,6.894644999999999
293,300,TRUE,TRUE,1,0,1,1,anc,1.701851
106,307,FALSE,FALSE,0,0,1,1,none,3.5560720000000003
107,307,FALSE,FALSE,0,0,1,1,none,2.853419
109,307,FALSE,FALSE,0,0,1,1,none,3.956458
137,307,FALSE,FALSE,0,0,1,1,none,6.0291369999999995
142,307,FALSE,FALSE,0,0,1,1,none,6.364832999999999
146,307,FALSE,FALSE,0,1,1,1,desc,14.343503000000002
209,307,FALSE,FALSE,0,0,1,1,none,7.824906
217,307,FALSE,FALSE,0,0,1,1,none,7.54171
23,307,TRUE,TRUE,0,1,1,1,desc,0.586769
252,307,FALSE,FALSE,0,0,1,1,none,1.4833149999999997
254,307,FALSE,FALSE,0,1,1,1,desc,7.246012000000001
256,307,FALSE,FALSE,0,1,1,1,desc,13.682520000000004
258,307,FALSE,FALSE,0,0,1,1,none,3.358402
292,307,FALSE,FALSE,0,0,1,1,none,2.554662
293,307,FALSE,FALSE,0,0,1,1,none,2.546443
300,307,FALSE,FALSE,0,0,1,1,none,6.273251
106,320,FALSE,FALSE,0,0,1,1,none,10.226450000000002
107,320,FALSE,FALSE,0,0,1,1,none,9.523797000000002
109,320,FALSE,FALSE,0,0,1,1,none,10.626836
137,320,FALSE,FALSE,0,0,1,1,none,12.699515
142,320,FALSE,FALSE,0,0,1,1,none,13.035211000000002
146,320,FALSE,FALSE,0,0,1,1,none,9.573488
209,320,FALSE,FALSE,0,0,1,1,none,14.495284
217,320,FALSE,FALSE,0,0,1,1,none,14.212088
23,320,FALSE,FALSE,1,0,1,1,anc,3.6677150000000003
252,320,FALSE,FALSE,0,0,1,1,none,8.153692999999999
254,320,FALSE,FALSE,0,0,1,1,none,2.475997
256,320,FALSE,FALSE,0,0,1,1,none,8.912505
258,320,FALSE,FALSE,0,0,1,1,none,10.02878
292,320,FALSE,FALSE,0,0,1,1,none,9.225040000000002
293,320,FALSE,FALSE,0,0,1,1,none,9.216821000000001
300,320,FALSE,FALSE,0,0,1,1,none,12.943629000000003
307,320,FALSE,FALSE,1,0,1,1,anc,4.770017
106,333,FALSE,FALSE,0,0,1,1,none,4.739486
107,333,TRUE,TRUE,1,0,1,1,anc,1.844321
109,333,FALSE,FALSE,0,0,1,1,none,7.843998
137,333,FALSE,FALSE,0,0,1,1,none,9.350337000000001
142,333,FALSE,FALSE,0,0,1,1,none,9.686033000000002
146,333,FALSE,FALSE,0,0,1,1,none,22.064672
209,333,FALSE,FALSE,0,0,1,1,none,11.146106
217,333,FALSE,FALSE,0,0,1,1,none,10.862910000000001
23,333,FALSE,FALSE,0,0,1,1,none,8.307938
252,333,FALSE,FALSE,0,0,1,1,none,4.804515
254,333,FALSE,FALSE,0,0,1,1,none,14.967181
256,333,FALSE,FALSE,0,0,1,1,none,21.403689
258,333,FALSE,FALSE,0,0,1,1,none,5.074974
292,333,FALSE,FALSE,0,0,1,1,none,6.442201999999999
293,333,FALSE,FALSE,0,0,1,1,none,5.867643000000001
300,333,FALSE,FALSE,0,0,1,1,none,9.594451000000001
307,333,FALSE,FALSE,0,0,1,1,none,5.820808
320,333,FALSE,FALSE,0,0,1,1,none,12.491186
106,386,FALSE,FALSE,0,0,1,1,none,22.348453
107,386,FALSE,FALSE,0,0,1,1,none,21.6458
109,386,FALSE,FALSE,0,0,1,1,none,22.748839000000004
137,386,FALSE,FALSE,0,0,1,1,none,24.821517999999998
142,386,FALSE,FALSE,0,0,1,1,none,25.157214000000003
146,386,TRUE,TRUE,1,0,1,1,anc,0.949393
209,386,FALSE,FALSE,0,0,1,1,none,26.617286999999997
217,386,FALSE,FALSE,0,0,1,1,none,26.334091
23,386,FALSE,FALSE,1,0,1,1,anc,15.789718
252,386,FALSE,FALSE,0,0,1,1,none,20.275695999999996
254,386,FALSE,FALSE,0,0,1,1,none,14.597997999999999
256,386,FALSE,FALSE,0,0,1,1,none,18.357851999999994
258,386,FALSE,FALSE,0,0,1,1,none,22.150782999999997
292,386,FALSE,FALSE,0,0,1,1,none,21.347043
293,386,FALSE,FALSE,0,0,1,1,none,21.338824000000002
300,386,FALSE,FALSE,0,0,1,1,none,25.065632
307,386,FALSE,FALSE,1,0,1,1,anc,16.892020000000002
320,386,FALSE,FALSE,0,0,1,1,none,12.122005
333,386,FALSE,FALSE,0,0,1,1,none,24.613189
106,406,FALSE,FALSE,0,0,1,1,none,6.169131
107,406,FALSE,FALSE,0,0,1,1,none,5.466478
109,406,FALSE,FALSE,0,0,1,1,none,6.569517
137,406,FALSE,FALSE,0,0,1,1,none,8.642195999999998
142,406,FALSE,FALSE,0,0,1,1,none,8.977891999999999
146,406,FALSE,FALSE,0,0,1,1,none,18.304671000000003
209,406,FALSE,FALSE,0,0,1,1,none,10.437964999999998
217,406,FALSE,FALSE,0,0,1,1,none,10.154768999999998
23,406,FALSE,FALSE,0,0,1,1,none,4.547937
252,406,FALSE,FALSE,0,0,1,1,none,4.096374
254,406,FALSE,FALSE,0,0,1,1,none,11.207180000000001
256,406,FALSE,FALSE,0,0,1,1,none,17.643688000000004
258,406,FALSE,FALSE,0,0,1,1,none,5.971461
292,406,FALSE,FALSE,0,0,1,1,none,5.167721
293,406,FALSE,FALSE,0,0,1,1,none,5.159502
300,406,FALSE,FALSE,0,0,1,1,none,8.88631
307,406,TRUE,TRUE,1,0,1,1,anc,1.916659
320,406,FALSE,FALSE,0,0,1,1,none,8.731185000000002
333,406,FALSE,FALSE,0,0,1,1,none,8.433867
386,406,FALSE,FALSE,0,0,1,1,none,20.853188000000003
106,438,FALSE,FALSE,0,0,1,1,none,15.838848
107,438,FALSE,FALSE,0,0,1,1,none,15.136195
109,438,FALSE,FALSE,0,0,1,1,none,16.239234
137,438,FALSE,FALSE,0,0,1,1,none,18.311912999999997
142,438,FALSE,FALSE,0,0,1,1,none,18.647609
146,438,FALSE,FALSE,0,0,1,1,none,15.185883999999998
209,438,FALSE,FALSE,0,0,1,1,none,20.107682
217,438,FALSE,FALSE,0,0,1,1,none,19.824485999999997
23,438,FALSE,FALSE,1,0,1,1,anc,9.280113
252,438,FALSE,FALSE,0,0,1,1,none,13.766090999999998
254,438,FALSE,FALSE,0,0,1,1,none,6.691959000000001
256,438,FALSE,FALSE,0,0,1,1,none,14.524901000000002
258,438,FALSE,FALSE,0,0,1,1,none,15.641177999999998
292,438,FALSE,FALSE,0,0,1,1,none,14.837438
293,438,FALSE,FALSE,0,0,1,1,none,14.829219
300,438,FALSE,FALSE,0,0,1,1,none,18.556027
307,438,FALSE,FALSE,1,0,1,1,anc,10.382415000000002
320,438,FALSE,FALSE,0,0,1,1,none,5.612399999999999
333,438,FALSE,FALSE,0,0,1,1,none,18.103583999999998
386,438,FALSE,FALSE,0,0,1,1,none,17.734401
406,438,FALSE,FALSE,0,0,1,1,none,14.343583
106,460,FALSE,FALSE,0,0,1,1,none,3.414943
107,460,FALSE,FALSE,0,0,1,1,none,2.71229
109,460,FALSE,FALSE,0,0,1,1,none,2.699697
137,460,FALSE,FALSE,0,0,1,1,none,5.888007999999999
142,460,FALSE,FALSE,0,0,1,1,none,6.223703999999999
146,460,FALSE,FALSE,0,0,1,1,none,18.036003
209,460,FALSE,FALSE,0,0,1,1,none,7.683776999999999
217,460,FALSE,FALSE,0,0,1,1,none,7.400580999999999
23,460,FALSE,FALSE,0,0,1,1,none,4.279269
252,460,FALSE,FALSE,0,0,1,1,none,1.3421859999999997
254,460,FALSE,FALSE,0,0,1,1,none,10.938512
256,460,FALSE,FALSE,0,0,1,1,none,17.37502
258,460,FALSE,FALSE,0,0,1,1,none,3.2172729999999996
292,460,FALSE,FALSE,0,0,1,1,none,1.297901
293,460,FALSE,FALSE,0,0,1,1,none,2.4053139999999997
300,460,FALSE,FALSE,0,0,1,1,none,6.132121999999999
307,460,FALSE,FALSE,0,0,1,1,none,1.792139
320,460,FALSE,FALSE,0,0,1,1,none,8.462517
333,460,FALSE,FALSE,0,0,1,1,none,5.679679
386,460,FALSE,FALSE,0,0,1,1,none,20.584519999999998
406,460,FALSE,FALSE,0,0,1,1,none,4.4051979999999995
438,460,FALSE,FALSE,0,0,1,1,none,14.074914999999999
106,464,FALSE,FALSE,0,0,1,1,none,3.096442
107,464,FALSE,FALSE,0,0,1,1,none,2.393789
109,464,FALSE,FALSE,0,0,1,1,none,4.063168
137,464,FALSE,FALSE,0,0,1,1,none,5.388613
142,464,FALSE,FALSE,0,0,1,1,none,5.724309
146,464,FALSE,FALSE,0,0,1,1,none,18.283842000000003
209,464,FALSE,FALSE,0,0,1,1,none,7.184381999999999
217,464,FALSE,FALSE,0,0,1,1,none,6.901185999999999
23,464,FALSE,FALSE,0,0,1,1,none,4.527108
252,464,FALSE,FALSE,0,0,1,1,none,0.8427910000000001
254,464,FALSE,FALSE,0,0,1,1,none,11.186351
256,464,FALSE,FALSE,0,0,1,1,none,17.622859000000005
258,464,FALSE,FALSE,0,0,1,1,none,2.8987719999999997
292,464,FALSE,FALSE,0,0,1,1,none,2.6613719999999996
293,464,FALSE,FALSE,0,0,1,1,none,1.905919
300,464,FALSE,FALSE,0,0,1,1,none,5.632727
307,464,FALSE,FALSE,0,0,1,1,none,2.039978
320,464,FALSE,FALSE,0,0,1,1,none,8.710356
333,464,FALSE,FALSE,0,0,1,1,none,5.361178000000001
386,464,FALSE,FALSE,0,0,1,1,none,20.832359000000004
406,464,FALSE,FALSE,0,0,1,1,none,4.653037
438,464,FALSE,FALSE,0,0,1,1,none,14.322754
460,464,FALSE,FALSE,0,0,1,1,none,1.8988489999999998
106,473,FALSE,FALSE,0,0,1,1,none,3.653141
107,473,FALSE,FALSE,0,0,1,1,none,2.950488
109,473,FALSE,FALSE,0,0,1,1,none,4.619866999999999
137,473,FALSE,FALSE,0,0,1,1,none,5.9453119999999995
142,473,FALSE,FALSE,0,0,1,1,none,6.281007999999999
146,473,FALSE,FALSE,0,0,1,1,none,18.840541
209,473,FALSE,FALSE,0,0,1,1,none,7.741080999999999
217,473,FALSE,FALSE,0,0,1,1,none,7.457884999999999
23,473,FALSE,FALSE,0,0,1,1,none,5.083807000000001
252,473,FALSE,FALSE,0,0,1,1,none,1.39949
254,473,FALSE,FALSE,0,0,1,1,none,11.74305
256,473,FALSE,FALSE,0,0,1,1,none,18.179558
258,473,FALSE,FALSE,0,0,1,1,none,3.4554709999999997
292,473,FALSE,FALSE,0,0,1,1,none,3.2180709999999997
293,473,FALSE,FALSE,0,0,1,1,none,2.462618
300,473,FALSE,FALSE,0,0,1,1,none,6.189425999999999
307,473,FALSE,FALSE,0,0,1,1,none,2.596677
320,473,FALSE,FALSE,0,0,1,1,none,9.267055000000001
333,473,FALSE,FALSE,0,0,1,1,none,5.917877
386,473,FALSE,FALSE,0,0,1,1,none,21.389058
406,473,FALSE,FALSE,0,0,1,1,none,5.209736
438,473,FALSE,FALSE,0,0,1,1,none,14.879453
460,473,FALSE,FALSE,0,0,1,1,none,2.455548
464,473,TRUE,TRUE,1,0,1,1,anc,0.297424
106,493,FALSE,FALSE,0,0,1,1,none,3.2397180000000008
107,493,FALSE,FALSE,0,0,1,1,none,2.537065
109,493,FALSE,FALSE,0,0,1,1,none,4.206444
137,493,FALSE,FALSE,0,0,1,1,none,5.531887
142,493,FALSE,FALSE,0,0,1,1,none,5.867583
146,493,FALSE,FALSE,0,0,1,1,none,18.427118000000004
209,493,FALSE,FALSE,0,0,1,1,none,7.327655999999999
217,493,FALSE,FALSE,0,0,1,1,none,7.044459999999999
23,493,FALSE,FALSE,0,0,1,1,none,4.670384
252,493,TRUE,TRUE,1,0,1,1,anc,0.576532
254,493,FALSE,FALSE,0,0,1,1,none,11.329627
256,493,FALSE,FALSE,0,0,1,1,none,17.766135000000006
258,493,FALSE,FALSE,0,0,1,1,none,3.0420480000000003
292,493,FALSE,FALSE,0,0,1,1,none,2.8046479999999994
293,493,FALSE,FALSE,0,0,1,1,none,2.049193
300,493,FALSE,FALSE,0,0,1,1,none,5.776000999999999
307,493,FALSE,FALSE,0,0,1,1,none,2.183254
320,493,FALSE,FALSE,0,0,1,1,none,8.853632000000001
333,493,FALSE,FALSE,0,0,1,1,none,5.504454000000001
386,493,FALSE,FALSE,0,0,1,1,none,20.975635000000004
406,493,FALSE,FALSE,0,0,1,1,none,4.796313
438,493,FALSE,FALSE,0,0,1,1,none,14.46603
460,493,FALSE,FALSE,0,0,1,1,none,2.0421249999999995
464,493,FALSE,FALSE,0,0,1,1,none,1.5427300000000002
473,493,FALSE,FALSE,0,0,1,1,none,2.0994289999999998
106,674,FALSE,FALSE,0,0,1,1,none,6.808807
107,674,FALSE,FALSE,0,0,1,1,none,6.106154
109,674,FALSE,FALSE,0,0,1,1,none,7.775533000000001
