host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
102,105,FALSE,FALSE,0,1,1,1,desc,2.2524390000000003
102,127,FALSE,FALSE,0,0,1,1,none,3.8375820000000003
105,127,FALSE,FALSE,1,0,1,1,anc,1.730777
102,144,FALSE,FALSE,0,0,1,1,none,6.624194999999999
105,144,FALSE,FALSE,0,0,1,1,none,3.447159
127,144,FALSE,FALSE,0,0,1,1,none,6.102532999999999
102,151,FALSE,FALSE,0,0,1,1,none,7.269017000000001
105,151,FALSE,FALSE,0,0,1,1,none,4.091981
127,151,FALSE,FALSE,0,0,1,1,none,6.747355000000001
144,151,FALSE,FALSE,0,0,1,1,none,5.760524
102,158,FALSE,FALSE,0,0,1,1,none,4.3278680000000005
105,158,TRUE,TRUE,0,0,1,1,none,1.1508319999999999
127,158,FALSE,FALSE,0,0,1,1,none,3.8062060000000004
144,158,FALSE,FALSE,0,0,1,1,none,3.1919750000000002
151,158,FALSE,FALSE,0,0,1,1,none,3.836797
102,16,FALSE,FALSE,0,0,1,1,none,3.6875320000000005
105,16,FALSE,FALSE,1,0,1,1,anc,2.168441
127,16,FALSE,FALSE,0,0,1,1,none,3.7535840000000005
144,16,FALSE,FALSE,0,0,1,1,none,6.540196999999999
151,16,FALSE,FALSE,0,0,1,1,none,7.1850190000000005
158,16,FALSE,FALSE,0,0,1,1,none,4.24387
102,198,FALSE,FALSE,0,0,1,1,none,7.736237
105,198,FALSE,FALSE,0,0,1,1,none,4.559201
127,198,FALSE,FALSE,0,0,1,1,none,7.214575
144,198,FALSE,FALSE,0,0,1,1,none,6.6003440000000015
151,198,FALSE,FALSE,0,0,1,1,none,7.245166000000001
158,198,FALSE,FALSE,1,0,1,1,anc,2.494677
16,198,FALSE,FALSE,0,0,1,1,none,7.652239
102,207,FALSE,FALSE,0,0,1,1,none,3.5695230000000002
105,207,TRUE,TRUE,1,0,1,1,anc,1.462718
127,207,TRUE,TRUE,0,1,1,1,desc,0.243555
144,207,FALSE,FALSE,0,0,1,1,none,5.834473999999999
151,207,FALSE,FALSE,0,0,1,1,none,6.479296000000001
158,207,FALSE,FALSE,0,0,1,1,none,3.5381470000000004
16,207,FALSE,FALSE,0,0,1,1,none,3.4855250000000004
198,207,FALSE,FALSE,0,0,1,1,none,6.946516
102,252,FALSE,FALSE,0,0,1,1,none,5.588121
105,252,TRUE,TRUE,0,0,1,1,none,2.411085
127,252,FALSE,FALSE,0,0,1,1,none,5.066459
144,252,FALSE,FALSE,0,0,1,1,none,4.079628
151,252,TRUE,TRUE,0,1,1,1,desc,0.956459
158,252,TRUE,TRUE,0,0,1,1,none,2.155901
16,252,FALSE,FALSE,0,0,1,1,none,5.504123
198,252,FALSE,FALSE,0,0,1,1,none,5.5642700000000005
207,252,FALSE,FALSE,0,0,1,1,none,4.7984
102,256,FALSE,FALSE,0,0,1,1,none,4.767826
105,256,TRUE,TRUE,0,0,1,1,none,1.5907900000000001
127,256,FALSE,FALSE,0,0,1,1,none,4.246164
144,256,TRUE,TRUE,0,1,1,1,desc,1.718246
151,256,FALSE,FALSE,0,0,1,1,none,3.9041550000000003
158,256,TRUE,TRUE,0,0,1,1,none,1.335606
16,256,FALSE,FALSE,0,0,1,1,none,4.683828
198,256,FALSE,FALSE,0,0,1,1,none,4.743975
207,256,FALSE,FALSE,0,0,1,1,none,3.9781050000000002
252,256,TRUE,TRUE,0,0,1,1,none,2.223259
102,268,FALSE,FALSE,0,0,1,1,none,9.827333000000001
105,268,FALSE,FALSE,0,0,1,1,none,6.650296999999999
127,268,FALSE,FALSE,0,0,1,1,none,9.305671
144,268,FALSE,FALSE,0,0,1,1,none,8.31884
151,268,FALSE,FALSE,1,0,1,1,anc,1.8620830000000002
158,268,FALSE,FALSE,0,0,1,1,none,6.395112999999999
16,268,FALSE,FALSE,0,0,1,1,none,9.743335
198,268,FALSE,FALSE,0,0,1,1,none,9.803482
207,268,FALSE,FALSE,0,0,1,1,none,9.037612000000001
252,268,FALSE,FALSE,1,0,1,1,anc,3.514775
256,268,FALSE,FALSE,0,0,1,1,none,6.462471
102,389,FALSE,FALSE,0,0,1,1,none,9.185188
105,389,FALSE,FALSE,0,0,1,1,none,6.008152
127,389,FALSE,FALSE,0,0,1,1,none,8.663526
144,389,FALSE,FALSE,0,0,1,1,none,7.676695
151,389,TRUE,TRUE,1,0,1,1,anc,0.999702
158,389,FALSE,FALSE,0,0,1,1,none,5.752968
16,389,FALSE,FALSE,0,0,1,1,none,9.101189999999999
198,389,FALSE,FALSE,0,0,1,1,none,9.161337
207,389,FALSE,FALSE,0,0,1,1,none,8.395467
252,389,FALSE,FALSE,1,0,1,1,anc,2.87263
256,389,FALSE,FALSE,0,0,1,1,none,5.8203260000000006
268,389,FALSE,FALSE,0,0,1,1,none,3.2865710000000004
102,401,FALSE,FALSE,0,0,1,1,none,8.348501
105,401,FALSE,FALSE,0,0,1,1,none,5.1714649999999995
127,401,FALSE,FALSE,0,0,1,1,none,7.826839
144,401,FALSE,FALSE,0,0,1,1,none,6.840007999999999
151,401,TRUE,TRUE,1,0,1,1,anc,0.383251
158,401,FALSE,FALSE,0,0,1,1,none,4.916281
16,401,FALSE,FALSE,0,0,1,1,none,8.264503
198,401,FALSE,FALSE,0,0,1,1,none,8.32465
207,401,FALSE,FALSE,0,0,1,1,none,7.5587800000000005
252,401,FALSE,FALSE,1,0,1,1,anc,2.035943
256,401,FALSE,FALSE,0,0,1,1,none,4.983639
268,401,TRUE,TRUE,0,1,1,1,desc,0.457273
389,401,FALSE,FALSE,0,0,1,1,none,1.8077390000000002
102,497,FALSE,FALSE,0,0,1,1,none,8.986191
105,497,FALSE,FALSE,0,0,1,1,none,5.809155
127,497,FALSE,FALSE,0,0,1,1,none,8.464529
144,497,FALSE,FALSE,0,0,1,1,none,7.477698
151,497,FALSE,FALSE,1,0,1,1,anc,1.556717
158,497,FALSE,FALSE,0,0,1,1,none,5.553971
16,497,FALSE,FALSE,0,0,1,1,none,8.902193000000002
198,497,FALSE,FALSE,0,0,1,1,none,8.962340000000003
207,497,FALSE,FALSE,0,0,1,1,none,8.196470000000001
252,497,FALSE,FALSE,1,0,1,1,anc,2.6736329999999997
256,497,FALSE,FALSE,0,0,1,1,none,5.621329
268,497,FALSE,FALSE,0,0,1,1,none,3.9545760000000003
389,497,FALSE,FALSE,0,0,1,1,none,3.312431
401,497,FALSE,FALSE,0,0,1,1,none,2.475744
102,498,FALSE,FALSE,0,0,1,1,none,8.458902
105,498,FALSE,FALSE,0,0,1,1,none,5.281866
127,498,FALSE,FALSE,0,0,1,1,none,7.937240000000001
144,498,FALSE,FALSE,0,0,1,1,none,6.9504090000000005
151,498,TRUE,TRUE,1,0,1,1,anc,1.029428
158,498,FALSE,FALSE,0,0,1,1,none,5.026682
16,498,FALSE,FALSE,0,0,1,1,none,8.374904
198,498,FALSE,FALSE,0,0,1,1,none,8.435051000000001
207,498,FALSE,FALSE,0,0,1,1,none,7.669181000000001
252,498,FALSE,FALSE,1,0,1,1,anc,2.146344
256,498,FALSE,FALSE,0,0,1,1,none,5.094040000000001
268,498,FALSE,FALSE,0,0,1,1,none,3.4272869999999998
389,498,FALSE,FALSE,0,0,1,1,none,2.785142
401,498,FALSE,FALSE,0,0,1,1,none,1.948455
497,498,TRUE,TRUE,0,1,1,1,desc,0.321222
102,558,FALSE,FALSE,0,0,1,1,none,6.150346
105,558,TRUE,TRUE,0,0,1,1,none,2.97331
127,558,FALSE,FALSE,0,0,1,1,none,5.628684000000001
144,558,FALSE,FALSE,0,0,1,1,none,3.407435
151,558,FALSE,FALSE,0,0,1,1,none,5.286675000000001
158,558,TRUE,TRUE,0,0,1,1,none,2.718126
16,558,FALSE,FALSE,0,0,1,1,none,6.066348
198,558,FALSE,FALSE,0,0,1,1,none,6.126495
207,558,FALSE,FALSE,0,0,1,1,none,5.360625000000001
252,558,TRUE,TRUE,0,0,1,1,none,3.605779
256,558,TRUE,TRUE,0,0,1,1,none,1.551066
268,558,FALSE,FALSE,0,0,1,1,none,7.844990999999999
389,558,FALSE,FALSE,0,0,1,1,none,7.202846
401,558,FALSE,FALSE,0,0,1,1,none,6.366159
497,558,FALSE,FALSE,0,0,1,1,none,7.003849000000001
498,558,FALSE,FALSE,0,0,1,1,none,6.476560000000001
102,574,FALSE,FALSE,0,0,1,1,none,6.281649999999999
105,574,TRUE,TRUE,0,0,1,1,none,3.104614
127,574,FALSE,FALSE,0,0,1,1,none,5.759987999999999
144,574,FALSE,FALSE,0,0,1,1,none,3.538739
151,574,FALSE,FALSE,0,0,1,1,none,5.417979000000001
158,574,TRUE,TRUE,0,0,1,1,none,2.84943
16,574,FALSE,FALSE,0,0,1,1,none,6.197651999999999
198,574,FALSE,FALSE,0,0,1,1,none,6.257799
207,574,FALSE,FALSE,0,0,1,1,none,5.491928999999999
252,574,TRUE,TRUE,0,0,1,1,none,3.737083
256,574,TRUE,TRUE,0,0,1,1,none,1.6823700000000001
268,574,FALSE,FALSE,0,0,1,1,none,7.9762949999999995
389,574,FALSE,FALSE,0,0,1,1,none,7.33415
401,574,FALSE,FALSE,0,0,1,1,none,6.497463
497,574,FALSE,FALSE,0,0,1,1,none,7.135153000000001
498,574,FALSE,FALSE,0,0,1,1,none,6.607864000000001
558,574,TRUE,TRUE,0,0,1,1,none,0.960916
102,59,FALSE,FALSE,0,0,1,1,none,11.47781
105,59,FALSE,FALSE,0,0,1,1,none,8.300773999999999
127,59,FALSE,FALSE,0,0,1,1,none,10.956147999999999
144,59,FALSE,FALSE,0,0,1,1,none,9.969317
151,59,FALSE,FALSE,1,0,1,1,anc,3.292324
158,59,FALSE,FALSE,0,0,1,1,none,8.045589999999999
16,59,FALSE,FALSE,0,0,1,1,none,11.393811999999999
198,59,FALSE,FALSE,0,0,1,1,none,11.453959
207,59,FALSE,FALSE,0,0,1,1,none,10.688089
252,59,FALSE,FALSE,1,0,1,1,anc,5.165252
256,59,FALSE,FALSE,0,0,1,1,none,8.112948
268,59,FALSE,FALSE,0,0,1,1,none,5.579193
389,59,TRUE,TRUE,1,0,1,1,anc,0.822039
401,59,FALSE,FALSE,0,0,1,1,none,4.100361
497,59,FALSE,FALSE,0,0,1,1,none,5.605053
498,59,FALSE,FALSE,0,0,1,1,none,5.077764
558,59,FALSE,FALSE,0,0,1,1,none,9.495468
574,59,FALSE,FALSE,0,0,1,1,none,9.626772
102,60,FALSE,FALSE,0,0,1,1,none,3.4488630000000002
105,60,FALSE,FALSE,1,0,1,1,anc,1.929772
127,60,FALSE,FALSE,0,0,1,1,none,3.5149150000000002
144,60,FALSE,FALSE,0,0,1,1,none,6.301527999999999
151,60,FALSE,FALSE,0,0,1,1,none,6.946350000000001
158,60,FALSE,FALSE,0,0,1,1,none,4.0052010000000005
16,60,TRUE,TRUE,0,1,1,1,desc,0.161992
198,60,FALSE,FALSE,0,0,1,1,none,7.41357
207,60,FALSE,FALSE,0,0,1,1,none,3.246856
252,60,FALSE,FALSE,0,0,1,1,none,5.265454
256,60,FALSE,FALSE,0,0,1,1,none,4.445159
268,60,FALSE,FALSE,0,0,1,1,none,9.504666
389,60,FALSE,FALSE,0,0,1,1,none,8.862521
401,60,FALSE,FALSE,0,0,1,1,none,8.025834
497,60,FALSE,FALSE,0,0,1,1,none,8.663524
498,60,FALSE,FALSE,0,0,1,1,none,8.136235000000001
558,60,FALSE,FALSE,0,0,1,1,none,5.827679
574,60,FALSE,FALSE,0,0,1,1,none,5.958982999999999
59,60,FALSE,FALSE,0,0,1,1,none,11.155142999999999
102,618,FALSE,FALSE,0,0,1,1,none,5.64536
105,618,FALSE,FALSE,0,0,1,1,none,2.468324
127,618,FALSE,FALSE,0,0,1,1,none,5.123698
144,618,FALSE,FALSE,0,0,1,1,none,4.509467000000001
151,618,FALSE,FALSE,0,0,1,1,none,5.154289
158,618,TRUE,TRUE,1,0,1,1,anc,0.4038
16,618,FALSE,FALSE,0,0,1,1,none,5.561362
198,618,TRUE,TRUE,0,1,1,1,desc,0.584454
207,618,FALSE,FALSE,0,0,1,1,none,4.855639
252,618,FALSE,FALSE,0,0,1,1,none,3.473393
256,618,FALSE,FALSE,0,0,1,1,none,2.653098
268,618,FALSE,FALSE,0,0,1,1,none,7.712604999999999
389,618,FALSE,FALSE,0,0,1,1,none,7.07046
401,618,FALSE,FALSE,0,0,1,1,none,6.233772999999999
497,618,FALSE,FALSE,0,0,1,1,none,6.871463
498,618,FALSE,FALSE,0,0,1,1,none,6.344174000000001
558,618,FALSE,FALSE,0,0,1,1,none,4.035618
574,618,FALSE,FALSE,0,0,1,1,none,4.1669220000000005
59,618,FALSE,FALSE,0,0,1,1,none,9.363081999999999
60,618,FALSE,FALSE,0,0,1,1,none,5.322693
102,64,FALSE,FALSE,0,0,1,1,none,1.754838
105,64,FALSE,FALSE,1,0,1,1,anc,2.5535850000000004
127,64,FALSE,FALSE,0,0,1,1,none,4.138728
144,64,FALSE,FALSE,0,0,1,1,none,6.925341
151,64,FALSE,FALSE,0,0,1,1,none,7.570163000000002
158,64,FALSE,FALSE,0,0,1,1,none,4.629014000000001
16,64,FALSE,FALSE,0,0,1,1,none,3.988678
198,64,FALSE,FALSE,0,0,1,1,none,8.037383
207,64,FALSE,FALSE,0,0,1,1,none,3.870669
252,64,FALSE,FALSE,0,0,1,1,none,5.889267000000001
256,64,FALSE,FALSE,0,0,1,1,none,5.068972000000001
268,64,FALSE,FALSE,0,0,1,1,none,10.128479000000002
389,64,FALSE,FALSE,0,0,1,1,none,9.486334000000001
401,64,FALSE,FALSE,0,0,1,1,none,8.649647000000002
497,64,FALSE,FALSE,0,0,1,1,none,9.287337000000003
498,64,FALSE,FALSE,0,0,1,1,none,8.760048000000001
558,64,FALSE,FALSE,0,0,1,1,none,6.451492000000001
574,64,FALSE,FALSE,0,0,1,1,none,6.582796
59,64,FALSE,FALSE,0,0,1,1,none,11.778956
60,64,FALSE,FALSE,0,0,1,1,none,3.750009
618,64,FALSE,FALSE,0,0,1,1,none,5.946506000000001
102,69,TRUE,TRUE,0,1,1,1,desc,0.106697
105,69,TRUE,TRUE,1,0,1,1,anc,0.366674
127,69,FALSE,FALSE,0,0,1,1,none,1.9518170000000001
144,69,FALSE,FALSE,0,0,1,1,none,4.738429999999999
151,69,FALSE,FALSE,0,0,1,1,none,5.383252000000001
158,69,FALSE,FALSE,0,0,1,1,none,2.4421030000000004
16,69,FALSE,FALSE,0,1,1,1,desc,0.8815890000000001
198,69,FALSE,FALSE,0,0,1,1,none,5.850472
207,69,TRUE,TRUE,0,0,1,1,none,1.683758
252,69,FALSE,FALSE,0,0,1,1,none,3.702356
256,69,FALSE,FALSE,0,0,1,1,none,2.882061
268,69,FALSE,FALSE,0,0,1,1,none,7.941567999999999
389,69,FALSE,FALSE,0,0,1,1,none,7.299423
401,69,FALSE,FALSE,0,0,1,1,none,6.462736
497,69,FALSE,FALSE,0,0,1,1,none,7.100426000000001
498,69,FALSE,FALSE,0,0,1,1,none,6.573137000000001
558,69,FALSE,FALSE,0,0,1,1,none,4.264581
574,69,FALSE,FALSE,0,0,1,1,none,4.395884999999999
59,69,FALSE,FALSE,0,0,1,1,none,9.592045
60,69,TRUE,TRUE,0,1,1,1,desc,0.64292
618,69,FALSE,FALSE,0,0,1,1,none,3.759595
64,69,TRUE,TRUE,0,1,1,1,desc,0.557705
102,849,FALSE,FALSE,0,0,1,1,none,10.203254000000001
105,849,FALSE,FALSE,0,0,1,1,none,7.026218
127,849,FALSE,FALSE,0,0,1,1,none,9.681592
144,849,FALSE,FALSE,0,0,1,1,none,8.694761
151,849,FALSE,FALSE,1,0,1,1,anc,2.7737800000000004
158,849,FALSE,FALSE,0,0,1,1,none,6.771034
16,849,FALSE,FALSE,0,0,1,1,none,10.119256000000002
198,849,FALSE,FALSE,0,0,1,1,none,10.179403000000002
207,849,FALSE,FALSE,0,0,1,1,none,9.413533000000001
252,849,FALSE,FALSE,1,0,1,1,anc,3.890696
256,849,FALSE,FALSE,0,0,1,1,none,6.838392000000001
268,849,FALSE,FALSE,0,0,1,1,none,5.171639
389,849,FALSE,FALSE,0,0,1,1,none,4.529494000000001
401,849,FALSE,FALSE,0,0,1,1,none,3.6928070000000006
497,849,FALSE,FALSE,0,0,1,1,none,2.2716410000000002
498,849,TRUE,TRUE,1,0,1,1,anc,1.682114
558,849,FALSE,FALSE,0,0,1,1,none,8.220912
