unique.split,parent.split,host,parent.host
198,unassigned_region-SPLIT1,198,unassigned_region
634,unassigned_region-SPLIT1,634,unassigned_region
513-SPLIT1,634,513,634
513-SPLIT2,634,513,634
513-SPLIT3,unassigned_region-SPLIT1,513,unassigned_region
856,unassigned_region-SPLIT1,856,unassigned_region
157-SPLIT1,856,157,856
273,unassigned_region-SPLIT1,273,unassigned_region
157-SPLIT2,unassigned_region-SPLIT1,157,unassigned_region
572,157-SPLIT2,572,157
242-SPLIT1,157-SPLIT2,242,157
242-SPLIT2,157-SPLIT2,242,157
789-SPLIT1,unassigned_region-SPLIT2,789,unassigned_region
0-SPLIT1,789-SPLIT1,0,789
0-SPLIT2,unassigned_region-SPLIT2,0,unassigned_region
789-SPLIT2,242-SPLIT2,789,242
207,unassigned_region-SPLIT1,207,unassigned_region
432,832,432,832
832,unassigned_region-SPLIT1,832,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,242-SPLIT2,unassigned_region,242
