unique.split,parent.split,host,parent.host
339,unassigned_region-SPLIT1,339,unassigned_region
156,unassigned_region-SPLIT2,156,unassigned_region
943,unassigned_region-SPLIT2,943,unassigned_region
45,unassigned_region-SPLIT2,45,unassigned_region
13,unassigned_region-SPLIT2,13,unassigned_region
595,13,595,13
462,13,462,13
806,462,806,462
995,806,995,806
8,13,8,13
132,13,132,13
831,13,831,13
436,unassigned_region-SPLIT3,436,unassigned_region
935,unassigned_region-SPLIT3,935,unassigned_region
95,unassigned_region-SPLIT4,95,unassigned_region
101,unassigned_region-SPLIT4,101,unassigned_region
323,101,323,101
10-SPLIT1,187,10,187
187,unassigned_region-SPLIT4,187,unassigned_region
10-SPLIT2,unassigned_region-SPLIT4,10,unassigned_region
84,10-SPLIT2,84,10
11-SPLIT2,unassigned_region-SPLIT2,11,unassigned_region
38,11-SPLIT2,38,11
141,38,141,38
41,11-SPLIT2,41,11
703,11-SPLIT2,703,11
11-SPLIT1,488,11,488
488,11-SPLIT2,488,11
917,11-SPLIT2,917,11
736,11-SPLIT2,736,11
61,11-SPLIT2,61,11
136,61,136,61
840,136,840,136
715,11-SPLIT2,715,11
634,32,634,32
32,11-SPLIT2,32,11
290,32,290,32
422,32,422,32
397,32,397,32
653,11-SPLIT2,653,11
94,653,94,653
292,unassigned_region-SPLIT1,292,unassigned_region
980,292,980,292
229,292,229,292
577,229,577,229
730,unassigned_region-SPLIT1,730,unassigned_region
702,60,702,60
60,unassigned_region-SPLIT5,60,unassigned_region
825,60,825,60
17,unassigned_region-SPLIT5,17,unassigned_region
0-SPLIT2,unassigned_region-SPLIT1,0,unassigned_region
464,0-SPLIT2,464,0
668,0-SPLIT2,668,0
0-SPLIT1,668,0,668
63,unassigned_region-SPLIT6,63,unassigned_region
357,unassigned_region-SPLIT6,357,unassigned_region
254,unassigned_region-SPLIT6,254,unassigned_region
186,0-SPLIT2,186,0
377,186,377,186
762,186,762,186
827,unassigned_region-SPLIT7,827,unassigned_region
330,unassigned_region-SPLIT7,330,unassigned_region
511,0-SPLIT2,511,0
423,unassigned_region-SPLIT8,423,unassigned_region
337,unassigned_region-SPLIT8,337,unassigned_region
500,unassigned_region-SPLIT1,500,unassigned_region
814,500,814,500
877,unassigned_region-SPLIT1,877,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,339,unassigned_region,339
unassigned_region-SPLIT3,13,unassigned_region,13
unassigned_region-SPLIT4,11-SPLIT2,unassigned_region,11
unassigned_region-SPLIT5,0-SPLIT2,unassigned_region,0
unassigned_region-SPLIT6,0-SPLIT2,unassigned_region,0
unassigned_region-SPLIT7,186,unassigned_region,186
unassigned_region-SPLIT8,0-SPLIT2,unassigned_region,0
