host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
11,116,TRUE,TRUE,0,0,1,1,none,0.5923856000000001
11,119,FALSE,FALSE,0,0,1,1,none,16.114614499999995
116,119,FALSE,FALSE,0,0,1,1,none,15.585156099999997
11,148,FALSE,FALSE,0,0,1,1,none,Inf
116,148,FALSE,FALSE,0,0,1,1,none,17.456626099999998
119,148,TRUE,TRUE,1,0,1,1,anc,1.39797
11,174,FALSE,FALSE,0,0,1,1,none,8.6698605
116,174,FALSE,FALSE,0,0,1,1,none,8.140402100000001
119,174,FALSE,FALSE,0,0,1,1,none,9.613834
148,174,FALSE,FALSE,0,0,1,1,none,11.485304
11,21,FALSE,FALSE,0,1,1,1,desc,7.5853205
116,21,FALSE,FALSE,0,1,1,1,desc,7.0558621
119,21,TRUE,TRUE,0,1,1,1,desc,2.492155
148,21,FALSE,FALSE,0,1,1,1,desc,4.363625000000001
174,21,TRUE,TRUE,0,1,1,1,desc,0.242609
11,230,FALSE,FALSE,0,0,1,1,none,16.591971899999997
116,230,FALSE,FALSE,0,0,1,1,none,16.062513499999998
119,230,FALSE,FALSE,0,0,1,1,none,13.879841399999998
148,230,FALSE,FALSE,0,0,1,1,none,15.751311399999997
174,230,FALSE,FALSE,0,0,1,1,none,10.0911914
21,230,FALSE,FALSE,1,0,1,1,anc,7.1785993999999995
11,233,FALSE,FALSE,0,1,1,1,desc,4.202249
116,233,FALSE,FALSE,0,1,1,1,desc,3.6727906
119,233,FALSE,FALSE,0,0,1,1,none,8.940361000000001
148,233,FALSE,FALSE,0,0,1,1,none,10.811831000000002
174,233,FALSE,FALSE,0,0,1,1,none,1.4956070000000001
21,233,TRUE,TRUE,1,0,1,1,anc,0.411067
230,233,FALSE,FALSE,0,0,1,1,none,9.4177184
11,234,FALSE,FALSE,0,0,1,1,none,17.3014785
116,234,FALSE,FALSE,0,0,1,1,none,16.772020100000002
119,234,FALSE,FALSE,0,0,1,1,none,14.589348000000001
148,234,FALSE,FALSE,0,0,1,1,none,16.460818
174,234,FALSE,FALSE,0,0,1,1,none,10.800698
21,234,FALSE,FALSE,1,0,1,1,anc,7.8881060000000005
230,234,FALSE,FALSE,0,0,1,1,none,12.1062854
233,234,FALSE,FALSE,0,0,1,1,none,10.127225
11,26,FALSE,FALSE,0,0,1,1,none,20.464475500000002
116,26,FALSE,FALSE,0,0,1,1,none,19.935017100000003
119,26,FALSE,FALSE,0,0,1,1,none,17.752345
148,26,FALSE,FALSE,0,0,1,1,none,19.623815
174,26,FALSE,FALSE,0,0,1,1,none,13.963695
21,26,FALSE,FALSE,1,0,1,1,anc,11.051102999999998
230,26,FALSE,FALSE,0,0,1,1,none,15.2692824
233,26,FALSE,FALSE,0,0,1,1,none,13.290221999999998
234,26,TRUE,TRUE,1,0,1,1,anc,1.6449
11,292,FALSE,FALSE,0,0,1,1,none,12.212514499999997
116,292,FALSE,FALSE,0,0,1,1,none,11.683056099999998
119,292,FALSE,FALSE,0,0,1,1,none,9.258068
148,292,FALSE,FALSE,0,0,1,1,none,11.129537999999998
174,292,FALSE,FALSE,0,0,1,1,none,5.711734
21,292,FALSE,FALSE,1,0,1,1,anc,2.677984
230,292,FALSE,FALSE,0,0,1,1,none,9.9777414
233,292,FALSE,FALSE,0,0,1,1,none,5.038260999999999
234,292,FALSE,FALSE,0,0,1,1,none,10.687248
26,292,FALSE,FALSE,0,0,1,1,none,13.850245
11,294,TRUE,TRUE,0,1,1,1,desc,1.609572
116,294,TRUE,TRUE,0,1,1,1,desc,1.0801136
119,294,FALSE,FALSE,0,0,1,1,none,13.198335499999999
148,294,FALSE,FALSE,0,0,1,1,none,15.069805499999998
174,294,FALSE,FALSE,0,0,1,1,none,5.7535815
21,294,FALSE,FALSE,1,0,1,1,anc,4.6690415
230,294,FALSE,FALSE,0,0,1,1,none,13.6756929
233,294,TRUE,TRUE,1,0,1,1,anc,1.28597
234,294,FALSE,FALSE,0,0,1,1,none,14.385199500000002
26,294,FALSE,FALSE,0,0,1,1,none,17.548196500000003
292,294,FALSE,FALSE,0,0,1,1,none,9.2962355
11,392,FALSE,FALSE,0,0,1,1,none,9.857294499999998
116,392,FALSE,FALSE,0,0,1,1,none,9.327836099999999
119,392,FALSE,FALSE,0,0,1,1,none,6.9028480000000005
148,392,FALSE,FALSE,0,0,1,1,none,8.774318
174,392,FALSE,FALSE,0,0,1,1,none,3.3565139999999998
21,392,TRUE,TRUE,1,0,1,1,anc,0.322764
230,392,FALSE,FALSE,0,0,1,1,none,7.6225214
233,392,FALSE,FALSE,0,0,1,1,none,2.683041
234,392,FALSE,FALSE,0,0,1,1,none,8.332028000000001
26,392,FALSE,FALSE,0,0,1,1,none,11.495025
292,392,TRUE,TRUE,0,1,1,1,desc,1.05171
