host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
0,1000_to_1099,1049.5,20,20,1,1,0.63811655,0.63811655,0.8659060000000001,1.4531209999999999,0.8238885315789474,0.8238885315789474,0.63811655,0.63811655,0.8659060000000001,1.4531209999999999,0.8238885315789474,0.8238885315789474,1,0,0
211,1000_to_1099,1049.5,20,20,1,1,5.7063521999999995,5.7063521999999995,4.02073,12.501346999999999,7.9694613157894745,7.9694613157894745,5.7063521999999995,5.7063521999999995,4.02073,12.501346999999999,7.9694613157894745,7.9694613157894745,1,0,0
314,1000_to_1099,1049.5,20,20,1,2,2.8878836,2.8878836,1.627713,6.591316000000001,4.0384755684210525,4.0384755684210525,2.8878836,2.8878836,1.627713,6.591316000000001,4.0384755684210525,4.0384755684210525,1,0,0
457,1000_to_1099,1049.5,20,20,1,1,4.1717073,4.1717073,3.7411380000000003,9.709868,5.628714126315789,5.628714126315789,4.1717073,4.1717073,3.7411380000000003,9.709868,5.628714126315789,5.628714126315789,1,0,0
51,1000_to_1099,1049.5,20,20,1,10,3.09680305,3.09680305,3.829915,7.235805,3.837611152631579,3.837611152631579,3.09680305,3.09680305,3.829915,7.235805,3.837611152631579,3.837611152631579,1,0,0
632,1000_to_1099,1049.5,20,20,3,6,17.72693915,11.223133444444445,12.867686,40.261022999999994,28.84184242631579,16.552234444444444,17.72693915,11.223133444444445,12.867686,40.261022999999994,28.84184242631579,16.552234444444444,0.45,0.4,0.15
642,1000_to_1099,1049.5,20,20,1,1,1.71613955,1.71613955,1.7161089999999999,2.736417,1.0418581526315789,1.0418581526315789,1.71613955,1.71613955,1.7161089999999999,2.736417,1.0418581526315789,1.0418581526315789,1,0,0
698,1000_to_1099,1049.5,20,20,1,1,6.469868000000001,6.469868000000001,7.316508,14.66898,9.104291568421052,9.104291568421052,6.469868000000001,6.469868000000001,7.316508,14.66898,9.104291568421052,9.104291568421052,1,0,0
796,1000_to_1099,1049.5,20,20,1,1,0.8439723000000001,0.8439723000000001,1.445846,2.046623,0.6153254421052632,0.6153254421052632,0.8439723000000001,0.8439723000000001,1.445846,2.046623,0.6153254421052632,0.6153254421052632,1,0,0
840,1000_to_1099,1049.5,20,20,1,1,3.6403167000000005,3.6403167000000005,3.5008730000000003,8.267709,5.431987610526316,5.431987610526316,3.6403167000000005,3.6403167000000005,3.5008730000000003,8.267709,5.431987610526316,5.431987610526316,1,0,0
