host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5
140,1000_to_1099,1049.5,10,10,1,1,1.1515218999999997,1.1515218999999997,2.461998,3.7654689999999995,1.4202789111111112,1.4202789111111112,1.1515218999999997,1.1515218999999997,2.461998,3.7654689999999995,1.4202789111111112,1.4202789111111112,1,0,0,0,0
149,1000_to_1099,1049.5,10,10,1,1,0.1421389,0.1421389,0.130163,0.192773,0.10111366666666666,0.10111366666666666,0.1421389,0.1421389,0.130163,0.192773,0.10111366666666666,0.10111366666666666,1,0,0,0,0
15,1000_to_1099,1049.5,10,10,1,5,4.2601794,4.2601794,3.514494,11.212717,5.319779644444444,5.319779644444444,4.2601794,4.2601794,3.514494,11.212717,5.319779644444444,5.319779644444444,1,0,0,0,0
16,1000_to_1099,1049.5,10,10,2,6,6.013701000000001,6.041655333333333,8.277952,18.143016000000003,10.898718177777777,10.67245788888889,6.013701000000001,6.041655333333333,8.277952,18.143016000000003,10.898718177777777,10.67245788888889,0.9,0.1,0,0,0
185,1000_to_1099,1049.5,10,10,1,1,1.1058169000000002,1.1058169000000002,0.858044,2.4284280000000003,1.3594869555555555,1.3594869555555555,1.1058169000000002,1.1058169000000002,0.858044,2.4284280000000003,1.3594869555555555,1.3594869555555555,1,0,0,0,0
243,1000_to_1099,1049.5,10,10,1,1,1.8949120000000002,1.8949120000000002,2.263672,4.249995,2.1725496888888887,2.1725496888888887,1.8949120000000002,1.8949120000000002,2.263672,4.249995,2.1725496888888887,2.1725496888888887,1,0,0,0,0
375,1000_to_1099,1049.5,10,10,1,1,6.768826399999999,6.768826399999999,7.629751,16.773571,10.301259866666667,10.301259866666667,6.768826399999999,6.768826399999999,7.629751,16.773571,10.301259866666667,10.301259866666667,1,0,0,0,0
387,1000_to_1099,1049.5,10,10,1,1,1.8389380000000002,1.8389380000000002,1.736015,4.320813000000001,2.2117670222222223,2.2117670222222223,1.8389380000000002,1.8389380000000002,1.736015,4.320813000000001,2.2117670222222223,2.2117670222222223,1,0,0,0,0
405,1000_to_1099,1049.5,10,10,2,2,6.6591194,4.815432111111111,9.601016999999999,16.895650999999997,7.344718577777777,5.5767859444444445,6.6591194,4.815432111111111,9.601016999999999,16.895650999999997,7.344718577777777,5.5767859444444445,0.9,0.1,0,0,0
407,1000_to_1099,1049.5,10,10,1,1,1.3869177999999998,1.3869177999999998,2.20637,2.7980230000000006,1.2002883555555557,1.2002883555555557,1.3869177999999998,1.3869177999999998,2.20637,2.7980230000000006,1.2002883555555557,1.2002883555555557,1,0,0,0,0
525,1000_to_1099,1049.5,10,10,2,2,5.3334250999999995,3.357734666666667,5.231521,12.339494,7.579962422222222,5.071307733333334,5.3334250999999995,3.357734666666667,5.231521,12.339494,7.579962422222222,5.071307733333334,0.6,0.4,0,0,0
532,1000_to_1099,1049.5,10,10,1,1,0.9621379000000001,0.9621379000000001,0.501276,1.5361440000000002,0.9447154000000001,0.9447154000000001,0.9621379000000001,0.9621379000000001,0.501276,1.5361440000000002,0.9447154000000001,0.9447154000000001,1,0,0,0,0
73,1000_to_1099,1049.5,10,10,1,1,1.9075482999999998,1.9075482999999998,2.317967,5.176697999999999,2.9377272666666667,2.9377272666666667,1.9075482999999998,1.9075482999999998,2.317967,5.176697999999999,2.9377272666666667,2.9377272666666667,1,0,0,0,0
801,1000_to_1099,1049.5,10,10,1,1,2.7145209,2.7145209,2.04061,6.457031999999999,3.8781863333333333,3.8781863333333333,2.7145209,2.7145209,2.04061,6.457031999999999,3.8781863333333333,3.8781863333333333,1,0,0,0,0
140,1100_to_1199,1149.5,10,10,1,2,3.1641201000000003,3.1641201000000003,3.504784,6.633650000000001,2.723344688888889,2.723344688888889,3.1641201000000003,3.1641201000000003,3.504784,6.633650000000001,2.723344688888889,2.723344688888889,1,0,0,0,0
149,1100_to_1199,1149.5,10,10,1,1,0.20816930000000006,0.20816930000000006,0.155782,0.329248,0.16865628888888887,0.16865628888888887,0.20816930000000006,0.20816930000000006,0.155782,0.329248,0.16865628888888887,0.16865628888888887,1,0,0,0,0
15,1100_to_1199,1149.5,10,10,2,4,6.2798007,5.746162555555555,6.404204,18.635302,8.630830733333333,6.841269555555556,6.2798007,5.746162555555555,6.404204,18.635302,8.630830733333333,6.841269555555556,0.9,0.1,0,0,0
16,1100_to_1199,1149.5,10,10,4,6,11.895162699999998,11.399652166666664,11.617880000000001,27.577939999999998,19.394199044444445,17.201440466666668,11.895162699999998,11.399652166666664,11.617880000000001,27.577939999999998,19.394199044444445,17.201440466666668,0.6,0.2,0.1,0.1,0
