host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
130,257,none,7,10,7/10,7
130,317,trans,10,10,10/10,10
130,324,none,7,10,7/10,10
130,324,trans,3,10,3/10,10
130,911,none,8,10,8/10,8
130,968,none,8,10,8/10,8
168,257,none,7,10,7/10,10
168,911,none,5,10,5/10,7
257,168,trans,3,10,3/10,10
257,324,none,6,10,6/10,6
257,911,none,6,10,6/10,10
257,911,trans,1,10,1/10,10
257,968,complex,3,10,3/10,7
257,968,none,4,10,4/10,7
324,911,none,6,10,6/10,6
324,968,none,6,10,6/10,6
911,168,trans,2,10,2/10,7
911,257,trans,3,10,3/10,10
911,968,complex,1,10,1/10,10
911,968,none,7,10,7/10,10
911,968,trans,1,10,1/10,10
968,911,trans,1,10,1/10,10
