dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR015_sl1000_mr0125_nv10_1,0.906,0.397,0.552,1.0,0.904,0.95,0.789,0.822,0.805,0.915,0.89,0.903,1.0,0.849,0.919
SEIR015_sl1000_mr0125_nv10_10,0.818,0.474,0.6,1.0,0.842,0.914,0.789,0.789,0.789,0.947,0.947,0.947,0.941,0.842,0.889
SEIR015_sl1000_mr0125_nv10_11,0.833,0.385,0.526,1.0,0.692,0.818,0.692,0.692,0.692,0.692,0.692,0.692,1.0,0.846,0.917
SEIR015_sl1000_mr0125_nv10_12,1.0,0.286,0.444,1.0,0.643,0.783,0.857,0.857,0.857,0.857,0.857,0.857,1.0,0.714,0.833
SEIR015_sl1000_mr0125_nv10_13,0.963,0.52,0.675,0.979,0.94,0.959,0.9,0.9,0.9,0.96,0.96,0.96,0.98,0.96,0.97
SEIR015_sl1000_mr0125_nv10_14,0.78,0.615,0.688,0.975,0.75,0.848,0.746,0.846,0.793,0.737,0.808,0.771,0.978,0.865,0.918
SEIR015_sl1000_mr0125_nv10_15,0.765,0.289,0.419,0.967,0.644,0.773,0.66,0.689,0.674,0.622,0.622,0.622,0.964,0.6,0.74
SEIR015_sl1000_mr0125_nv10_16,0.769,0.635,0.696,0.974,0.587,0.733,0.676,0.762,0.716,0.739,0.81,0.773,0.961,0.778,0.86
SEIR015_sl1000_mr0125_nv10_17,0.75,0.577,0.652,1.0,0.692,0.818,0.594,0.731,0.655,0.625,0.769,0.69,0.962,0.962,0.962
SEIR015_sl1000_mr0125_nv10_18,0.625,0.5,0.556,1.0,0.7,0.824,0.667,0.8,0.727,0.667,0.8,0.727,1.0,0.9,0.947
SEIR015_sl1000_mr0125_nv10_19,0.882,0.484,0.625,1.0,0.548,0.708,0.5,0.516,0.508,0.6,0.581,0.59,0.955,0.677,0.792
SEIR015_sl1000_mr0125_nv10_2,0.9,0.562,0.692,0.917,0.688,0.786,0.588,0.625,0.606,0.75,0.75,0.75,0.923,0.75,0.828
SEIR015_sl1000_mr0125_nv10_20,0.929,0.634,0.754,1.0,0.829,0.907,0.814,0.854,0.833,0.814,0.854,0.833,0.976,0.976,0.976
SEIR015_sl1000_mr0125_nv10_3,0.714,0.556,0.625,1.0,0.667,0.8,0.727,0.889,0.8,0.8,0.889,0.842,1.0,1.0,1.0
SEIR015_sl1000_mr0125_nv10_4,1.0,0.6,0.75,1.0,0.7,0.824,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.9,0.947
SEIR015_sl1000_mr0125_nv10_5,0.688,0.216,0.328,0.979,0.922,0.949,0.627,0.627,0.627,0.75,0.588,0.659,0.946,0.686,0.795
SEIR015_sl1000_mr0125_nv10_6,0.857,0.343,0.49,1.0,0.8,0.889,0.784,0.829,0.806,0.889,0.914,0.901,0.967,0.829,0.892
SEIR015_sl1000_mr0125_nv10_7,0.778,0.412,0.538,1.0,0.765,0.867,0.803,0.897,0.847,0.712,0.765,0.738,1.0,0.868,0.929
SEIR015_sl1000_mr0125_nv10_8,0.778,0.389,0.519,1.0,0.778,0.875,0.55,0.611,0.579,0.6,0.667,0.632,0.938,0.833,0.882
SEIR015_sl1000_mr0125_nv10_9,0.5,0.238,0.323,1.0,0.524,0.688,0.391,0.429,0.409,0.391,0.429,0.409,0.812,0.619,0.703
SEIR015_sl1000_mr025_nv10_1,0.889,0.8,0.842,1.0,0.7,0.824,0.9,0.9,0.9,0.8,0.8,0.8,0.889,0.8,0.842
SEIR015_sl1000_mr025_nv10_10,0.5,0.091,0.154,0.8,0.364,0.5,0.909,0.909,0.909,0.909,0.909,0.909,0.833,0.909,0.87
SEIR015_sl1000_mr025_nv10_11,0.833,0.446,0.581,1.0,0.821,0.902,0.741,0.768,0.754,0.78,0.821,0.8,0.981,0.946,0.964
SEIR015_sl1000_mr025_nv10_12,0.833,0.5,0.625,1.0,0.1,0.182,0.538,0.7,0.609,0.692,0.9,0.783,1.0,0.7,0.824
SEIR015_sl1000_mr025_nv10_13,0.286,0.2,0.235,1.0,0.1,0.182,0.333,0.4,0.364,0.333,0.4,0.364,1.0,0.3,0.462
SEIR015_sl1000_mr025_nv10_14,0.818,0.36,0.5,0.85,0.68,0.756,0.655,0.76,0.704,0.667,0.8,0.727,0.87,0.8,0.833
SEIR015_sl1000_mr025_nv10_15,0.5,0.276,0.356,1.0,0.638,0.779,0.414,0.5,0.453,0.569,0.638,0.602,0.921,0.603,0.729
SEIR015_sl1000_mr025_nv10_16,0.625,0.714,0.667,1.0,0.571,0.727,0.688,0.786,0.733,0.688,0.786,0.733,1.0,0.786,0.88
SEIR015_sl1000_mr025_nv10_17,0.833,0.395,0.536,0.963,0.684,0.8,0.718,0.737,0.727,0.821,0.842,0.831,0.97,0.842,0.901
SEIR015_sl1000_mr025_nv10_18,0.783,0.486,0.6,1.0,0.676,0.806,0.605,0.703,0.65,0.65,0.703,0.675,0.969,0.838,0.899
SEIR015_sl1000_mr025_nv10_19,0.667,0.421,0.516,1.0,0.737,0.848,0.773,0.895,0.829,0.81,0.895,0.85,1.0,0.947,0.973
SEIR015_sl1000_mr025_nv10_2,0.731,0.339,0.463,0.98,0.875,0.925,0.633,0.679,0.655,0.842,0.857,0.85,0.943,0.893,0.917
SEIR015_sl1000_mr025_nv10_20,0.429,0.375,0.4,1.0,0.5,0.667,0.6,0.75,0.667,0.6,0.75,0.667,1.0,1.0,1.0
SEIR015_sl1000_mr025_nv10_3,0.909,0.652,0.759,1.0,0.783,0.878,0.833,0.87,0.851,0.894,0.913,0.903,0.978,0.978,0.978
SEIR015_sl1000_mr025_nv10_4,0.875,0.477,0.618,1.0,0.795,0.886,0.688,0.75,0.717,0.696,0.727,0.711,0.95,0.864,0.905
SEIR015_sl1000_mr025_nv10_5,0.958,0.479,0.639,1.0,0.917,0.957,0.854,0.854,0.854,0.854,0.854,0.854,0.977,0.896,0.935
SEIR015_sl1000_mr025_nv10_6,1.0,0.457,0.627,0.955,0.913,0.933,0.87,0.87,0.87,0.848,0.848,0.848,0.933,0.913,0.923
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.833,0.556,0.667,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,1.0,0.65,0.788,1.0,0.7,0.824,1.0,1.0,1.0,0.889,0.8,0.842,1.0,0.95,0.974
SEIR015_sl1000_mr025_nv10_9,0.938,0.536,0.682,1.0,0.857,0.923,0.898,0.946,0.922,0.917,0.982,0.948,0.981,0.911,0.944
