dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR015_sl250_mr025_nv10_1,11,12,6,4,1,13,10,5,7,14,12,3,14,12,3,13,1,4
SEIR015_sl250_mr025_nv10_10,18,27,41,32,0,27,46,4,13,32,50,27,27,35,32,36,0,23
SEIR015_sl250_mr025_nv10_11,14,11,20,8,3,26,11,12,23,20,24,14,18,19,16,14,2,20
SEIR015_sl250_mr025_nv10_12,22,14,21,17,0,26,20,9,23,29,47,14,29,34,14,23,2,20
SEIR015_sl250_mr025_nv10_13,10,1,6,10,0,6,10,1,6,11,6,5,11,5,5,11,0,5
SEIR015_sl250_mr025_nv10_14,8,18,17,3,0,22,9,12,16,14,30,11,13,24,12,16,1,9
SEIR015_sl250_mr025_nv10_15,34,11,15,23,1,26,37,7,12,40,13,9,38,12,11,32,3,17
SEIR015_sl250_mr025_nv10_16,7,33,20,4,2,23,11,4,16,9,51,18,8,40,19,8,3,19
SEIR015_sl250_mr025_nv10_17,3,2,9,1,0,11,3,0,9,9,4,3,5,6,7,3,0,9
SEIR015_sl250_mr025_nv10_18,2,7,9,0,0,11,6,3,5,8,9,3,8,9,3,0,1,11
SEIR015_sl250_mr025_nv10_19,7,11,30,14,0,23,22,2,15,23,20,14,18,12,19,17,0,20
SEIR015_sl250_mr025_nv10_2,4,12,18,3,0,19,11,2,11,9,22,13,4,20,18,6,1,16
SEIR015_sl250_mr025_nv10_20,17,9,16,14,0,19,25,3,8,25,16,8,26,12,7,26,2,7
SEIR015_sl250_mr025_nv10_3,6,7,9,0,1,15,0,7,15,12,10,3,12,9,3,3,2,12
SEIR015_sl250_mr025_nv10_4,17,4,8,10,0,15,15,5,10,18,8,7,18,8,7,16,2,9
SEIR015_sl250_mr025_nv10_5,4,1,4,1,0,7,1,1,7,5,4,3,5,4,3,4,0,4
SEIR015_sl250_mr025_nv10_6,15,12,20,17,0,18,19,10,16,26,13,9,26,12,9,24,2,11
SEIR015_sl250_mr025_nv10_7,4,4,4,3,0,5,5,4,3,3,6,5,3,6,5,5,1,3
SEIR015_sl250_mr025_nv10_8,12,3,15,18,0,9,19,2,8,21,8,6,19,6,8,20,0,7
SEIR015_sl250_mr025_nv10_9,4,5,11,6,1,9,8,7,7,10,14,5,11,7,4,8,2,7
SEIR01_sl250_mr025_nv10_1,24,13,21,26,0,19,31,3,14,32,25,13,33,19,12,33,3,12
SEIR01_sl250_mr025_nv10_10,11,5,6,8,0,9,11,2,6,14,5,3,14,5,3,11,2,6
SEIR01_sl250_mr025_nv10_11,8,4,8,6,1,10,12,3,4,13,7,3,13,4,3,11,2,5
SEIR01_sl250_mr025_nv10_12,28,8,15,31,2,12,35,7,8,38,10,5,33,7,10,36,0,7
SEIR01_sl250_mr025_nv10_13,2,2,4,1,1,5,2,2,4,4,3,2,3,3,3,3,2,3
SEIR01_sl250_mr025_nv10_14,23,16,23,25,2,21,27,11,19,23,28,23,23,18,23,28,7,18
SEIR01_sl250_mr025_nv10_15,6,4,1,2,0,5,6,0,1,7,3,0,6,4,1,6,1,1
SEIR01_sl250_mr025_nv10_16,19,23,27,22,1,24,33,5,13,33,31,13,29,31,17,32,2,14
SEIR01_sl250_mr025_nv10_17,3,7,5,1,0,7,5,3,3,4,10,4,4,8,4,6,2,2
SEIR01_sl250_mr025_nv10_18,22,6,10,17,0,15,25,2,7,25,11,7,21,7,11,27,0,5
SEIR01_sl250_mr025_nv10_19,7,1,5,7,0,5,8,1,4,10,4,2,10,4,2,9,1,3
SEIR01_sl250_mr025_nv10_2,10,5,4,5,0,9,6,3,8,9,8,5,9,5,5,11,2,3
SEIR01_sl250_mr025_nv10_20,12,2,6,8,0,10,14,1,4,13,6,5,13,5,5,14,2,4
SEIR01_sl250_mr025_nv10_3,17,9,10,21,0,6,23,4,4,22,11,5,22,11,5,23,3,4
SEIR01_sl250_mr025_nv10_4,9,2,5,9,0,5,11,1,3,13,3,1,13,3,1,12,0,2
SEIR01_sl250_mr025_nv10_5,24,12,17,25,1,16,29,7,12,27,21,14,28,17,13,33,6,8
SEIR01_sl250_mr025_nv10_6,10,9,12,9,2,13,14,11,8,14,14,8,15,11,7,15,4,7
