dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR015_sl1000_mr0125_nv10_1,29,3,44,70,0,3,60,16,13,58,5,15,58,0,15
SEIR015_sl1000_mr0125_nv10_10,10,1,9,17,0,2,15,4,4,15,1,4,15,0,4
SEIR015_sl1000_mr0125_nv10_11,5,1,8,11,0,2,9,4,4,9,2,4,10,0,3
SEIR015_sl1000_mr0125_nv10_12,4,0,10,10,0,4,13,1,1,12,1,2,11,0,3
SEIR015_sl1000_mr0125_nv10_13,27,0,23,48,0,2,46,4,4,42,0,8,45,0,5
SEIR015_sl1000_mr0125_nv10_14,32,6,20,43,1,9,45,12,7,41,10,11,44,1,8
SEIR015_sl1000_mr0125_nv10_15,14,3,31,31,0,14,33,14,12,25,14,20,26,1,19
SEIR015_sl1000_mr0125_nv10_16,42,8,21,46,2,17,51,19,12,49,12,14,49,4,14
SEIR015_sl1000_mr0125_nv10_17,15,5,11,23,1,3,20,12,6,18,8,8,24,1,2
SEIR015_sl1000_mr0125_nv10_18,5,2,5,9,0,1,8,3,2,7,2,3,10,0,0
SEIR015_sl1000_mr0125_nv10_19,15,2,16,20,0,11,18,14,13,18,3,13,21,0,10
SEIR015_sl1000_mr0125_nv10_2,10,0,6,13,0,3,12,5,4,11,1,5,13,1,3
SEIR015_sl1000_mr0125_nv10_20,26,1,15,39,0,2,36,7,5,31,2,10,36,0,5
SEIR015_sl1000_mr0125_nv10_3,6,1,3,8,0,1,9,2,0,9,1,0,9,0,0
SEIR015_sl1000_mr0125_nv10_4,6,0,4,8,0,2,9,1,1,8,0,2,9,0,1
SEIR015_sl1000_mr0125_nv10_5,13,3,38,47,1,4,34,17,17,23,4,28,19,1,32
SEIR015_sl1000_mr0125_nv10_6,13,1,22,29,0,6,30,7,5,26,2,9,28,1,7
SEIR015_sl1000_mr0125_nv10_7,29,7,39,62,0,6,61,15,7,46,10,22,49,0,19
SEIR015_sl1000_mr0125_nv10_8,7,2,11,15,0,3,14,6,4,10,2,8,14,1,4
SEIR015_sl1000_mr0125_nv10_9,5,5,16,15,0,6,10,13,11,10,8,11,12,2,9
SEIR015_sl1000_mr025_nv10_1,8,1,2,8,0,2,9,1,1,8,1,2,8,1,2
SEIR015_sl1000_mr025_nv10_10,2,0,9,5,1,6,11,0,0,11,0,0,8,1,3
SEIR015_sl1000_mr025_nv10_11,25,5,31,49,0,7,43,15,13,38,5,18,45,0,11
SEIR015_sl1000_mr025_nv10_12,5,1,5,5,0,5,8,5,2,9,3,1,7,0,3
SEIR015_sl1000_mr025_nv10_13,2,5,8,3,2,7,5,7,5,4,4,6,3,2,7
SEIR015_sl1000_mr025_nv10_14,10,1,15,20,3,5,21,7,4,22,6,3,21,0,4
SEIR015_sl1000_mr025_nv10_15,17,15,41,45,3,13,31,39,27,29,21,29,27,3,31
SEIR015_sl1000_mr025_nv10_16,10,6,4,8,0,6,11,5,3,11,5,3,11,1,3
SEIR015_sl1000_mr025_nv10_17,15,3,23,29,0,9,30,9,8,30,5,8,27,0,11
SEIR015_sl1000_mr025_nv10_18,18,5,19,31,0,6,27,15,10,26,8,11,31,0,6
SEIR015_sl1000_mr025_nv10_19,8,4,11,18,0,1,17,4,2,15,4,4,16,0,3
SEIR015_sl1000_mr025_nv10_2,20,6,36,54,1,2,39,21,17,42,5,14,45,2,11
SEIR015_sl1000_mr025_nv10_20,4,3,4,6,0,2,6,4,2,5,4,3,7,0,1
SEIR015_sl1000_mr025_nv10_3,30,3,16,41,1,5,41,7,5,38,3,8,42,2,4
SEIR015_sl1000_mr025_nv10_4,21,3,23,38,0,6,35,12,9,33,7,11,34,1,10
SEIR015_sl1000_mr025_nv10_5,23,1,25,47,0,1,42,6,6,35,5,13,38,0,10
SEIR015_sl1000_mr025_nv10_6,21,0,25,43,2,3,41,5,5,35,5,11,39,2,7
SEIR015_sl1000_mr025_nv10_7,6,0,3,6,0,3,9,0,0,9,0,0,9,1,0
