dataset,phylo_tp,phylo_fp,phylo_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn
SEIR015_sl1000_mr0125_nv10_1,57,0,16,60,0,13,33,0,40
SEIR015_sl1000_mr0125_nv10_10,10,0,9,11,0,8,11,0,8
SEIR015_sl1000_mr0125_nv10_11,7,0,6,7,0,6,8,0,5
SEIR015_sl1000_mr0125_nv10_12,4,0,10,6,0,8,6,0,8
SEIR015_sl1000_mr0125_nv10_13,41,0,9,41,1,9,32,1,18
SEIR015_sl1000_mr0125_nv10_14,28,0,24,29,0,23,28,0,24
SEIR015_sl1000_mr0125_nv10_15,21,0,24,23,0,22,21,1,24
SEIR015_sl1000_mr0125_nv10_16,26,0,37,28,1,35,34,0,29
SEIR015_sl1000_mr0125_nv10_17,4,0,22,10,0,16,11,0,15
SEIR015_sl1000_mr0125_nv10_18,6,0,4,7,0,3,3,0,7
SEIR015_sl1000_mr0125_nv10_19,12,0,19,15,0,16,12,0,19
SEIR015_sl1000_mr0125_nv10_2,11,1,5,11,1,5,9,1,7
SEIR015_sl1000_mr0125_nv10_20,17,0,24,23,0,18,27,0,14
SEIR015_sl1000_mr0125_nv10_3,3,0,6,3,1,6,5,0,4
SEIR015_sl1000_mr0125_nv10_4,7,0,3,8,0,2,7,0,3
SEIR015_sl1000_mr0125_nv10_5,43,0,8,43,0,8,12,1,39
SEIR015_sl1000_mr0125_nv10_6,18,0,17,18,1,17,15,1,20
SEIR015_sl1000_mr0125_nv10_7,38,0,30,42,0,26,31,0,37
SEIR015_sl1000_mr0125_nv10_8,12,0,6,12,0,6,8,0,10
SEIR015_sl1000_mr0125_nv10_9,8,0,13,10,1,11,8,0,13
SEIR015_sl1000_mr025_nv10_1,4,0,6,4,0,6,6,0,4
SEIR015_sl1000_mr025_nv10_10,4,0,7,4,0,7,2,1,9
SEIR015_sl1000_mr025_nv10_11,40,0,16,45,0,11,31,0,25
SEIR015_sl1000_mr025_nv10_12,0,0,10,0,0,10,2,0,8
SEIR015_sl1000_mr025_nv10_13,1,0,9,1,0,9,1,0,9
SEIR015_sl1000_mr025_nv10_14,14,0,11,15,1,10,13,1,12
SEIR015_sl1000_mr025_nv10_15,29,0,29,31,0,27,18,0,40
SEIR015_sl1000_mr025_nv10_16,5,0,9,6,0,8,6,0,8
SEIR015_sl1000_mr025_nv10_17,23,0,15,23,1,15,18,1,20
SEIR015_sl1000_mr025_nv10_18,20,0,17,21,0,16,23,0,14
