dataset,phy_tp,phy_fp,phy_fn,tnet_tp,tnet_fp,tnet_fn,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SEIR015_sl1000_mr0125_nv10_1,31,0,42,54,20,19,60,13,13,50,8,23,47,4,26
SEIR015_sl1000_mr0125_nv10_10,12,0,7,15,4,4,16,3,3,16,1,3,15,1,4
SEIR015_sl1000_mr0125_nv10_11,4,0,9,10,3,3,12,1,1,9,0,4,9,0,4
SEIR015_sl1000_mr0125_nv10_12,9,0,5,10,4,4,13,1,1,10,0,4,10,0,4
SEIR015_sl1000_mr0125_nv10_13,27,0,23,43,7,7,47,3,3,38,0,12,36,0,14
SEIR015_sl1000_mr0125_nv10_14,37,0,15,47,5,5,48,3,4,47,0,5,45,0,7
SEIR015_sl1000_mr0125_nv10_15,13,0,32,36,9,9,37,4,8,28,1,17,26,0,19
SEIR015_sl1000_mr0125_nv10_16,46,0,17,57,6,6,57,6,6,56,4,7,56,2,7
SEIR015_sl1000_mr0125_nv10_17,18,0,8,26,0,0,25,1,1,25,0,1,25,0,1
SEIR015_sl1000_mr0125_nv10_18,6,0,4,9,1,1,9,1,1,8,0,2,8,0,2
SEIR015_sl1000_mr0125_nv10_19,19,0,12,29,2,2,26,1,5,23,0,8,21,0,10
SEIR015_sl1000_mr0125_nv10_2,9,0,7,14,2,2,16,0,0,14,0,2,14,0,2
SEIR015_sl1000_mr0125_nv10_20,30,0,11,41,0,0,41,0,0,41,0,0,41,0,0
SEIR015_sl1000_mr0125_nv10_3,6,0,3,9,0,0,9,0,0,9,0,0,9,0,0
SEIR015_sl1000_mr0125_nv10_4,7,0,3,9,1,1,8,2,2,8,1,2,8,1,2
SEIR015_sl1000_mr0125_nv10_5,12,0,39,34,17,17,28,11,23,16,3,35,16,3,35
SEIR015_sl1000_mr0125_nv10_6,13,0,22,23,12,12,27,7,8,25,4,10,24,3,11
SEIR015_sl1000_mr0125_nv10_7,42,0,26,63,5,5,66,0,2,64,0,4,59,0,9
SEIR015_sl1000_mr0125_nv10_8,9,0,9,18,0,0,18,0,0,18,0,0,15,0,3
SEIR015_sl1000_mr0125_nv10_9,6,0,15,18,3,3,16,4,5,13,1,8,13,0,8
SEIR015_sl1000_mr025_nv10_1,6,0,4,7,3,3,10,0,0,9,0,1,9,0,1
SEIR015_sl1000_mr025_nv10_10,2,0,9,11,0,0,11,0,0,8,0,3,8,0,3
SEIR015_sl1000_mr025_nv10_11,22,0,34,47,9,9,52,1,4,45,0,11,42,0,14
SEIR015_sl1000_mr025_nv10_12,5,0,5,8,2,2,8,1,2,7,0,3,7,0,3
SEIR015_sl1000_mr025_nv10_13,3,0,7,5,5,5,8,1,2,5,1,5,5,0,5
SEIR015_sl1000_mr025_nv10_14,14,0,11,24,1,1,24,0,1,23,0,2,21,0,4
SEIR015_sl1000_mr025_nv10_15,24,0,34,48,10,10,55,2,3,46,1,12,42,1,16
SEIR015_sl1000_mr025_nv10_16,9,0,5,12,2,2,12,1,2,12,0,2,12,0,2
SEIR015_sl1000_mr025_nv10_17,19,0,19,33,5,5,37,1,1,31,1,7,26,1,12
SEIR015_sl1000_mr025_nv10_18,22,0,15,32,5,5,32,3,5,30,2,7,30,1,7
SEIR015_sl1000_mr025_nv10_19,10,0,9,18,1,1,18,1,1,18,0,1,14,0,5
SEIR015_sl1000_mr025_nv10_2,21,0,35,52,5,4,50,5,6,43,4,13,39,4,17
SEIR015_sl1000_mr025_nv10_20,5,0,3,8,0,0,8,0,0,8,0,0,8,0,0
SEIR015_sl1000_mr025_nv10_3,34,0,12,45,1,1,45,1,1,42,1,4,41,1,5
SEIR015_sl1000_mr025_nv10_4,23,0,21,40,4,4,40,2,4,36,0,8,31,0,13
SEIR015_sl1000_mr025_nv10_5,26,0,22,46,2,2,46,2,2,43,1,5,39,1,9
SEIR015_sl1000_mr025_nv10_6,22,0,24,43,3,3,44,2,2,40,1,6,40,1,6
SEIR015_sl1000_mr025_nv10_7,7,0,2,9,0,0,9,0,0,9,0,0,9,0,0
SEIR015_sl1000_mr025_nv10_8,14,0,6,17,3,3,17,0,3,16,0,4,16,0,4
SEIR015_sl1000_mr025_nv10_9,31,0,25,55,1,1,51,4,5,47,0,9,47,0,9
SEIR015_sl1000_mr025_nv20_1,8,0,7,12,3,3,13,0,2,12,0,3,12,0,3
SEIR015_sl1000_mr025_nv20_10,5,0,4,9,0,0,9,0,0,9,0,0,9,0,0
SEIR015_sl1000_mr025_nv20_11,7,0,6,12,1,1,13,0,0,12,0,1,10,0,3
SEIR015_sl1000_mr025_nv20_12,10,0,10,15,5,5,15,3,5,15,0,5,14,0,6
SEIR015_sl1000_mr025_nv20_13,7,0,2,9,0,0,9,0,0,9,0,0,9,0,0
SEIR015_sl1000_mr025_nv20_14,7,0,15,22,0,0,21,1,1,19,0,3,17,0,5
SEIR015_sl1000_mr025_nv20_15,14,0,10,23,1,1,21,3,3,20,1,4,20,1,4
SEIR015_sl1000_mr025_nv20_16,22,0,8,30,0,0,30,0,0,29,0,1,29,0,1
SEIR015_sl1000_mr025_nv20_17,29,0,27,49,7,7,50,3,6,47,0,9,44,0,12
SEIR015_sl1000_mr025_nv20_18,21,0,18,33,6,6,35,2,4,34,0,5,32,0,7
SEIR015_sl1000_mr025_nv20_19,8,0,3,11,0,0,10,1,1,10,1,1,10,0,1
SEIR015_sl1000_mr025_nv20_2,20,0,5,25,0,0,24,1,1,24,0,1,24,0,1
SEIR015_sl1000_mr025_nv20_20,9,0,10,14,5,5,13,3,6,12,1,7,12,1,7
SEIR015_sl1000_mr025_nv20_3,38,0,28,53,13,13,56,3,10,48,1,18,48,0,18
SEIR015_sl1000_mr025_nv20_4,14,0,19,26,7,7,31,1,2,25,0,8,18,0,15
SEIR015_sl1000_mr025_nv20_5,14,0,25,37,2,2,38,1,1,34,0,5,30,0,9
SEIR015_sl1000_mr025_nv20_6,27,0,11,38,0,0,38,0,0,34,0,4,34,0,4
SEIR015_sl1000_mr025_nv20_7,25,0,11,34,2,2,34,2,2,34,2,2,32,0,4
SEIR015_sl1000_mr025_nv20_8,41,0,26,47,20,20,54,1,13,48,0,19,45,0,22
SEIR015_sl1000_mr025_nv20_9,6,0,12,14,4,4,17,0,1,12,0,6,10,0,8
SEIR015_sl1000_mr025_nv5_1,3,0,11,11,3,3,13,1,1,9,1,5,8,1,6
SEIR015_sl1000_mr025_nv5_10,20,0,16,31,5,5,34,2,2,31,1,5,28,1,8
SEIR015_sl1000_mr025_nv5_11,16,0,31,38,9,9,39,5,8,33,1,14,30,1,17
SEIR015_sl1000_mr025_nv5_12,3,0,8,9,2,2,9,2,2,3,0,8,3,0,8
SEIR015_sl1000_mr025_nv5_13,18,0,13,27,4,4,27,3,4,25,1,6,25,1,6
SEIR015_sl1000_mr025_nv5_14,9,0,6,11,4,4,11,2,4,10,1,5,10,1,5
SEIR015_sl1000_mr025_nv5_15,26,0,39,54,11,11,52,7,13,48,1,17,46,0,19
SEIR015_sl1000_mr025_nv5_16,9,0,17,20,6,6,25,0,1,18,0,8,18,0,8
SEIR015_sl1000_mr025_nv5_17,17,0,24,32,9,9,37,4,4,35,4,6,32,4,9
SEIR015_sl1000_mr025_nv5_18,20,0,35,42,13,13,41,8,14,35,4,20,34,1,21
SEIR015_sl1000_mr025_nv5_19,5,0,6,8,3,3,6,2,5,5,1,6,5,1,6
SEIR015_sl1000_mr025_nv5_2,2,0,7,5,4,4,7,0,2,4,0,5,4,0,5
SEIR015_sl1000_mr025_nv5_20,16,0,25,36,5,5,33,7,8,25,1,16,25,1,16
SEIR015_sl1000_mr025_nv5_3,8,0,19,18,9,9,18,4,9,15,0,12,15,0,12
SEIR015_sl1000_mr025_nv5_4,16,0,34,43,7,7,43,4,7,40,1,10,36,1,14
SEIR015_sl1000_mr025_nv5_5,4,0,17,14,7,7,16,4,5,14,1,7,11,1,10
SEIR015_sl1000_mr025_nv5_6,14,0,48,38,26,24,38,18,24,34,7,28,32,2,30
SEIR015_sl1000_mr025_nv5_7,7,0,19,21,5,5,25,1,1,21,0,5,19,0,7
SEIR015_sl1000_mr025_nv5_8,9,0,14,17,6,6,19,4,4,16,1,7,16,1,7
SEIR015_sl1000_mr025_nv5_9,17,0,23,30,10,10,27,9,13,24,0,16,24,0,16
SEIR015_sl1000_mr05_nv10_1,9,0,8,16,1,1,14,2,3,11,0,6,11,0,6
SEIR015_sl1000_mr05_nv10_10,7,0,2,9,0,0,9,0,0,9,0,0,9,0,0
