dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR015_sl1000_mr0125_nv10_1,0.906,0.397,0.552,1.0,0.959,0.979,0.789,0.822,0.805,0.921,0.795,0.853,1.0,0.795,0.885
SEIR015_sl1000_mr0125_nv10_10,0.909,0.526,0.667,1.0,0.895,0.944,0.789,0.789,0.789,0.938,0.789,0.857,1.0,0.789,0.882
SEIR015_sl1000_mr0125_nv10_11,0.833,0.385,0.526,1.0,0.846,0.917,0.692,0.692,0.692,0.818,0.692,0.75,1.0,0.769,0.87
SEIR015_sl1000_mr0125_nv10_12,1.0,0.286,0.444,1.0,0.714,0.833,0.929,0.929,0.929,0.923,0.857,0.889,1.0,0.786,0.88
SEIR015_sl1000_mr0125_nv10_13,1.0,0.54,0.701,1.0,0.96,0.98,0.92,0.92,0.92,1.0,0.84,0.913,1.0,0.9,0.947
SEIR015_sl1000_mr0125_nv10_14,0.842,0.615,0.711,0.977,0.827,0.896,0.789,0.865,0.826,0.804,0.788,0.796,0.978,0.846,0.907
SEIR015_sl1000_mr0125_nv10_15,0.824,0.311,0.452,1.0,0.689,0.816,0.702,0.733,0.717,0.641,0.556,0.595,0.963,0.578,0.722
SEIR015_sl1000_mr0125_nv10_16,0.84,0.667,0.743,0.958,0.73,0.829,0.729,0.81,0.767,0.803,0.778,0.79,0.925,0.778,0.845
SEIR015_sl1000_mr0125_nv10_17,0.75,0.577,0.652,0.958,0.885,0.92,0.625,0.769,0.69,0.692,0.692,0.692,0.96,0.923,0.941
SEIR015_sl1000_mr0125_nv10_18,0.714,0.5,0.588,1.0,0.9,0.947,0.727,0.8,0.762,0.778,0.7,0.737,1.0,1.0,1.0
SEIR015_sl1000_mr0125_nv10_19,0.882,0.484,0.625,1.0,0.645,0.784,0.562,0.581,0.571,0.857,0.581,0.692,1.0,0.677,0.808
SEIR015_sl1000_mr0125_nv10_2,1.0,0.625,0.769,1.0,0.812,0.897,0.706,0.75,0.727,0.917,0.688,0.786,0.929,0.812,0.867
SEIR015_sl1000_mr0125_nv10_20,0.963,0.634,0.765,1.0,0.951,0.975,0.837,0.878,0.857,0.939,0.756,0.838,1.0,0.878,0.935
SEIR015_sl1000_mr0125_nv10_3,0.857,0.667,0.75,1.0,0.889,0.941,0.818,1.0,0.9,0.9,1.0,0.947,1.0,1.0,1.0
SEIR015_sl1000_mr0125_nv10_4,1.0,0.6,0.75,1.0,0.8,0.889,0.9,0.9,0.9,1.0,0.8,0.889,1.0,0.9,0.947
SEIR015_sl1000_mr0125_nv10_5,0.812,0.255,0.388,0.979,0.922,0.949,0.667,0.667,0.667,0.852,0.451,0.59,0.95,0.373,0.535
SEIR015_sl1000_mr0125_nv10_6,0.929,0.371,0.531,1.0,0.829,0.906,0.811,0.857,0.833,0.929,0.743,0.825,0.966,0.8,0.875
SEIR015_sl1000_mr0125_nv10_7,0.806,0.426,0.558,1.0,0.912,0.954,0.803,0.897,0.847,0.821,0.676,0.742,1.0,0.721,0.838
SEIR015_sl1000_mr0125_nv10_8,0.778,0.389,0.519,1.0,0.833,0.909,0.7,0.778,0.737,0.833,0.556,0.667,0.933,0.778,0.848
SEIR015_sl1000_mr0125_nv10_9,0.5,0.238,0.323,1.0,0.714,0.833,0.435,0.476,0.455,0.556,0.476,0.513,0.857,0.571,0.686
SEIR015_sl1000_mr025_nv10_1,0.889,0.8,0.842,1.0,0.8,0.889,0.9,0.9,0.9,0.889,0.8,0.842,0.889,0.8,0.842
SEIR015_sl1000_mr025_nv10_10,1.0,0.182,0.308,0.833,0.455,0.588,1.0,1.0,1.0,1.0,1.0,1.0,0.889,0.727,0.8
SEIR015_sl1000_mr025_nv10_11,0.833,0.446,0.581,1.0,0.875,0.933,0.741,0.768,0.754,0.884,0.679,0.768,1.0,0.804,0.891
SEIR015_sl1000_mr025_nv10_12,0.833,0.5,0.625,1.0,0.5,0.667,0.615,0.8,0.696,0.75,0.9,0.818,1.0,0.7,0.824
SEIR015_sl1000_mr025_nv10_13,0.286,0.2,0.235,0.6,0.3,0.4,0.417,0.5,0.455,0.5,0.4,0.444,0.6,0.3,0.4
